player_ID,name_common
rizzuph01,Phil Rizzuto
suttebr01,Bruce Sutter
vaughar01,Arky Vaughan
biggicr01,Craig Biggio
kinerra01,Ralph Kiner
paigesa01,Satchel Paige
roushed01,Edd Roush
schoere01,Red Schoendienst
hartnga01,Gabby Hartnett
wardjo01,John Ward
wallabo01,Bobby Wallace
bottoji01,Jim Bottomley
mathech01,Christy Mathewson
henderi01,Rickey Henderson
lyonste01,Ted Lyons
smithhi99,Hilton Smith
maddugr01,Greg Maddux
gehrich01,Charlie Gehringer
hamilbi01,Billy Hamilton
fostebi99,Bill Foster
planked01,Eddie Plank
cuyleki01,Kiki Cuyler
guerrvl01,Vladimir Guerrero
alexape01,Pete Alexander
clarkfr01,Fred Clarke
bagweje01,Jeff Bagwell
slaugen01,Enos Slaughter
collied01,Eddie Collins
drysddo01,Don Drysdale
boggswa01,Wade Boggs
jossad01,Addie Joss
maranra01,Rabbit Maranville
averiea01,Earl Averill
foxne01,Nellie Fox
willite01,Ted Williams
thompsa01,Sam Thompson
covelst01,Stan Coveleski
gibsojo99,Josh Gibson
cronijo01,Joe Cronin
ansonca01,Cap Anson
dandrra99,Ray Dandridge
santolo99,Louis Santop
kalinal01,Al Kaline
keefeti01,Tim Keefe
cepedor01,Orlando Cepeda
ripkeca01,Cal Ripken
wilsoju99,Jud Wilson
hillpe99,Pete Hill
delahed01,Ed Delahanty
jennihu01,Hughie Jennings
boudrlo01,Lou Boudreau
newhoha01,Hal Newhouser
marquru01,Rube Marquard
heilmha01,Harry Heilmann
dickebi01,Bill Dickey
jenkife01,Fergie Jenkins
wanerll01,Lloyd Waner
nichoki01,Kid Nichols
