year,team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,player_game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,re24_def,pitcher_situation_in,pitcher_situation_out
2014,6,2014-04-06.TBA201404060,TEX,@,TBR,3,53.2,9.999,99,7.0,7,0,0,1,6,0,0,0.00,29,89,65,23,6,3,19,8,5,0,68,,,0,0,0,28,3,0,0,0,0,0,1.39,0.424,3.15,3,42
2014,10,2014-04-11.TEX201404110,TEX,,HOU,1,59.5,,4,8.0,1,0,0,1,9,0,0,0.00,26,101,63,17,9,8,8,3,2,0,88,,,0,0,0,25,0,0,0,0,0,0,1.05,0.541,3.87,0,45
2014,15,2014-04-16.TEX201404160,TEX,,SEA,1,52.9,,4,7.0,7,2,2,2,8,0,0,0.82,30,107,66,25,12,7,13,6,1,0,61,,,2,0,0,28,0,1,0,0,0,0,.92,0.061,1.38,0,39
2014,20,2014-04-21.OAK201404210,TEX,@,OAK,1,46.6,,4,6.0,8,3,3,4,6,1,0,1.61,29,116,67,20,13,6,13,11,0,0,46,,,3,0,0,25,1,0,0,1,0,0,1.13,-0.036,-0.27,3,36
2014,26,2014-04-28.TEX201404280,TEX,,OAK,-4,30.9,3.999,6,3.1,6,4,4,2,4,0,1,2.59,18,83,45,15,2,4,7,5,0,0,34,,,0,0,0,14,0,1,0,0,1,0,1.07,-0.233,-2.58,0,19
2014,31,2014-05-04.ANA201405040,TEX,@,LAA,11,51.0,9.998,5,6.1,7,3,3,1,9,2,1,2.87,28,116,71,22,14,4,13,4,1,0,55,,,0,0,0,26,1,0,0,0,0,0,.56,-0.051,-0.04,3,40
2014,36,2014-05-09.TEX201405090,TEX,,BOS,8,65.0,9.997,4,8.2,2,0,0,2,12,0,0,2.33,30,126,82,28,15,7,9,2,3,0,90,,,0,0,0,28,0,0,0,0,0,0,.34,0.252,4.13,0,50
2014,42,2014-05-16.TEX201405160,TEX,,TOR,-2,59.5,3.998,6,8.0,5,2,2,3,11,0,0,2.32,31,116,78,22,13,11,6,2,0,0,72,,,0,0,0,28,1,0,1,1,0,0,1.30,0.093,1.87,0,45
2014,47,2014-05-22.DET201405220,TEX,@,DET,7,53.2,9.996,5,7.0,6,2,2,3,6,0,0,2.35,29,106,65,17,8,6,14,5,1,0,60,,,0,0,0,26,4,0,0,0,0,0,.59,0.134,1.28,3,42
2014,57,2014-06-01.WAS201406010,TEX,@,WSN,2,59.8,9.995,9,8.0,5,0,0,2,12,0,0,2.08,31,102,70,21,16,3,14,5,5,0,82,,,1,0,0,29,1,0,0,0,0,0,1.25,0.529,3.68,3,48
2014,61,2014-06-06.TEX201406060,TEX,,CLE,2,52.9,9.994,4,7.0,9,4,4,3,8,2,0,2.36,33,110,67,22,9,10,12,5,1,0,48,,,0,0,0,30,1,0,0,0,0,0,1.23,0.059,-0.62,0,39
2014,66,2014-06-11.TEX201406110,TEX,,MIA,6,86.1,9.993,4,9.0,6,0,0,3,10,0,0,2.11,32,117,76,23,16,8,11,5,4,0,82,,,0,0,0,29,0,0,0,3,0,0,.54,0.235,4.35,0,51
2014,71,2014-06-17.OAK201406170,TEX,@,OAK,-4,43.3,3.997,5,5.0,8,7,4,5,8,0,0,2.39,26,99,56,16,9,6,7,5,0,0,32,,,2,0,0,20,1,0,0,0,1,1,.95,-0.363,-3.69,3,33
2014,75,2014-06-22.ANA201406220,TEX,@,LAA,-3,46.6,3.996,4,6.0,5,5,4,4,9,2,0,2.62,27,105,64,21,13,1,13,5,2,0,49,,,0,0,0,23,1,0,0,0,0,0,.68,-0.228,-2.36,3,36
2014,80,2014-06-28.TEX201406280,TEX,,MIN,5,59.5,9.992,5,8.0,4,0,0,1,10,0,0,2.42,29,110,76,21,19,7,11,3,2,0,83,,,0,0,0,28,0,0,0,0,0,0,.98,0.472,3.87,0,45
2014,86,2014-07-04.NYN201407040,TEX,@,NYM,-1,40.0,,5,5.0,5,4,4,2,6,1,0,2.63,22,94,59,18,11,7,7,2,1,0,45,,,0,0,0,19,2,0,0,0,0,0,.76,-0.266,-1.92,3,30
2014,91,2014-07-09.TEX201407090,TEX,,HOU,-4,46.3,3.995,4,6.0,10,6,6,0,8,1,0,2.97,27,109,78,20,11,8,11,7,1,0,36,,,0,0,0,27,4,1,0,1,0,0,1.18,-0.440,-3.10,0,33
2014,96,2014-07-18.TOR201407180,TEX,@,TOR,4,52.1,9.991,8,6.2,5,1,1,3,12,1,0,2.88,28,117,69,25,14,2,11,5,3,0,69,,,1,0,0,25,1,0,0,0,0,0,1.24,0.303,1.67,3,41
2014,101,2014-07-23.NYA201407230,TEX,@,NYY,-1,57.8,3.994,4,4.1,5,2,2,0,5,1,0,2.92,18,67,46,15,4,5,8,2,3,0,50,,,0,0,0,18,3,0,0,0,0,0,.88,-0.086,-0.33,3,28
