team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1986-04-07.CIN198604070,CIN,,PHI,3,43.9,5,5,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,.200,.200,.800,1.000,1,.76,0.239,0.91,CF LF
2,1986-04-09.CIN198604090,CIN,,PHI,-2,46.1,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.800,1.000,1,1.57,-0.083,0.04,CF
3,1986-04-11.SDN198604110,CIN,@,SDP,-1,46.1,6,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,.188,.188,.563,.750,1,2.01,-0.325,-1.67,CF
4,1986-04-12.SDN198604120,CIN,@,SDP,1,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.150,.150,.450,.600,1,.85,-0.084,-0.62,CF
5,1986-04-13.SDN198604130,CIN,@,SDP,-1,5.9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.150,.150,.450,.600,3,,,,PR RF
6,1986-04-15.ATL198604150,CIN,@,ATL,2,43.9,5,4,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,.125,.160,.375,.535,1,1.51,0.174,0.85,CF
7,1986-04-16.ATL198604160,CIN,@,ATL,2,7.9,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.120,.154,.360,.514,7,.25,-0.006,-0.10,PR CF
8,1986-04-18.CIN198604180,CIN,,HOU,-2,43.9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.143,.200,.357,.557,2,.63,0.059,0.62,CF
9,1986-04-19.CIN198604190,CIN,,HOU,-1,43.9,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,.188,.257,.375,.632,1,1.26,-0.095,1.27,CF LF
10,1986-04-20.CIN198604200,CIN,,HOU,-2,43.9,5,2,2,1,0,0,1,2,3,0,0,0,0,0,0,0,1,0,.206,.325,.471,.796,1,1.49,0.256,2.31,CF
11,1986-04-23.CIN198604230,CIN,,SDP,-3,43.9,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.179,.289,.410,.699,1,2.09,-0.257,-1.92,CF LF
12,1986-04-24.HOU198604240,CIN,@,HOU,3,43.9,5,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,.190,.320,.429,.749,1,.91,0.116,1.08,CF
15,1986-04-27.HOU198604270,CIN,@,HOU,-6,17.8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.196,.315,.413,.728,1,.48,-0.043,-0.39,CF
16,1986-04-29.CIN198604290,CIN,,MON,-3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.180,.293,.380,.673,1,.52,-0.051,-0.71,CF
17,1986-04-30.CIN198604300,CIN,,MON,-8,43.9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.185,.290,.370,.661,1,.41,-0.039,-0.43,CF
18,1986-05-02.CIN198605020,CIN,,NYM,-1,43.9,5,5,1,1,0,0,0,2,0,0,3,0,0,0,0,0,1,0,.186,.284,.356,.640,1,1.93,-0.001,0.45,CF
19,1986-05-03.CIN198605030,CIN,,NYM,-3,43.9,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.190,.292,.349,.641,1,.92,-0.020,-0.09,CF
20,1986-05-04.CIN198605040,CIN,,NYM,-5,1.8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.288,.344,.631,9,.23,-0.006,-0.15,PH
21,1986-05-05.CIN198605050,CIN,,ATL,-1,18.9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,.194,.289,.343,.633,6,1.72,-0.147,-1.14,CF
22,1986-05-06.CIN198605060,CIN,,ATL,2,6.9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.194,.289,.343,.633,9,,,,RF
23,1986-05-08.CIN198605080,CIN,,ATL,-5,1.7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.191,.286,.338,.624,9,2.60,-0.059,-0.35,PH
24,1986-05-09.NYN198605090,CIN,@,NYM,-1,18.9,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.183,.275,.324,.599,6,1.11,-0.054,-0.40,CF
28,1986-05-13.MON198605130,CIN,@,MON,-2,7.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.181,.272,.319,.591,2,.41,-0.011,-0.10,CF
30,1986-05-15.PHI198605150,CIN,@,PHI,1,5.9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.181,.272,.319,.591,4,,,,CF
31,1986-05-16.CIN198605160,CIN,,PIT,5,7.9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.192,.280,.329,.609,4,.01,0.000,0.20,PR RF
34,1986-05-20.SLN198605200,CIN,@,STL,2,43.9,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.184,.267,.316,.583,6,1.32,-0.062,-0.83,CF
