team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
34,1990-05-18.MIL199005180,OAK,@,MIL,-5,43.9,4,3,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.426,.575,1.001,1,1.11,-0.027,0.21,LF
35,1990-05-19.MIL199005190,OAK,@,MIL,8,43.9,5,4,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,.323,.418,.556,.974,1,.36,-0.017,1.49,LF
37,1990-05-21.TOR199005210,OAK,@,TOR,3,43.9,4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.331,.427,.559,.986,1,1.09,0.143,1.56,LF
38,1990-05-22.TOR199005220,OAK,@,TOR,1,43.9,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,.328,.435,.555,.990,1,1.21,0.137,1.16,LF
39,1990-05-23.OAK199005230,OAK,,MIL,7,18.9,5,3,2,2,1,0,1,3,2,0,0,0,0,0,0,0,0,0,.336,.447,.588,1.034,1,.68,0.301,3.28,LF
40,1990-05-24.OAK199005240,OAK,,MIL,12,43.9,6,6,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.336,.442,.577,1.019,1,.20,0.027,-0.51,DH
41,1990-05-25.OAK199005250,OAK,,CLE,3,43.9,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,.336,.444,.579,1.022,1,.66,0.020,0.42,LF
42,1990-05-26.OAK199005260,OAK,,CLE,3,43.9,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.336,.445,.573,1.019,1,.98,-0.012,0.45,LF
43,1990-05-28.OAK199005280,OAK,,TOR,-1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.327,.435,.558,.993,1,2.05,-0.267,-1.53,LF
44,1990-05-29.OAK199005290,OAK,,TOR,-1,43.9,4,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.331,.436,.576,1.013,1,1.11,0.047,0.39,LF
45,1990-05-30.OAK199005300,OAK,,TOR,3,43.9,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.323,.430,.561,.991,1,1.18,0.015,-0.25,DH
46,1990-05-31.KCA199005310,OAK,@,KCR,2,43.9,5,4,1,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.333,.440,.585,1.025,1,.91,0.152,2.64,LF
47,1990-06-01.KCA199006010,OAK,@,KCR,1,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.331,.436,.577,1.013,1,.65,-0.098,-1.23,LF
48,1990-06-02.KCA199006020,OAK,@,KCR,-6,43.9,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,.341,.442,.593,1.035,1,.44,0.003,0.50,LF
50,1990-06-05.TEX199006050,OAK,@,TEX,3,43.9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.339,.441,.585,1.026,1,.99,0.035,0.75,LF
51,1990-06-06.TEX199006060,OAK,@,TEX,1,43.9,5,4,1,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,.343,.445,.589,1.034,1,.67,0.083,1.30,LF
52,1990-06-07.TEX199006070,OAK,@,TEX,-2,43.9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.346,.446,.587,1.033,1,1.17,0.042,0.56,LF
53,1990-06-08.OAK199006080,OAK,,KCR,2,43.9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.350,.447,.585,1.032,1,.72,0.043,0.40,LF
54,1990-06-09.OAK199006090,OAK,,KCR,5,18.9,5,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.348,.446,.583,1.029,1,.94,0.220,1.13,LF
55,1990-06-10.OAK199006100,OAK,,KCR,1,43.9,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.347,.447,.579,1.026,1,.99,0.025,0.27,LF
56,1990-06-11.OAK199006110,OAK,,TEX,-5,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.439,.567,1.006,1,.65,-0.067,-0.94,LF
57,1990-06-12.OAK199006120,OAK,,TEX,-1,43.9,5,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,.337,.443,.561,1.004,1,1.92,-0.003,0.90,LF
58,1990-06-13.OAK199006130,OAK,,TEX,1,6.1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.335,.441,.558,.999,5,2.22,-0.055,-0.22,PH
59,1990-06-14.CHA199006140,OAK,@,CHW,-1,43.9,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.333,.440,.552,.992,1,1.49,-0.039,-0.74,LF
60,1990-06-15.CHA199006150,OAK,@,CHW,1,43.9,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.330,.435,.544,.979,1,1.09,0.047,0.21,LF
61,1990-06-16.CHA199006160,OAK,@,CHW,9,15.6,4,3,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.335,.440,.565,1.005,1,.40,0.065,1.63,LF
62,1990-06-17.CHA199006170,OAK,@,CHW,3,43.9,5,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.333,.439,.559,.998,1,.90,0.067,0.43,LF
63,1990-06-18.DET199006180,OAK,@,DET,-5,43.9,4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.333,.440,.569,1.010,1,.95,0.124,1.40,LF
64,1990-06-19.DET199006190,OAK,@,DET,-1,43.9,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,.336,.443,.582,1.025,1,1.53,0.207,1.25,LF
66,1990-06-22.OAK199006220,OAK,,CHW,-5,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.332,.440,.574,1.014,1,.77,-0.083,-1.06,LF
67,1990-06-23.OAK199006230,OAK,,CHW,-2,43.9,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.330,.440,.568,1.008,1,1.11,-0.064,-0.08,LF
68,1990-06-24.OAK199006240,OAK,,CHW,-1,45.0,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,.330,.440,.565,1.006,1,1.41,0.085,0.43,LF
69,1990-06-25.OAK199006250,OAK,,DET,1,43.9,4,3,2,3,0,1,1,2,1,0,0,0,0,0,0,0,2,0,.339,.448,.592,1.041,1,.69,0.315,3.16,LF
70,1990-06-26.OAK199006260,OAK,,DET,1,43.9,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.335,.446,.585,1.030,1,.88,0.031,0.24,LF
71,1990-06-27.OAK199006270,OAK,,DET,-1,11.9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.335,.446,.582,1.028,3,1.77,0.059,0.22,LF
72,1990-06-29.TOR199006290,OAK,@,TOR,5,43.9,4,2,2,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,.336,.447,.593,1.040,1,.67,0.122,1.62,LF
73,1990-06-30.TOR199006300,OAK,@,TOR,5,16.7,4,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.336,.448,.590,1.038,1,.50,-0.005,0.51,LF
74,1990-07-01.TOR199007010,OAK,@,TOR,-1,43.9,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.444,.582,1.026,1,1.44,-0.167,-0.78,LF
75,1990-07-02.TOR199007020,OAK,@,TOR,1,43.9,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.332,.441,.589,1.030,1,.82,0.112,1.23,LF
76,1990-07-03.MIL199007030,OAK,@,MIL,5,43.9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.331,.441,.584,1.024,1,.82,0.087,0.32,DH
77,1990-07-04.MIL199007040,OAK,@,MIL,-6,15.6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.328,.438,.579,1.017,1,.65,-0.032,-0.38,LF
78,1990-07-05.MIL199007050,OAK,@,MIL,-1,43.9,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.331,.438,.589,1.028,1,1.07,0.158,1.80,LF
79,1990-07-06.CLE199007061,OAK,@,CLE,-5,43.9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.439,.588,1.027,1,.45,-0.025,-0.28,LF
80,1990-07-06.CLE199007062,OAK,@,CLE,11,15.6,4,4,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.336,.440,.609,1.049,1,.36,0.079,1.35,LF
81,1990-07-07.CLE199007070,OAK,@,CLE,-1,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.335,.438,.604,1.041,1,1.13,-0.046,-0.35,LF
82,1990-07-08.CLE199007080,OAK,@,CLE,5,17.8,5,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.335,.440,.601,1.041,1,.81,0.068,1.31,DH
83,1990-07-11.MIN199007110,OAK,@,MIN,4,18.9,5,4,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.337,.442,.603,1.045,1,.68,0.186,1.49,LF
84,1990-07-12.OAK199007120,OAK,,MIL,2,43.9,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.337,.443,.600,1.043,1,.60,0.045,0.57,LF
85,1990-07-13.OAK199007130,OAK,,MIL,-2,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.336,.441,.595,1.036,1,.97,-0.022,-0.28,DH
