year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1928,adamssp01,Sparky Adams,33,PIT,NL,135,628,539,91,149,14,6,0,38,8,,64,18,.276,.357,.325,.682,76,175,,4,21,,,*46/9
1928,adkingr01,Grady Adkins,31,CHW,AL,39,82,70,3,10,0,1,0,5,0,0,2,16,.143,.178,.171,.350,-7,12,,1,9,,,1
1928,aldrivi01,Vic Aldridge,34,NYG,NL,22,42,40,7,11,0,0,1,4,0,,0,6,.275,.275,.350,.625,62,14,,0,2,,,1
1928,alexape01,Pete Alexander,41,STL,NL,34,98,86,13,25,2,0,1,11,0,,4,8,.291,.322,.349,.671,73,30,,0,8,,,1
1928,allenet01,Ethan Allen,24,CIN,NL,129,527,485,55,148,30,7,1,62,6,,27,29,.305,.343,.402,.745,96,195,,1,14,,,*8/79
1928,applepe01,Pete Appleton,24,CIN,NL,32,33,31,3,10,2,1,0,3,0,,0,4,.323,.323,.452,.774,102,14,,0,2,,,1/9
1928,asbjoca01,Casper Asbjornson,19,BOS,AL,6,17,16,0,3,1,0,0,1,0,0,1,1,.188,.235,.250,.485,30,4,,0,0,,,/2
1928,ashke01,Ken Ash,26,CIN,NL,9,16,14,0,1,0,0,0,0,0,,1,2,.071,.133,.071,.205,-45,1,,0,1,,,/1
1928,autrych02,Chick Autry,25,CLE,AL,22,63,60,6,18,6,1,1,9,0,0,1,7,.300,.311,.483,.795,105,29,,0,2,,,2
1928,baeched01,Ed Baecht,21,PHI,NL,9,7,7,0,1,0,0,0,0,0,,0,1,.143,.143,.143,.286,-27,1,,0,0,,,/1
1928,ballepe01,Pelham Ballenger,34,WSH,AL,3,9,9,0,1,0,0,0,0,0,0,0,1,.111,.111,.111,.222,-41,1,,0,0,,,/5
1928,bancrda01,Dave Bancroft,37,BRO,NL,149,591,515,47,127,19,5,0,51,7,,59,20,.247,.326,.303,.629,67,156,,2,15,,,*6
1928,barnach01,Charlie Barnabe,28,CHW,AL,11,9,8,3,4,1,0,1,6,0,0,0,0,.500,.500,1.000,1.500,288,8,,0,0,,,/1
1928,barnere01,Red Barnes,24,WSH,AL,114,484,417,82,127,22,15,6,51,7,3,55,38,.305,.391,.472,.863,127,197,,4,9,,,*87/9
1928,barnevi01,Virgil Barnes,31,TOT,NL,26,42,39,1,3,0,0,0,0,0,,1,15,.077,.100,.077,.177,-53,3,,0,2,,,1
1928,barnevi01,Virgil Barnes,31,NYG,NL,10,22,22,0,2,0,0,0,0,0,,0,9,.091,.091,.091,.182,-52,2,,0,0,,,1
1928,barnevi01,Virgil Barnes,31,BSN,NL,16,20,17,1,1,0,0,0,0,0,,1,6,.059,.111,.059,.170,-53,1,,0,2,,,1
1928,barnhcl01,Clyde Barnhart,32,PIT,NL,61,211,196,18,58,6,2,4,30,3,,11,9,.296,.333,.408,.741,90,80,,0,4,,,7/95
1928,barnhle01,Les Barnhart,23,CLE,AL,2,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,162,1,,0,0,,,/1
1928,barrebi02,Bill Barrett,28,CHW,AL,76,253,235,34,65,11,2,3,26,8,4,14,30,.277,.320,.379,.699,84,89,,1,2,,,94/78
1928,bartedi01,Dick Bartell,20,PIT,NL,72,269,233,27,71,8,4,1,36,4,,21,18,.305,.377,.386,.763,97,90,,6,11,,,46/5
1928,barthle01,Les Bartholomew,25,PIT,NL,6,7,7,0,1,1,0,0,1,0,,0,4,.143,.143,.286,.429,8,2,,0,0,,,/1
1928,baynebi01,Bill Bayne,29,CLE,AL,37,31,30,3,11,2,0,0,0,0,1,1,4,.367,.387,.433,.820,114,13,,0,0,,,1
1928,beckbo01,Boom-Boom Beck,23,SLB,AL,16,14,14,0,6,0,0,0,1,0,0,0,3,.429,.429,.429,.857,123,6,,0,0,,,1
1928,beckcl01,Clyde Beck,28,CHC,NL,131,552,483,72,124,18,4,3,52,3,,58,58,.257,.341,.329,.670,77,159,,4,7,,,56/4
1928,beckmji01,Jim Beckman,23,CIN,NL,6,3,3,0,0,0,0,0,0,0,,0,3,.000,.000,.000,.000,-100,0,,0,0,,,/1
1928,bellle01,Les Bell,26,BSN,NL,153,655,591,58,164,36,7,10,91,1,,40,45,.277,.323,.413,.736,97,244,,0,25,,,*5
1928,bengera01,Ray Benge,26,PHI,NL,42,69,58,1,12,1,0,0,2,0,,4,6,.207,.258,.224,.482,24,13,,0,7,,,1
1928,bengobe01,Benny Bengough,29,NYY,AL,58,170,161,12,43,3,1,0,9,0,0,7,8,.267,.302,.298,.600,59,48,,1,1,,,2
1928,bennefr01,Frank Bennett,23,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1
1928,bennefr02,Fred Bennett,26,SLB,AL,7,8,8,0,2,1,0,0,0,0,0,0,2,.250,.250,.375,.625,60,3,,0,0,,,/9
1928,bentola01,Larry Benton,30,NYG,NL,42,123,112,12,16,2,1,0,8,0,,5,17,.143,.179,.179,.358,-6,20,,0,6,,,1
1928,bergmo01,Moe Berg,26,CHW,AL,76,255,224,25,55,16,0,0,29,3,1,14,25,.246,.302,.317,.619,64,71,,4,13,,,2
1928,berrych02,Charlie Berry,25,BOS,AL,80,202,177,18,46,7,3,1,19,1,1,21,19,.260,.342,.350,.692,85,62,,1,3,,,2
1928,bettela01,Larry Bettencourt,22,SLB,AL,67,189,159,30,45,9,4,4,24,2,1,22,19,.283,.377,.465,.842,117,74,,2,5,,,5/92
1928,billijo02,Josh Billings,20,DET,AL,21,42,35,7,10,2,1,0,5,0,0,3,6,.286,.342,.400,.742,93,14,,0,4,,,1
1928,bishoma01,Max Bishop,28,PHA,AL,126,591,472,104,149,27,5,6,50,6,10,100,36,.316,.438,.432,.870,127,204,,3,14,,,*4
1928,bissode01,Del Bissonette,28,BRO,NL,155,668,587,90,188,30,13,25,106,5,,70,75,.320,.396,.543,.940,145,319,,4,8,,,*3
1928,blackge02,George Blackerby,24,CHW,AL,30,91,83,8,21,0,0,0,12,2,1,4,10,.253,.287,.253,.540,44,21,,0,4,,,7
1928,bladera01,Ray Blades,31,STL,NL,51,111,85,9,20,7,1,1,19,0,,20,26,.235,.393,.376,.769,99,32,,2,4,,,9/7
1928,blaehge01,George Blaeholder,24,SLB,AL,38,77,71,9,15,3,0,2,6,0,0,5,18,.211,.263,.338,.601,55,24,,0,1,,,1
1928,blakesh01,Sheriff Blake,28,CHC,NL,35,96,88,10,19,1,0,0,5,0,,1,13,.216,.233,.227,.461,21,20,,1,7,,,1
1928,blankho01,Homer Blankenship,25,PIT,NL,5,8,8,0,3,1,0,0,0,0,,0,2,.375,.375,.500,.875,123,4,,0,0,,,/1
