year_ID,player_ID,name_common,age,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1874,addybo01,Bob Addy,32,HAR,50,214,213,25,51,9,2,0,22,4,2,1,1,.239,.243,.300,.543,70,64,0,,,,,*4/56
1874,allisdo01,Doug Allison,27,NYU,65,324,318,68,90,7,5,0,28,1,0,6,5,.283,.296,.336,.633,101,107,1,,,,,*O2/4
1874,ansonca01,Cap Anson,22,ATH,55,264,260,51,87,8,3,0,37,6,0,4,1,.335,.345,.388,.733,128,101,1,,,,,35/O62
1874,barloto01,Tom Barlow,22,HAR,32,157,155,37,46,5,1,0,12,17,4,2,2,.297,.306,.342,.648,104,53,0,,,,,6
1874,barnero01,Ross Barnes,24,BOS,51,267,259,72,88,12,4,0,39,8,7,8,2,.340,.360,.417,.777,143,108,1,,,,,*4/O
1874,barnibi01,Billy Barnie,21,HAR,45,191,190,21,35,4,2,0,20,2,2,1,13,.184,.188,.226,.415,30,43,2,,,,,2O/6
1874,battijo01,Joe Battin,20,ATH,51,227,226,40,52,11,1,0,27,3,2,1,7,.230,.233,.288,.521,61,65,1,,,,,*4/O6
1874,bealsto01,Tommy Beals,23,BOS,19,97,97,20,19,3,4,0,17,0,1,0,2,.196,.196,.309,.505,56,30,0,,,,,4/O
1874,bechtge01,George Bechtel,25,PHI,32,153,151,29,42,4,5,1,34,0,0,2,1,.278,.288,.391,.678,113,59,0,,,,,O/1
1874,bielaos01,Oscar Bielaski,27,BAL,43,189,187,24,45,0,0,0,8,3,1,2,4,.241,.249,.241,.489,57,45,2,,,,,*O/3
1874,boardfr01,Frederick Boardman,23,BAL,1,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,60,1,0,,,,,/O
1874,bondto01,Tommy Bond,18,BRA,55,246,245,25,54,10,1,0,20,0,0,1,5,.220,.224,.269,.493,66,66,1,,,,,*1
1874,boothed01,Eddie Booth,--,BRA,44,188,185,24,47,4,3,1,16,0,0,3,3,.254,.266,.324,.590,99,60,2,,,,,*O/4
1874,boydbi01,Bill Boyd,21,HAR,26,118,117,22,41,8,4,0,19,1,0,1,2,.350,.356,.487,.843,163,57,0,,,,,5/O
1874,bradyst01,Steve Brady,22,HAR,27,120,118,19,37,5,1,0,14,1,2,2,10,.314,.325,.373,.698,119,44,2,,,,,5O/6
1874,brainas01,Asa Brainard,33,BAL,47,198,196,19,47,3,0,0,8,0,3,2,3,.240,.247,.255,.503,61,50,3,,,,,14/O
1874,brown01,Robert Brown,--,BAL,2,9,9,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/6
1874,burdoja01,Jack Burdock,22,NYU,61,274,273,45,75,11,4,1,26,4,1,1,5,.275,.277,.355,.633,100,97,0,,,,,*5/O
1874,careyto01,Tom Carey,27,NYU,64,289,287,56,82,10,3,1,38,3,0,2,4,.286,.291,.352,.643,103,101,1,,,,,*64
1874,carlle01,Lew Carl,42,BAL,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/2
1874,chapmja01,Jack Chapman,31,BRA,53,246,242,32,64,10,2,0,24,2,1,4,11,.264,.276,.322,.599,102,78,2,,,,,*O/3
1874,clackbo01,Bobby Clack,24,BRA,33,139,135,22,23,1,0,0,13,0,0,4,2,.170,.194,.178,.372,27,24,0,,,,,O/3
1874,clappjo01,John Clapp,22,ATH,39,166,165,46,48,7,4,3,19,2,0,1,1,.291,.295,.436,.732,125,72,1,,,,,2O/6
1874,clintji01,Jim Clinton,23,BRA,2,11,11,3,2,1,0,0,2,0,0,0,2,.182,.182,.273,.455,52,3,0,,,,,/4O
1874,collida01,Dan Collins,20,CHI,3,12,12,1,1,1,0,0,0,1,0,0,2,.083,.083,.167,.250,-22,2,0,,,,,/O16
1874,connete01,Terry Connell,19,CHI,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/2
1874,cravebi01,Bill Craver,30,PHI,55,269,265,68,91,19,11,0,56,11,3,4,2,.343,.353,.498,.851,167,132,2,,,,,*4/23
1874,cummica01,Candy Cummings,25,PHI,54,231,231,32,52,4,2,0,19,1,1,0,12,.225,.225,.260,.485,54,60,1,,,,,*1/O
1874,cuthbne01,Ned Cuthbert,29,CHI,58,300,295,65,79,6,1,2,24,8,0,5,5,.268,.280,.315,.595,90,93,3,,,,,*O/2
1874,deaneha01,Harry Deane,28,BAL,47,207,203,29,50,8,1,0,13,2,1,4,3,.246,.261,.296,.556,77,60,1,,,,,*O/46
1874,dehlmhe01,Herman Dehlman,22,BRA,53,225,218,40,49,3,1,0,18,2,0,7,5,.225,.249,.248,.497,69,54,0,,,,,*3
1874,devliji01,Jim Devlin,25,CHI,45,205,203,26,58,5,0,0,26,2,1,2,9,.286,.293,.310,.603,93,63,1,,,,,3O/5
1874,donnejo01,John Donnelly,23,PHI,6,22,22,2,5,0,0,0,2,0,0,0,0,.227,.227,.227,.455,45,5,0,,,,,/O64
1874,eggleda01,Dave Eggler,25,PHI,58,304,299,70,95,13,8,0,31,5,6,5,1,.318,.329,.415,.744,135,124,2,,,,,*O/4
1874,farreja01,Jack Farrell,18,HAR,3,14,13,3,5,0,0,0,0,0,0,1,0,.385,.429,.385,.813,158,5,0,,,,,/O
1874,farrojo01,John Farrow,20,BRA,27,123,122,16,26,3,0,0,10,0,0,1,1,.213,.220,.238,.457,55,29,2,,,,,24/O
1874,fergubo01,Bob Ferguson,29,BRA,56,247,245,34,64,4,0,0,19,5,3,2,7,.261,.267,.278,.545,85,68,2,,,,,*5/21
1874,fishech01,Cherokee Fisher,29,HAR,52,243,241,28,54,7,0,0,31,2,3,2,7,.224,.230,.253,.484,52,61,2,,,,,*1O/56
1874,fislewe01,Wes Fisler,30,ATH,37,180,180,26,59,12,1,0,22,2,0,0,1,.328,.328,.406,.733,127,73,2,,,,,3/4O
1874,fleetfr01,Frank Fleet,26,BRA,22,98,97,18,22,0,0,0,10,1,0,1,1,.227,.235,.227,.461,57,22,0,,,,,24/O
1874,forceda01,Davy Force,24,CHI,59,297,294,61,92,9,0,0,26,4,0,3,1,.313,.320,.344,.663,113,101,2,,,,,*56/1
1874,fulmech01,Chick Fulmer,23,PHI,57,260,258,49,72,3,2,0,37,0,2,2,5,.279,.285,.306,.591,88,79,1,,,,,65
1874,gaver01,Gavern,--,BRA,1,4,4,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/4
1874,gedneco01,Count Gedney,25,ATH,54,229,222,49,61,4,1,1,34,2,2,7,11,.275,.297,.315,.612,91,70,2,,,,,*O/3
1874,geerbi01,Billy Geer,--,NYU,2,8,8,0,2,0,0,0,1,0,0,0,0,.250,.250,.250,.500,59,2,0,,,,,/O
1874,gerhajo01,Joe Gerhardt,19,BAL,14,61,61,10,19,0,1,0,6,0,0,0,0,.311,.311,.344,.656,109,21,0,,,,,6
1874,gilro01,Henry Gilroy,22,CHI,8,39,38,4,8,1,0,0,7,0,0,1,3,.211,.231,.237,.468,50,9,0,,,,,/2
