number,one,two,three,four,five,six,seven,eight,nine
1,Taylor,Altman,Banks,Moryn,Averill,Long,Thomson,Taylor,pitcher
2,Taylor,Walls,Banks,Averill,Moryn,Thomson,Long,Neeman,pitcher
3,Taylor,Altman,Banks,Moryn,Averill,Long,Thomson,Taylor,pitcher
4,Taylor,Dark,Walls,Banks,Averill,Thomson,Moryn,Neeman,pitcher
5,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
6,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
7,Taylor,Dark,Walls,Banks,Moryn,Thomson,Long,Neeman,pitcher
8,Taylor,Dark,Walls,Banks,Moryn,Averill,Thomson,Neeman,pitcher
9,Taylor,Dark,Altman,Banks,Moryn,Marshall,Walls,Taylor,pitcher
10,Taylor,Dark,Marshall,Banks,Moryn,Walls,Thomson,Taylor,pitcher
11,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
12,Taylor,Dark,Walls,Banks,Moryn,Averill,Long,King,pitcher
13,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
14,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
15,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
16,Taylor,Altman,Banks,Moryn,Walls,Long,Dark,Taylor,pitcher
17,Taylor,Dark,Altman,Banks,Moryn,Marshall,Walls,Taylor,pitcher
18,Taylor,Altman,Walls,Banks,Thomson,Goryl,Dark,Neeman,pitcher
19,Taylor,Altman,Walls,Banks,Thomson,Goryl,Dark,Neeman,pitcher
20,Taylor,Dark,Altman,Banks,Moryn,Long,Walls,Taylor,pitcher
21,Goryl,Dark,Altman,Banks,Moryn,Marshall,Walls,Taylor,pitcher
22,Goryl,Marshall,Walls,Banks,Altman,Moryn,Dark,Taylor,pitcher
23,Goryl,Marshall,Walls,Banks,Jackson,Thomson,Altman,Neeman,pitcher
24,Goryl,Marshall,Walls,Banks,Altman,Moryn,Dark,Taylor,pitcher
25,Taylor,Altman,Walls,Banks,Marshall,Moryn,Dark,Taylor,pitcher
26,Goryl,Altman,Walls,Banks,Marshall,Moryn,Dark,Taylor,pitcher
27,Taylor,Dark,Marshall,Banks,Thomson,Walls,Moryn,Averill,pitcher
28,Taylor,Walls,Marshall,Banks,Moryn,Thomson,Jackson,Averill,pitcher
29,Taylor,Walls,Marshall,Banks,Moryn,Thomson,Jackson,Averill,pitcher
30,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
31,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
32,Taylor,Dark,Moryn,Banks,Thomson,Averill,Walls,Long,pitcher
33,Taylor,Dark,Banks,Moryn,Thomson,Averill,Walls,Long,pitcher
34,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
35,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
36,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
37,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
38,Taylor,Dark,Banks,Moryn,Long,Thomson,Walls,Taylor,pitcher
39,Taylor,Altman,Banks,Moryn,Long,Thomson,Jackson,Taylor,pitcher
40,Taylor,Marshall,Noren,Banks,Moryn,Thomson,Averill,Jackson,pitcher
41,Taylor,Walls,Moryn,Banks,Thomson,Dark,Marshall,Neeman,pitcher
42,Taylor,Marshall,Noren,Banks,Moryn,Long,Taylor,Dark,pitcher
43,Taylor,Dark,Thomson,Banks,Moryn,Long,Walls,Taylor,pitcher
44,Taylor,Marshall,Noren,Banks,Moryn,Thomson,Averill,Dark,pitcher
45,Taylor,Marshall,Walls,Banks,Thomson,Moryn,Averill,Dark,pitcher
46,Taylor,Marshall,Walls,Banks,Thomson,Moryn,Averill,Dark,pitcher
47,Taylor,Altman,Jackson,Banks,Thomson,Moryn,Averill,Marshall,pitcher
48,Taylor,Dark,Banks,Long,Thomson,Moryn,Altman,Taylor,pitcher
49,Taylor,Dark,Banks,Long,Thomson,Moryn,Altman,Taylor,pitcher
50,Taylor,Dark,Banks,Long,Thomson,Moryn,Altman,Taylor,pitcher
51,Taylor,Dark,Banks,Long,Thomson,Moryn,Altman,Taylor,pitcher
52,Taylor,Dark,Walls,Banks,Thomson,Moryn,Neeman,Long,pitcher
53,Taylor,Altman,Walls,Banks,Long,Moryn,Taylor,Goryl,pitcher
54,Taylor,Dark,Banks,Long,Thomson,Moryn,Altman,Taylor,pitcher
55,Taylor,Dark,Walls,Banks,Thomson,Neeman,Long,Altman,pitcher
56,Taylor,Dark,Walls,Banks,Long,Thomson,Altman,Taylor,pitcher
57,Taylor,Dark,Walls,Banks,Long,Thomson,Altman,Taylor,pitcher
58,Taylor,Dark,Walls,Banks,Long,Thomson,Altman,Taylor,pitcher
59,Taylor,Dark,Walls,Banks,Thomson,Neeman,Long,Altman,pitcher
60,Taylor,Dark,Walls,Banks,Long,Thomson,Altman,Taylor,pitcher
61,Taylor,Dark,Walls,Banks,Long,Moryn,Altman,Taylor,pitcher
62,Taylor,Dark,Walls,Banks,Thomson,Neeman,Long,Altman,pitcher
63,Taylor,Dark,Walls,Banks,Long,Taylor,Moryn,Altman,pitcher
64,Goryl,Altman,Walls,Banks,Long,Thomson,Jackson,Taylor,pitcher
65,Taylor,Altman,Marshall,Banks,Thomson,Taylor,Walls,Jackson,pitcher
66,Taylor,Dark,Walls,Banks,Moryn,Thomson,Long,Taylor,pitcher
67,Taylor,Dark,Walls,Banks,Thomson,Neeman,Moryn,Long,pitcher
68,Taylor,Dark,Walls,Banks,Long,Thomson,Moryn,Taylor,pitcher
69,Taylor,Dark,Walls,Banks,Long,Moryn,Thomson,Taylor,pitcher
70,Taylor,Dark,Walls,Banks,Thomson,Neeman,Moryn,Long,pitcher
71,Taylor,Dark,Walls,Banks,Long,Moryn,Thomson,Taylor,pitcher
72,Taylor,Dark,Walls,Banks,Thomson,Averill,Neeman,Long,pitcher
73,Taylor,Dark,Noren,Banks,Long,Thomson,Walls,Taylor,pitcher
74,Taylor,Dark,Noren,Banks,Long,Thomson,Walls,Neeman,pitcher
75,Taylor,Dark,Noren,Banks,Long,Thomson,Walls,Taylor,pitcher
76,Taylor,Dark,Walls,Banks,Thomson,Averill,Neeman,Long,pitcher
77,Taylor,Dark,Noren,Banks,Moryn,Long,Walls,Taylor,pitcher
78,Taylor,Dark,Noren,Banks,Moryn,Long,Walls,Taylor,pitcher
79,Taylor,Dark,Moryn,Banks,Thomson,Long,Walls,Taylor,pitcher
80,Taylor,Altman,Marshall,Banks,Moryn,Walls,Jackson,Averill,pitcher
81,Taylor,Altman,Marshall,Banks,Long,Jackson,Walls,Taylor,pitcher
82,Taylor,Altman,Marshall,Banks,Long,Jackson,Walls,Taylor,pitcher
83,Taylor,Altman,Marshall,Banks,Long,Jackson,Walls,Averill,pitcher
84,Taylor,Altman,Marshall,Banks,Long,Jackson,Walls,Averill,pitcher
85,Taylor,Altman,Marshall,Banks,Long,Jackson,Walls,Taylor,pitcher
86,Taylor,Dark,Walls,Banks,Thomson,Schult,Averill,Altman,pitcher
87,Taylor,Dark,Walls,Banks,Thomson,Schult,Altman,Taylor,pitcher
88,Taylor,Dark,Walls,Banks,Thomson,Long,Altman,Taylor,pitcher
89,Taylor,Dark,Walls,Banks,Thomson,Marshall,Altman,Taylor,pitcher
90,Taylor,Dark,Walls,Banks,Thomson,Marshall,Taylor,Altman,pitcher
91,Taylor,Dark,Moryn,Banks,Thomson,Long,Taylor,Altman,pitcher
92,Taylor,Dark,Marshall,Banks,Schult,Moryn,Taylor,Altman,pitcher
93,Taylor,Dark,Jackson,Banks,Schult,Thomson,Averill,Walls,pitcher
94,Taylor,Dark,Marshall,Banks,Noren,Moryn,Taylor,Altman,pitcher
95,Taylor,Dark,Walls,Banks,Schult,Thomson,Averill,Altman,pitcher
