number,one,two,three,four,five,six,seven,eight,nine
1,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
2,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
3,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
4,Walton,Webster,Sandberg,Dawson,Grace,Wilkerson,Ramos,Girardi,pitcher
5,Walton,Webster,Sandberg,Dawson,Ramos,Grace,Wilkerson,Girardi,pitcher
6,Walton,Webster,Sandberg,Dawson,Grace,Ramos,Wilkerson,Wrona,pitcher
7,Walton,Webster,Sandberg,Dawson,Grace,Law,Ramos,Girardi,pitcher
8,Walton,Webster,Sandberg,Dawson,Grace,Law,Ramos,Girardi,pitcher
9,Walton,Webster,Sandberg,Dawson,Law,Grace,Dunston,Girardi,pitcher
10,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
11,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
12,Walton,Webster,Sandberg,Grace,Varsho,Law,Dunston,Girardi,pitcher
13,Walton,Webster,Sandberg,Grace,Stephenson,Law,Dunston,Girardi,pitcher
14,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
15,Walton,Webster,Sandberg,Dawson,Law,Grace,Ramos,Wrona,pitcher
16,Walton,Webster,Sandberg,Dawson,Grace,Wilkerson,Dunston,Wrona,pitcher
17,Walton,Webster,Sandberg,Dawson,Grace,Law,Dunston,Girardi,pitcher
18,Walton,Webster,Sandberg,Dawson,Grace,Law,Ramos,Girardi,pitcher
19,Walton,Webster,Sandberg,Dawson,Grace,Law,Ramos,Wrona,pitcher
20,Walton,Webster,Sandberg,Dawson,Grace,Wilkerson,Dunston,Girardi,pitcher
21,Wilkerson,Webster,Sandberg,Dawson,Grace,Jackson,Dunston,Wrona,pitcher
22,Wilkerson,Webster,Sandberg,Dawson,Grace,Varsho,Dunston,Wrona,pitcher
23,Wilkerson,Webster,Sandberg,Dawson,Grace,Varsho,Dunston,Wrona,pitcher
24,Walton,Wilkerson,Sandberg,Dawson,Grace,Smith,Berryhill,Dunston,pitcher
25,Smith,Webster,Sandberg,Dawson,Grace,Berryhill,Law,Dunston,pitcher
26,Jackson,Webster,Sandberg,Dawson,Grace,Law,Dunston,Wrona,pitcher
27,Smith,Webster,Sandberg,Dawson,Grace,Berryhill,Law,Dunston,pitcher
28,Smith,Webster,Sandberg,Dawson,Grace,Berryhill,Law,Dunston,pitcher
29,Smith,Webster,Sandberg,Dawson,Grace,Berryhill,Law,Dunston,pitcher
30,Smith,Webster,Sandberg,Grace,Varsho,Berryhill,Law,Dunston,pitcher
31,Walton,Smith,Sandberg,Grace,Berryhill,Webster,Law,Dunston,pitcher
32,Walton,Smith,Sandberg,Grace,Stephenson,Berryhill,Law,Dunston,pitcher
33,Dascenzo,Jackson,Sandberg,Grace,Law,Webster,Dunston,Wrona,pitcher
34,Dascenzo,Jackson,Sandberg,Grace,Berryhill,Law,Webster,Dunston,pitcher
35,Dascenzo,Smith,Sandberg,Grace,Berryhill,Stephenson,Wilkerson,Ramos,pitcher
36,Dascenzo,Ramos,Sandberg,Grace,Berryhill,McClendon,Wilkerson,Jackson,pitcher
37,Dascenzo,Ramos,Sandberg,Grace,Berryhill,McClendon,Law,Jackson,pitcher
38,Dascenzo,Dunston,Sandberg,Grace,Berryhill,McClendon,Law,Jackson,pitcher
39,Dascenzo,Jackson,Sandberg,McClendon,Berryhill,Law,Wilkerson,Dunston,pitcher
40,Dascenzo,Law,Sandberg,Grace,Berryhill,McClendon,Dunston,Jackson,pitcher
41,Dascenzo,Varsho,Sandberg,Grace,Berryhill,Law,Smith,Dunston,pitcher
42,Dascenzo,Law,Sandberg,Grace,Berryhill,McClendon,Jackson,Dunston,pitcher
43,Dascenzo,Wilkerson,Varsho,Grace,Berryhill,Law,Smith,Dunston,pitcher
44,Dascenzo,Law,Sandberg,Grace,Berryhill,McClendon,Jackson,Dunston,pitcher
45,Dascenzo,Varsho,Sandberg,Grace,Berryhill,Smith,Law,Dunston,pitcher
