team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1976-04-08.CIN197604080,CIN,,HOU,6,43.9,5,4,3,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,.750,.800,.750,1.550,3,.57,0.028,2.66,2B
2,1976-04-10.CIN197604100,CIN,,HOU,6,43.9,5,3,3,2,1,0,1,2,2,0,0,0,0,0,0,0,1,0,.714,.800,1.286,2.086,3,.44,0.165,3.73,2B
3,1976-04-11.CIN197604110,CIN,,HOU,6,43.9,5,4,1,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,.636,.733,1.091,1.824,3,.77,0.207,2.07,2B
4,1976-04-13.ATL197604130,CIN,@,ATL,5,43.9,5,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.500,.650,.857,1.507,3,1.65,-0.018,-0.15,2B
5,1976-04-15.ATL197604150,CIN,@,ATL,-5,16.7,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.529,.667,.824,1.490,3,.55,0.033,1.24,2B
6,1976-04-16.CIN197604160,CIN,,SFG,-7,43.9,5,4,0,2,1,0,0,2,0,0,2,0,0,1,0,0,0,0,.524,.621,.810,1.430,3,.89,-0.058,0.68,2B
7,1976-04-17.CIN197604170,CIN,,SFG,11,16.7,4,3,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.500,.606,.875,1.481,3,.50,0.137,1.52,2B
8,1976-04-18.CIN197604180,CIN,,SFG,-4,43.9,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.444,.568,.778,1.345,3,1.28,-0.065,-0.35,2B
9,1976-04-20.CIN197604200,CIN,,SDP,-2,43.9,5,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,.433,.571,.767,1.338,3,.75,0.006,-0.16,2B
10,1976-04-21.CIN197604210,CIN,,SDP,1,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.394,.543,.697,1.240,3,.90,-0.094,-0.82,2B
11,1976-04-23.MON197604230,CIN,@,MON,-1,43.9,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.378,.529,.649,1.178,3,1.59,-0.139,-0.92,2B
12,1976-04-24.MON197604240,CIN,@,MON,2,46.1,5,5,1,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.381,.518,.690,1.208,3,1.73,0.199,1.16,2B
13,1976-04-25.MON197604250,CIN,@,MON,7,16.7,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.370,.500,.674,1.174,3,.56,0.082,0.04,2B
14,1976-04-26.PHI197604260,CIN,@,PHI,-1,7.9,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.362,.500,.660,1.160,8,3.18,-0.023,0.05,PH 2B
16,1976-04-28.PHI197604280,CIN,@,PHI,-1,43.9,5,4,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.373,.507,.706,1.213,3,1.74,0.160,2.29,2B
