team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
32,1973-05-11.HOU197305110,HOU,,CIN,4,43.9,4,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,.333,.387,.581,.969,3,.42,0.048,1.28,CF
33,1973-05-12.HOU197305120,HOU,,CIN,6,43.9,4,3,2,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,.341,.397,.598,.996,3,.71,0.160,1.76,CF
34,1973-05-13.HOU197305130,HOU,,CIN,-2,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,.331,.387,.581,.968,3,1.56,-0.156,-0.92,CF
35,1973-05-14.HOU197305140,HOU,,ATL,-6,43.9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.336,.390,.579,.968,3,.46,0.020,0.09,CF
36,1973-05-15.HOU197305150,HOU,,ATL,-3,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.386,.569,.956,3,1.02,-0.027,-0.34,CF
37,1973-05-16.HOU197305160,HOU,,ATL,-3,46.1,5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,1,0,.342,.393,.591,.983,3,1.89,0.336,1.78,CF
38,1973-05-17.HOU197305170,HOU,,ATL,1,43.9,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.346,.395,.588,.983,3,.98,0.018,-0.03,CF
39,1973-05-18.HOU197305180,HOU,,SFG,2,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.338,.386,.573,.959,3,.81,-0.102,-1.13,CF
40,1973-05-19.HOU197305190,HOU,,SFG,1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.329,.377,.559,.936,3,.70,-0.159,-2.16,CF
41,1973-05-20.HOU197305200,HOU,,SFG,1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.321,.369,.545,.914,3,.40,-0.039,-0.50,CF
42,1973-05-21.HOU197305210,HOU,,SFG,-5,10.1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.321,.369,.545,.914,3,,,,CF
57,1973-06-06.HOU197306060,HOU,,PHI,1,16.7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.315,.363,.536,.898,3,1.63,-0.061,-0.28,CF
58,1973-06-08.HOU197306080,HOU,,PIT,1,43.9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.314,.360,.529,.889,3,.79,-0.005,-0.55,CF
59,1973-06-09.HOU197306090,HOU,,PIT,-3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.307,.353,.517,.870,3,.98,-0.115,-1.12,CF
60,1973-06-10.HOU197306100,HOU,,PIT,6,43.9,4,4,2,2,0,0,2,5,0,0,1,0,0,0,0,0,0,0,.311,.356,.550,.906,3,.60,0.178,3.43,CF
61,1973-06-12.HOU197306120,HOU,,CHC,-3,43.9,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.359,.554,.913,3,.58,0.029,0.34,CF
62,1973-06-13.HOU197306130,HOU,,CHC,5,43.9,5,4,1,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,.314,.360,.564,.923,3,.77,0.109,0.45,CF
63,1973-06-14.HOU197306140,HOU,,CHC,-1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.357,.557,.915,3,1.49,-0.084,-0.16,CF
64,1973-06-15.HOU197306150,HOU,,STL,1,43.9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.313,.360,.554,.914,3,1.12,-0.050,-0.37,CF
65,1973-06-16.HOU197306160,HOU,,STL,-2,13.4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.357,.548,.905,3,.91,-0.048,-0.43,CF
67,1973-06-19.SDN197306190,HOU,@,SDP,4,15.6,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.310,.356,.545,.901,3,.97,0.028,0.38,CF
68,1973-06-20.SDN197306200,HOU,@,SDP,-4,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.304,.350,.534,.884,3,.51,-0.070,-0.88,CF
69,1973-06-21.SDN197306210,HOU,@,SDP,10,43.9,5,5,2,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,.311,.356,.555,.911,3,.36,0.159,2.37,CF
70,1973-06-22.SFN197306220,HOU,@,SFG,-4,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.305,.349,.545,.894,3,.70,-0.071,-0.71,CF
71,1973-06-23.SFN197306230,HOU,@,SFG,3,43.9,5,4,2,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,.309,.355,.544,.898,3,.92,0.136,1.55,CF
72,1973-06-24.SFN197306241,HOU,@,SFG,1,43.9,5,5,2,3,0,0,1,4,0,0,0,0,0,0,0,0,1,0,.315,.360,.559,.918,3,1.41,0.272,3.73,CF
73,1973-06-24.SFN197306242,HOU,@,SFG,5,43.9,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.317,.361,.555,.916,3,1.28,-0.048,-0.17,CF
74,1973-06-25.HOU197306250,HOU,,CIN,11,43.9,5,4,4,2,0,0,1,2,1,0,0,0,0,0,0,1,1,0,.320,.365,.567,.933,3,.65,0.051,0.47,CF
75,1973-06-26.HOU197306260,HOU,,CIN,-4,43.9,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,.323,.370,.566,.936,3,1.53,-0.123,-0.91,CF
76,1973-06-27.HOU197306270,HOU,,CIN,8,43.9,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.322,.371,.561,.931,3,.48,0.021,0.39,CF
77,1973-06-28.HOU197306280,HOU,,SFG,-1,45.0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.317,.365,.551,.916,3,.97,-0.100,-0.60,CF
78,1973-06-29.HOU197306290,HOU,,SFG,-11,43.9,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,.320,.367,.551,.918,3,.95,0.038,0.31,CF
79,1973-06-30.HOU197306300,HOU,,SDP,-3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.315,.362,.542,.903,3,.58,-0.057,-0.55,CF
80,1973-07-01.HOU197307010,HOU,,SDP,2,43.9,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.314,.360,.541,.901,3,.67,-0.045,-0.41,CF
81,1973-07-02.HOU197307020,HOU,,SDP,-3,12.3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.362,.541,.903,3,1.17,0.036,0.38,CF
85,1973-07-05.ATL197307050,HOU,@,ATL,-3,0.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.313,.361,.539,.900,9,.75,-0.030,-0.52,PH
86,1973-07-06.MON197307061,HOU,@,MON,-4,43.9,5,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.318,.365,.540,.905,3,.82,0.054,0.75,CF
87,1973-07-06.MON197307062,HOU,@,MON,-8,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.360,.532,.892,3,.27,-0.027,-0.64,CF
