year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1966,aaronha01,Hank Aaron,32,ATL,NL,158,688,603,117,168,23,1,44,127,21,3,76,96,.279,.356,.539,.895,142,325,14,1,0,8,15,*9/84
1966,abernte02,Ted Abernathy,33,TOT,NL,58,13,12,0,2,0,0,0,0,0,0,1,5,.167,.231,.167,.397,12,2,0,0,0,0,0,1
1966,abernte02,Ted Abernathy,33,CHC,NL,20,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1966,abernte02,Ted Abernathy,33,ATL,NL,38,9,8,0,2,0,0,0,0,0,0,1,3,.250,.333,.250,.583,64,2,0,0,0,0,0,1
1966,adairje01,Jerry Adair,29,TOT,AL,122,460,422,30,105,19,2,4,39,3,2,21,52,.249,.282,.332,.614,81,140,15,1,10,6,0,64
1966,adairje01,Jerry Adair,29,BAL,AL,17,58,52,3,15,1,0,0,3,0,0,4,8,.288,.333,.308,.641,87,16,1,0,1,1,0,4
1966,adairje01,Jerry Adair,29,CHW,AL,105,402,370,27,90,18,2,4,36,3,2,17,44,.243,.275,.335,.610,80,124,14,1,9,5,0,64
1966,adcocjo01,Joe Adcock,38,CAL,AL,83,265,231,33,63,10,3,18,48,2,2,31,48,.273,.355,.576,.930,167,133,11,0,0,3,6,3
1966,adlesda01,Dave Adlesh,22,HOU,NL,3,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
1966,ageeto01,Tommie Agee,23,CHW,AL,160,689,629,98,172,27,8,22,86,44,18,41,127,.273,.326,.447,.773,127,281,17,10,5,4,3,*8/7
1966,aguirha01,Hank Aguirre,35,DET,AL,30,31,25,0,3,1,0,0,0,0,0,4,16,.120,.241,.160,.401,17,4,0,0,2,0,0,1
1966,akerja01,Jack Aker,25,KCA,AL,66,22,21,1,2,1,0,0,2,0,0,0,12,.095,.095,.143,.238,-32,3,0,0,1,0,0,1
1966,allenbe01,Bernie Allen,27,MIN,AL,101,350,319,34,76,18,1,5,30,2,3,26,40,.238,.299,.348,.647,81,111,10,2,2,1,5,4/5
1966,allenbo04,Bob Allen,28,CLE,AL,36,11,9,0,1,0,0,0,0,0,0,1,5,.111,.200,.111,.311,-7,1,0,0,1,0,0,1
1966,allendi01,Dick Allen,24,PHI,NL,141,599,524,112,166,25,10,40,110,10,6,68,136,.317,.396,.632,1.027,181,331,9,3,0,4,13,57
1966,allenha02,Hank Allen,25,WSA,AL,9,35,31,2,12,0,0,1,6,0,0,3,6,.387,.441,.484,.925,168,15,0,0,1,0,0,/79
1966,alleyge01,Gene Alley,25,PIT,NL,147,634,579,88,173,28,10,7,43,8,8,27,83,.299,.334,.418,.752,108,242,8,5,20,3,0,*6
