year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1968,abernte02,Ted Abernathy,35,CIN,NL,10,7,.588,2.46,78,0,53,0,0,13,135.1,111,43,37,9,55,15,64,4,0,2,562,129,3.61,1.227,7.4,0.6,3.7,4.3,1.16
1968,adamsmi01,Mike Adamson,20,BAL,AL,0,2,.000,9.39,2,2,0,0,0,0,7.2,9,9,8,2,4,0,4,0,1,0,36,33,6.30,1.696,10.6,2.3,4.7,4.7,1.00
1968,aguirha01,Hank Aguirre,37,LAD,NL,1,2,.333,0.69,25,0,16,0,0,3,39.0,32,8,3,0,13,3,25,3,0,4,167,402,2.33,1.154,7.4,0.0,3.0,5.8,1.92
1968,akerja01,Jack Aker,27,OAK,AL,4,4,.500,4.10,54,0,30,0,0,12,74.2,72,39,34,6,33,6,44,6,0,4,330,68,3.82,1.406,8.7,0.7,4.0,5.3,1.33
1968,arrigge01,Gerry Arrigo,27,CIN,NL,12,10,.545,3.33,36,31,0,5,1,0,205.1,181,84,76,13,77,7,140,4,0,10,853,95,3.03,1.256,7.9,0.6,3.4,6.1,1.82
1968,bahnsst01,Stan Bahnsen,23,NYY,AL,17,12,.586,2.05,37,34,3,10,1,0,267.1,216,72,61,14,68,6,162,2,1,4,1070,140,2.64,1.062,7.3,0.5,2.3,5.5,2.38
1968,bailest01,Steve Bailey,26,CLE,AL,0,1,.000,3.60,2,1,0,0,0,0,5.0,4,3,2,1,2,0,1,0,0,1,21,91,5.79,1.200,7.2,1.8,3.6,1.8,0.50
1968,baldwda01,Dave Baldwin,30,WSA,AL,0,2,.000,4.07,40,0,22,0,0,6,42.0,40,19,19,7,12,0,30,0,0,1,173,72,3.98,1.238,8.6,1.5,2.6,6.4,2.50
1968,barbest01,Steve Barber,30,NYY,AL,6,5,.545,3.23,20,19,0,3,1,0,128.1,127,63,46,7,64,4,87,3,1,5,575,89,3.30,1.488,8.9,0.5,4.5,6.1,1.36
1968,beenefr01,Fred Beene,25,BAL,AL,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,1,0,1,0,0,0,6,49,3.39,3.000,18.0,0.0,9.0,9.0,1.00
