year,team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,player_game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,re24_def,draftkings_points,fanduel_points,pitcher_situation_in,pitcher_situation_out
2018,3,2018-03-31.MIA201803310,CHC,@,MIA,4,37.8,,99,4.1,5,5,5,2,4,1,2,10.38,21,102,59,19,9,6,7,3,1,0,35,,,0,1,0,17,0,0,0,0,0,0,1.37,-0.471,-3.69,2.35,10.00,3,28
2018,8,2018-04-07.MIL201804070,CHC,@,MIL,3,46.6,,6,6.0,2,1,1,1,9,1,0,5.23,21,94,59,19,14,5,6,0,1,0,72,,,0,0,0,20,0,0,0,0,0,0,.76,0.192,1.96,27.70,42.00,3,36
2018,13,2018-04-13.CHN201804130,CHC,,ATL,-4,38.6,3.999,5,4.2,9,4,4,4,4,1,0,6.00,27,105,61,15,6,9,10,6,2,0,30,,,0,0,0,23,3,0,0,0,0,0,1.16,-0.186,-2.20,2.70,14.00,0,26
2018,18,2018-04-21.COL201804210,CHC,@,COL,-3,38.9,3.998,7,4.2,5,5,5,4,4,0,0,6.86,23,94,59,17,6,5,10,3,0,0,34,,,1,0,0,18,2,0,0,0,0,0,1.12,-0.340,-2.82,3.10,11.00,3,29
2018,23,2018-04-27.CHN201804270,CHC,,MIL,1,46.3,,5,6.0,3,1,0,2,8,0,0,5.26,24,104,70,22,12,5,9,4,0,0,70,,,1,0,0,21,1,0,0,0,1,1,1.00,0.273,2.10,26.50,42.00,0,33
2018,28,2018-05-02.CHN201805020,CHC,,COL,-9,37.5,3.997,4,4.1,7,6,5,3,8,3,0,6.00,24,86,54,12,8,6,7,3,1,0,32,,,1,0,0,21,2,0,0,0,0,1,.69,-0.313,-3.69,9.75,22.00,0,25
2018,39,2018-05-15.ATL201805150,CHC,@,ATL,1,33.4,,12,4.0,3,1,1,2,5,1,0,5.56,16,61,36,11,10,5,4,2,1,0,55,,,3,0,0,14,0,0,0,0,0,0,.85,0.072,0.93,14.00,24.00,3,24
2018,44,2018-05-20.CIN201805200,CHC,@,CIN,5,46.6,9.999,4,6.0,2,1,1,3,7,0,2,4.95,24,94,57,11,17,3,9,2,4,0,68,,,0,0,0,19,0,0,0,1,0,0,1.26,0.219,1.99,25.30,48.00,3,36
