number,one,two,three,four,five,six,seven,eight,nine
1,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Bertell,Phillips,pitcher
2,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Bertell,Phillips,pitcher
3,Kessinger,Beckert,Williams,Santo,Banks,Boccabella,Thomas,Phillips,pitcher
4,Popovich,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
5,Popovich,Beckert,Williams,Santo,Banks,Hundley,Browne,Phillips,pitcher
6,Kessinger,Beckert,Williams,Santo,Banks,Hundley,Browne,Phillips,pitcher
7,Kessinger,Beckert,Williams,Santo,Banks,Hundley,Browne,Phillips,pitcher
8,Kessinger,Beckert,Williams,Santo,Banks,Hundley,Browne,Phillips,pitcher
9,Kessinger,Beckert,Williams,Santo,Gigon,Hundley,Banks,Phillips,pitcher
10,Kessinger,Beckert,Williams,Santo,Thomas,Jones,Hundley,Phillips,pitcher
11,Kessinger,Beckert,Williams,Santo,Thomas,Jones,Hundley,Phillips,pitcher
12,Kessinger,Beckert,Williams,Santo,Thomas,Jones,Hundley,Phillips,pitcher
13,Kessinger,Beckert,Williams,Santo,Thomas,Banks,Hundley,Phillips,pitcher
14,Kessinger,Beckert,Williams,Santo,Gigon,Banks,Hundley,Phillips,pitcher
15,Kessinger,Beckert,Williams,Santo,Gigon,Banks,Hundley,Phillips,pitcher
16,Kessinger,Beckert,Williams,Santo,Banks,Hundley,Campbell,Phillips,pitcher
17,Kessinger,Beckert,Williams,Thomas,Santo,Banks,Hundley,Phillips,pitcher
18,Kessinger,Beckert,Williams,Santo,Banks,Hundley,Thomas,Phillips,pitcher
19,Kessinger,Beckert,Williams,Santo,Thomas,Banks,Hundley,Phillips,pitcher
20,Kessinger,Beckert,Williams,Santo,Thomas,Banks,Hundley,Phillips,pitcher
21,Kessinger,Beckert,Williams,Santo,Thomas,Banks,Hundley,Phillips,pitcher
22,Kessinger,Beckert,Williams,Santo,Thomas,Banks,Hundley,Phillips,pitcher
23,Kessinger,Beckert,Williams,Santo,Banks,Boccabella,Hundley,Phillips,pitcher
24,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
25,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
26,Popovich,Beckert,Williams,Santo,Thomas,Jones,Hundley,Phillips,pitcher
27,Popovich,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
28,Popovich,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
29,Popovich,Beckert,Williams,Banks,Hundley,Santo,Savage,Phillips,pitcher
30,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
31,Kessinger,Beckert,Williams,Santo,Banks,Savage,Hundley,Phillips,pitcher
32,Kessinger,Beckert,Williams,Santo,Banks,Savage,Hundley,Phillips,pitcher
33,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
34,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
35,Popovich,Beckert,Williams,Santo,Banks,Savage,Hundley,Phillips,pitcher
36,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
37,Kessinger,Beckert,Williams,Santo,Banks,Thomas,Hundley,Phillips,pitcher
