year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1946,abernwo01,Woody Abernathy,31,NYG,NL,1,1,.500,3.38,15,1,5,0,0,1,40.0,32,16,15,5,10,,6,0,0,0,153,103,4.46,1.050,7.2,1.1,2.3,1.4,0.60
1946,adamsac01,Ace Adams,36,NYG,NL,0,1,.000,16.88,3,0,1,0,0,0,2.2,9,5,5,2,1,,3,0,0,0,19,24,11.01,3.750,30.4,6.8,3.4,10.1,3.00
1946,adamsre01,Red Adams,24,CHC,NL,0,1,.000,8.25,8,0,4,0,0,0,12.0,18,12,11,1,7,,8,0,0,0,59,42,3.89,2.083,13.5,0.8,5.3,6.0,1.14
1946,albosed01,Ed Albosta,27,PIT,NL,0,6,.000,6.13,17,6,3,0,0,0,39.2,41,34,27,3,35,,19,1,0,1,195,58,5.13,1.916,9.3,0.7,7.9,4.3,0.54
1946,andrena01,Nate Andrews,32,TOT,NL,3,4,.429,4.39,10,9,0,3,0,0,55.1,67,38,27,4,12,,18,1,0,0,243,78,3.38,1.428,10.9,0.7,2.0,2.9,1.50
1946,andrena01,Nate Andrews,32,CIN,NL,2,4,.333,3.95,7,7,0,3,0,0,43.1,50,29,19,2,8,,13,1,0,0,190,86,3.01,1.338,10.4,0.4,1.7,2.7,1.63
1946,andrena01,Nate Andrews,32,NYG,NL,1,0,1.000,6.00,3,2,0,0,0,0,12.0,17,9,8,2,4,,5,0,0,0,53,60,4.72,1.750,12.8,1.5,3.0,3.8,1.25
1946,bagbyji02,Jim Bagby,29,BOS,AL,7,6,.538,3.71,21,11,4,6,1,0,106.2,117,55,44,4,49,,16,1,0,1,476,99,3.98,1.556,9.9,0.3,4.1,1.4,0.33
1946,bahred01,Ed Bahr,26,PIT,NL,8,6,.571,2.63,27,14,7,7,0,0,136.2,128,57,40,8,52,,44,5,0,2,577,134,3.76,1.317,8.4,0.5,3.4,2.9,0.85
1946,barnere02,Rex Barney,21,BRO,NL,2,5,.286,5.87,16,9,1,1,0,0,53.2,46,42,35,2,51,,36,0,0,1,249,58,4.38,1.807,7.7,0.3,8.6,6.0,0.71
1946,barrefr01,Frank Barrett,32,BSN,NL,2,4,.333,5.09,23,0,11,0,0,1,35.1,35,21,20,2,17,,12,1,0,0,160,69,3.97,1.472,8.9,0.5,4.3,3.1,0.71
1946,barrere01,Red Barrett,31,STL,NL,3,2,.600,4.03,23,9,9,1,1,2,67.0,75,35,30,5,24,,22,2,0,2,298,86,3.86,1.478,10.1,0.7,3.2,3.0,0.92
1946,bauerru01,Russ Bauers,32,CHC,NL,2,1,.667,3.53,15,2,8,2,0,1,43.1,45,17,17,1,19,,22,1,0,1,189,95,3.06,1.477,9.3,0.2,3.9,4.6,1.16
1946,beazljo01,Johnny Beazley,28,STL,NL,7,5,.583,4.46,19,18,0,5,0,0,103.0,109,55,51,6,55,,36,4,1,3,460,78,4.16,1.592,9.5,0.5,4.8,3.1,0.65
1946,beggsjo01,Joe Beggs,35,CIN,NL,12,10,.545,2.32,28,22,4,14,2,1,190.0,175,63,49,15,39,,38,1,2,0,760,145,3.64,1.126,8.3,0.7,1.8,1.8,0.97
1946,behrmha01,Hank Behrman,25,BRO,NL,11,5,.688,2.93,47,11,12,2,0,4,150.2,138,63,49,3,69,,78,2,2,2,655,116,3.02,1.374,8.2,0.2,4.1,4.7,1.13
1946,bentoal01,Al Benton,35,DET,AL,11,7,.611,3.65,28,15,6,6,1,1,140.2,132,69,57,9,58,,60,1,0,2,606,101,3.62,1.351,8.4,0.6,3.7,3.8,1.03
1946,berryjo03,Joe Berry,41,TOT,AL,3,7,.300,3.22,26,0,17,0,0,1,50.1,47,23,18,5,24,,21,1,0,0,217,106,4.33,1.411,8.4,0.9,4.3,3.8,0.88
1946,berryjo03,Joe Berry,41,PHA,AL,0,1,.000,2.77,5,0,4,0,0,0,13.0,15,5,4,1,3,,5,1,0,0,57,131,3.54,1.385,10.4,0.7,2.1,3.5,1.67
1946,berryjo03,Joe Berry,41,CLE,AL,3,6,.333,3.38,21,0,13,0,0,1,37.1,32,18,14,4,21,,16,0,0,0,160,99,4.61,1.420,7.7,1.0,5.1,3.9,0.76
1946,bessehe01,Herman Besse,34,PHA,AL,0,2,.000,5.23,7,3,2,0,0,1,20.2,19,12,12,1,9,,10,0,0,0,89,68,3.35,1.355,8.3,0.4,3.9,4.4,1.11
1946,bevenbi01,Bill Bevens,29,NYY,AL,16,13,.552,2.23,31,31,0,18,3,0,249.2,213,73,62,11,78,,120,1,0,0,1014,154,2.95,1.166,7.7,0.4,2.8,4.3,1.54
