year,team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,player_game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,re24_def,draftkings_points,fanduel_points,pitcher_situation_in,pitcher_situation_out
2019,2,2019-03-30.TEX201903300,CHC,@,TEX,-2,25.7,,99,2.2,2,3,3,7,4,1,0,10.12,16,75,38,12,4,2,3,1,0,0,39,,,0,1,0,9,0,0,0,0,0,0,1.31,-0.126,-1.40,2.60,11.00,3,17
2019,6,2019-04-04.ATL201904040,CHC,@,ATL,-5,36.7,3.999,4,4.0,5,3,3,4,2,0,0,8.10,20,71,47,10,9,8,6,5,1,0,38,,,0,1,0,16,1,0,1,0,0,0,1.16,-0.014,-0.05,1.60,9.00,3,27
