team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
32,1985-05-17.ATL198505170,CHC,@,ATL,2,43.9,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.227,.266,.424,.690,2,1.88,0.114,0.19,2B
33,1985-05-18.ATL198505180,CHC,@,ATL,-1,43.9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.273,.426,.699,2,.90,-0.013,-0.11,2B
34,1985-05-19.ATL198505190,CHC,@,ATL,-3,43.9,5,5,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,.255,.291,.447,.737,2,.77,0.081,0.68,2B
35,1985-05-20.CHN198505200,CHC,,CIN,5,43.9,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.255,.289,.441,.731,2,.91,-0.026,-0.18,2B
36,1985-05-21.CHN198505210,CHC,,CIN,-3,43.9,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.247,.280,.427,.707,2,1.16,-0.129,-0.93,2B SS
37,1985-05-22.CHN198505220,CHC,,CIN,3,43.9,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.248,.286,.425,.711,2,.81,0.044,0.42,2B
38,1985-05-24.CHN198505240,CHC,,HOU,-4,43.9,4,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,.252,.297,.445,.742,2,1.04,0.125,1.05,2B
39,1985-05-25.CHN198505250,CHC,,HOU,1,43.9,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.252,.296,.440,.736,2,1.57,-0.032,-0.67,2B
40,1985-05-26.CHN198505260,CHC,,HOU,2,43.9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.252,.299,.436,.734,2,1.16,0.082,0.20,2B
41,1985-05-27.CIN198505270,CHC,@,CIN,1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,.251,.298,.431,.729,2,1.18,-0.113,-0.85,2B
