number,one,two,three,four,five,six,seven,eight,nine
1,Young,Buford,Grace,Sosa,Rodriguez,Andrews,Nieves,Girardi,pitcher
2,Young,Buford,Sosa,Grace,Rodriguez,Andrews,Huson,Girardi,pitcher
3,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Buford,Girardi,pitcher
4,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Buford,Girardi,pitcher
5,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Reed,Buford,pitcher
6,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Buford,Girardi,pitcher
7,Young,Gutierrez,Sosa,Rodriguez,Reed,Andrews,Zuleta,Buford,pitcher
8,Young,Gutierrez,Sosa,Grace,Hill,Andrews,Buford,Girardi,pitcher
9,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Buford,Girardi,pitcher
10,Young,Gutierrez,Sosa,Grace,Hill,Andrews,Buford,Girardi,pitcher
11,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Reed,Buford,pitcher
12,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Buford,Girardi,pitcher
13,Young,Gutierrez,Sosa,Grace,Hill,Andrews,Buford,Girardi,pitcher
14,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Reed,Brock,pitcher
15,Young,Gutierrez,Sosa,Grace,Hill,Andrews,Buford,Girardi,pitcher
16,Young,Gutierrez,Sosa,Grace,Rodriguez,Andrews,Brock,Girardi,pitcher
17,Young,Gutierrez,Grace,Sosa,Rodriguez,Andrews,Reed,Buford,pitcher
18,Young,Gutierrez,Grace,Sosa,Rodriguez,Reed,Brown,Huson,pitcher
19,Young,Gutierrez,Grace,Sosa,Hill,Andrews,Girardi,Buford,pitcher
20,Young,Gutierrez,Grace,Sosa,Rodriguez,Reed,Brown,Huson,pitcher
21,Young,Gutierrez,Grace,Sosa,Hill,Andrews,Girardi,Buford,pitcher
22,Young,Gutierrez,Grace,Sosa,Rodriguez,Hill,Andrews,Reed,pitcher
23,Young,Gutierrez,Grace,Sosa,Rodriguez,Greene,Buford,Girardi,pitcher
24,Young,Gutierrez,Grace,Sosa,Rodriguez,Andrews,Buford,Girardi,pitcher
25,Young,Gutierrez,Grace,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
26,Young,Gutierrez,Grace,Sosa,Hill,Nieves,Buford,Girardi,pitcher
27,Young,Gutierrez,Grace,Sosa,Hill,Nieves,Buford,Girardi,pitcher
28,Young,Gutierrez,Grace,Sosa,Rodriguez,Greene,Buford,Girardi,pitcher
29,Young,Gutierrez,Grace,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
30,Young,Gutierrez,Grace,Sosa,Rodriguez,Andrews,Buford,Girardi,pitcher
31,Young,Gutierrez,Grace,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
32,Young,Gutierrez,Sosa,Hill,Andrews,Nieves,Buford,Girardi,pitcher
33,Young,Grace,Sosa,Rodriguez,Greene,Nieves,Buford,Girardi,pitcher
34,Young,Gutierrez,Grace,Sosa,Hill,Andrews,Buford,Girardi,pitcher
35,Young,Gutierrez,Grace,Sosa,Rodriguez,Andrews,Reed,Buford,pitcher
36,Young,Gutierrez,Sosa,Grace,Hill,Greene,Reed,Buford,pitcher
37,Huson,Gutierrez,Sosa,Greene,Hill,Zuleta,Buford,Girardi,pitcher
38,Young,Gutierrez,Sosa,Rodriguez,Andrews,Greene,Buford,Girardi,pitcher
39,Young,Gutierrez,Sosa,Rodriguez,Reed,Greene,Andrews,Buford,pitcher
40,Young,Gutierrez,Sosa,Rodriguez,Greene,Andrews,Girardi,Buford,pitcher
41,Young,Gutierrez,Sosa,Rodriguez,Greene,Martinez,Reed,Buford,pitcher
42,Young,Gutierrez,Martinez,Sosa,Greene,Zuleta,Buford,Girardi,pitcher
43,Young,Gutierrez,Martinez,Sosa,Greene,Reed,Zuleta,Buford,pitcher
44,Young,Gutierrez,Martinez,Sosa,Hill,Nieves,Buford,Girardi,pitcher
45,Young,Gutierrez,Martinez,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
46,Young,Gutierrez,Martinez,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
47,Young,Gutierrez,Sosa,Rodriguez,Greene,Martinez,Buford,Girardi,pitcher
48,Young,Martinez,Sosa,Rodriguez,Greene,Nieves,Buford,Girardi,pitcher
49,Young,Martinez,Sosa,Rodriguez,Greene,Nieves,Buford,Girardi,pitcher
50,Young,Greene,Sosa,Reed,Rodriguez,Zuleta,Buford,Nieves,pitcher
51,Young,Girardi,Sosa,Hill,Zuleta,Greene,Buford,Nieves,pitcher
52,Young,Martinez,Sosa,Rodriguez,Reed,Greene,Buford,Nieves,pitcher
53,Young,Girardi,Sosa,Hill,Zuleta,Greene,Buford,Nieves,pitcher
54,Young,Girardi,Grace,Sosa,Hill,Greene,Buford,Huson,pitcher
55,Young,Huson,Grace,Sosa,Rodriguez,Greene,Reed,Buford,pitcher
56,Young,Girardi,Grace,Sosa,Rodriguez,Greene,Buford,Huson,pitcher
57,Young,Martinez,Grace,Sosa,Rodriguez,Greene,Girardi,Ojeda,pitcher
58,Meyers,Buford,Grace,Sosa,Greene,Rodriguez,Reed,Ojeda,pitcher
59,Young,Girardi,Grace,Sosa,Greene,Martinez,Buford,Ojeda,pitcher
60,Young,Girardi,Grace,Sosa,Hill,Buford,Greene,Ojeda,pitcher
61,Young,Girardi,Grace,Sosa,Rodriguez,Hill,Greene,Buford,Ojeda
62,Young,Girardi,Grace,Sosa,Hill,Buford,Matthews,Meyers,Ojeda
63,Young,Brown,Sosa,Greene,Hill,Rodriguez,Buford,Reed,Ojeda
64,Young,Brown,Sosa,Grace,Rodriguez,Girardi,Greene,Huson,pitcher
65,Young,Girardi,Sosa,Grace,Hill,Buford,Meyers,Ojeda,pitcher
66,Young,Brown,Sosa,Grace,Rodriguez,Greene,Reed,Ojeda,pitcher
67,Young,Brown,Sosa,Grace,Rodriguez,Girardi,Greene,Huson,pitcher
68,Young,Brown,Sosa,Grace,Rodriguez,Girardi,Greene,Ojeda,pitcher
69,Young,Brown,Sosa,Grace,Rodriguez,Girardi,Greene,Ojeda,pitcher
70,Young,Buford,Sosa,Grace,Hill,Nieves,Reed,Ojeda,pitcher
71,Young,Buford,Sosa,Grace,Hill,Girardi,Nieves,Ojeda,pitcher
72,Young,Gutierrez,Sosa,Grace,Greene,Rodriguez,Buford,Girardi,pitcher
73,Young,Gutierrez,Sosa,Grace,Buford,Brown,Reed,Nieves,pitcher
74,Brown,Buford,Sosa,Rodriguez,Nieves,Greene,Girardi,Huson,pitcher
75,Young,Gutierrez,Sosa,Grace,Nieves,Rodriguez,Buford,Reed,pitcher
76,Young,Brown,Sosa,Grace,Nieves,Greene,Buford,Girardi,pitcher
77,Young,Gutierrez,Sosa,Grace,Nieves,Brown,Buford,Girardi,pitcher
78,Young,Gutierrez,Sosa,Grace,Rodriguez,Nieves,Buford,Reed,pitcher
79,Young,Brown,Sosa,Grace,Hill,Greene,Reed,Huson,pitcher
80,Young,Gutierrez,Sosa,Rodriguez,Nieves,Brown,Buford,Girardi,pitcher
81,Young,Girardi,Grace,Sosa,Rodriguez,Nieves,Gutierrez,Buford,pitcher
82,Young,Girardi,Grace,Sosa,Rodriguez,Gutierrez,Greene,Buford,pitcher
83,Young,Gutierrez,Grace,Sosa,Hill,Nieves,Buford,Reed,pitcher
84,Young,Gutierrez,Grace,Sosa,Hill,Nieves,Buford,Girardi,pitcher
85,Young,Girardi,Grace,Sosa,Rodriguez,Gutierrez,Greene,Buford,pitcher
86,Young,Girardi,Grace,Sosa,Rodriguez,Gutierrez,Greene,Buford,pitcher
87,Young,Gutierrez,Grace,Sosa,Rodriguez,Hill,Reed,Greene,Buford
88,Young,Girardi,Grace,Sosa,Hill,Gutierrez,Nieves,Buford,Matthews
89,Young,Gutierrez,Grace,Sosa,Rodriguez,Hill,Reed,Greene,Brown
90,Young,Gutierrez,Grace,Sosa,Rodriguez,Hill,Greene,Girardi,Brown
91,Young,Gutierrez,Grace,Sosa,Rodriguez,Hill,Greene,Reed,Buford
92,Huson,Gutierrez,Grace,Sosa,Rodriguez,Hill,Greene,Girardi,Buford
93,Young,Gutierrez,Grace,Sosa,Matthews,Nieves,Buford,Girardi,pitcher
94,Young,Gutierrez,Grace,Sosa,Hill,Nieves,Buford,Girardi,pitcher
