number,one,two,three,four,five,six,seven,eight,nine
1,Mulligan,Flack,Williams,Zimmerman,Saier,Schulte,Yerkes,Archer,pitcher
2,Mulligan,Flack,Williams,Zimmerman,Saier,Schulte,Yerkes,Archer,pitcher
3,Mulligan,Flack,Williams,Zimmerman,Saier,Schulte,Yerkes,Archer,pitcher
4,Flack,Williams,Zimmerman,Saier,Schulte,Yerkes,Mulligan,Fischer,pitcher
5,Mann,Flack,Williams,Zimmerman,Saier,Mulligan,Fischer,Yerkes,pitcher
6,Mann,Flack,Williams,Zimmerman,Saier,Mulligan,Fischer,Yerkes,pitcher
7,Mann,Flack,Williams,Zimmerman,Saier,Mulligan,Fischer,Yerkes,pitcher
8,Mann,Flack,Williams,Zimmerman,Saier,Mulligan,Fischer,Yerkes,pitcher
9,Mann,Flack,Williams,Zimmerman,Saier,Doolin,Archer,Yerkes,pitcher
10,Mann,Flack,Williams,Zimmerman,Saier,Doolin,Fischer,Yerkes,pitcher
11,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Fischer,Yerkes,pitcher
12,Mann,Flack,Williams,Zimmerman,Saier,Doolin,Archer,Yerkes,pitcher
13,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Fischer,Yerkes,pitcher
14,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Fischer,Yerkes,pitcher
15,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Archer,Yerkes,pitcher
16,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Archer,Yerkes,pitcher
17,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Archer,Yerkes,pitcher
18,Mann,Flack,Williams,Zimmerman,Saier,Doolin,Allen,Yerkes,pitcher
19,Mann,Flack,Williams,Zimmerman,Saier,Doolin,Allen,Yerkes,pitcher
20,Schulte,Flack,Williams,Zimmerman,Saier,Doolin,Allen,Yerkes,pitcher
21,Mann,Flack,Williams,Zimmerman,Saier,Yerkes,Allen,Doolin,pitcher
22,Mann,Flack,Williams,Zimmerman,Saier,Yerkes,Archer,Doolin,pitcher
23,Schulte,Flack,Williams,Zimmerman,Saier,Yerkes,Archer,Doolin,pitcher
24,Mann,Flack,Williams,Zimmerman,Saier,Yerkes,Archer,Doolin,pitcher
25,Schulte,Flack,Williams,Zimmerman,Saier,Yerkes,Archer,Tinker,pitcher
26,Schulte,Flack,Williams,Zimmerman,Saier,Yerkes,Archer,Mulligan,pitcher
27,Schulte,Flack,Williams,Zimmerman,Saier,McCarthy,Archer,Mulligan,pitcher
28,Mann,Flack,Williams,Zimmerman,Saier,McCarthy,Archer,Mulligan,pitcher
29,Mann,Flack,Williams,Zimmerman,Saier,McCarthy,Archer,Mulligan,pitcher
30,Schulte,Flack,Williams,Zimmerman,Saier,McCarthy,Archer,Mulligan,pitcher
31,Mann,Flack,Williams,Zimmerman,Saier,Zeider,Archer,Mulligan,pitcher
32,Schulte,Flack,Williams,Zimmerman,Saier,Zeider,Fischer,Mulligan,pitcher
33,Schulte,Flack,Williams,Zimmerman,Saier,McCarthy,Fischer,Mulligan,pitcher
34,Schulte,Mann,Williams,Zimmerman,Saier,McCarthy,Fischer,Mulligan,pitcher
35,Schulte,Mann,Williams,Zimmerman,Saier,McCarthy,Fischer,Mulligan,pitcher
36,Schulte,Flack,Williams,Zimmerman,Saier,McCarthy,Fischer,Mulligan,pitcher
37,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Fischer,Doolin,pitcher
38,McCarthy,Flack,Williams,Mann,Zimmerman,Saier,Fischer,Doolin,pitcher
39,McCarthy,Flack,Williams,Mann,Zimmerman,Saier,Archer,Doolin,pitcher
40,McCarthy,Flack,Williams,Mann,Zimmerman,Saier,Archer,Doolin,pitcher
41,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Fischer,Doolin,pitcher
42,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
43,McCarthy,Flack,Williams,Mann,Zimmerman,Saier,Archer,Mulligan,pitcher
44,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
45,McCarthy,Flack,Williams,Mann,Zimmerman,Saier,Archer,Mulligan,pitcher
46,McCarthy,Zwilling,Williams,Mann,Zimmerman,Saier,Archer,Mulligan,pitcher
47,McCarthy,Zwilling,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
48,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
49,McCarthy,Mann,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
50,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
51,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
52,McCarthy,Flack,Williams,Schulte,Zimmerman,Saier,Archer,Mulligan,pitcher
53,Zeider,Flack,Williams,Schulte,McCarthy,Saier,Archer,Mulligan,pitcher
54,Zeider,Mann,Williams,Schulte,McCarthy,Saier,Archer,Mulligan,pitcher
55,Zeider,Mann,Williams,Schulte,McCarthy,Saier,Archer,Mulligan,pitcher
56,Zeider,Flack,Williams,Schulte,McCarthy,Saier,Fischer,Mulligan,pitcher
57,Zeider,Mann,Williams,Schulte,McCarthy,Saier,Archer,Mulligan,pitcher
58,Zeider,Mann,Williams,Schulte,McCarthy,Saier,Archer,Mulligan,pitcher
59,Zeider,Williams,Mann,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
60,Zeider,Flack,Zwilling,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
61,Zeider,Flack,Zwilling,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
62,Zeider,Flack,Zwilling,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
63,Zeider,Zwilling,Mann,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
64,Zeider,Flack,Zwilling,Schulte,Knabe,Saier,Fischer,Mulligan,pitcher
65,Zeider,Flack,Williams,Zimmerman,Schulte,Saier,Fischer,Mulligan,pitcher
66,Zeider,Flack,Williams,Zimmerman,Mann,Saier,Fischer,Mulligan,pitcher
67,Zeider,Flack,Williams,Zimmerman,Mann,Saier,Fischer,Mulligan,pitcher
