year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1990,aasedo01,Don Aase,35,LAD,NL,3,1,.750,4.97,32,0,13,0,0,3,38.0,33,24,21,5,19,4,24,0,0,3,163,75,4.76,1.368,7.8,1.2,4.5,5.7,1.26
1990,abbotji01,Jim Abbott,22,CAL,AL,10,14,.417,4.51,33,33,0,4,1,0,211.2,246,116,106,16,72,6,105,5,3,4,925,84,3.89,1.502,10.5,0.7,3.1,4.5,1.46
1990,abbotpa01,Paul Abbott,22,MIN,AL,0,5,.000,5.97,7,7,0,0,0,0,34.2,37,24,23,0,28,0,25,1,0,1,162,70,3.88,1.875,9.6,0.0,7.3,6.5,0.89
1990,ackerji01,Jim Acker,31,TOR,AL,4,4,.500,3.83,59,0,19,0,0,1,91.2,103,49,39,9,30,5,54,3,1,4,403,108,3.99,1.451,10.1,0.9,2.9,5.3,1.80
1990,adkinst01,Steve Adkins,25,NYY,AL,1,2,.333,6.38,5,5,0,0,0,0,24.0,19,18,17,4,29,0,14,0,0,2,115,63,7.43,2.000,7.1,1.5,10.9,5.3,0.48
1990,agostju01,Juan Agosto,32,HOU,NL,9,8,.529,4.29,82,0,29,0,0,4,92.1,91,46,44,4,39,8,50,7,0,1,404,87,3.78,1.408,8.9,0.4,3.8,4.9,1.28
1990,aguilri01,Rick Aguilera,28,MIN,AL,5,3,.625,2.76,56,0,54,0,0,32,65.1,55,27,20,5,19,6,61,4,0,3,268,152,2.99,1.133,7.6,0.7,2.6,8.4,3.21
1990,akerfda01,Darrel Akerfelds,28,PHI,NL,5,2,.714,3.77,71,0,18,0,0,3,93.0,65,45,39,10,54,8,42,3,1,7,395,101,5.14,1.280,6.3,1.0,5.2,4.1,0.78
1990,aldresc01,Scott Aldred,22,DET,AL,1,2,.333,3.77,4,3,0,0,0,0,14.1,13,6,6,0,10,1,7,1,0,0,63,109,4.13,1.605,8.2,0.0,6.3,4.4,0.70
1990,aldrija01,Jay Aldrich,29,BAL,AL,1,2,.333,8.25,7,0,2,0,0,1,12.0,17,13,11,1,7,3,5,0,1,0,61,48,4.81,2.000,12.8,0.8,5.3,3.8,0.71
