year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1898,altroni01,Nick Altrock,21,LOU,NL,3,3,.500,4.50,11,7,4,6,0,0,70.0,89,54,35,2,21,,13,3,0,5,314,81,3.80,1.571,11.4,0.3,2.7,1.7,0.62
1898,amoledo01,Doc Amole,24,WHS,NL,0,6,.000,7.84,7,5,1,4,0,0,49.1,83,57,43,0,22,,11,6,0,2,253,47,4.02,2.128,15.1,0.0,4.0,2.0,0.50
1898,bakerki01,Kirtley Baker,29,WHS,NL,2,3,.400,3.06,6,5,1,4,0,0,47.0,56,31,16,1,18,,7,0,0,1,209,121,3.89,1.574,10.7,0.2,3.4,1.3,0.39
1898,batesfr01,Frank Bates,21,CLV,NL,2,1,.667,3.10,4,4,0,4,0,0,29.0,30,15,10,0,11,,5,1,0,0,125,112,3.66,1.414,9.3,0.0,3.4,1.6,0.45
1898,beckebo01,Bob Becker,22,PHI,NL,0,0,,10.80,1,0,1,0,0,0,5.0,6,6,6,0,5,,0,0,0,0,25,35,5.77,2.200,10.8,0.0,9.0,0.0,0.00
1898,breitte01,Ted Breitenstein,29,CIN,NL,20,14,.588,3.42,39,37,2,32,3,0,315.2,313,170,120,2,123,,68,11,0,3,1353,113,3.69,1.381,8.9,0.1,3.5,1.9,0.55
1898,briggbu01,Buttons Briggs,22,CHC,NL,1,3,.250,5.70,4,4,0,3,0,0,30.0,38,22,19,0,10,,14,1,0,1,135,64,2.93,1.600,11.4,0.0,3.0,4.2,1.40
1898,callani01,Jimmy Callahan,24,CHC,NL,20,10,.667,2.46,31,31,0,30,2,0,274.1,267,137,75,2,71,,73,10,3,4,1135,147,3.22,1.232,8.8,0.1,2.3,2.4,1.03
1898,callaji01,John Callahan,23,STL,NL,0,2,.000,16.20,2,2,0,1,0,0,8.1,18,20,15,2,7,,2,2,1,1,51,24,8.65,3.000,19.4,2.2,7.6,2.2,0.29
1898,carribi01,Bill Carrick,24,NYG,NL,3,1,.750,3.40,5,4,1,4,0,0,39.2,39,23,15,0,21,,10,5,0,0,179,104,4.23,1.513,8.8,0.0,4.8,2.3,0.48
1898,carseki01,Kid Carsey,25,STL,NL,2,12,.143,6.33,20,13,7,10,0,0,123.2,177,112,87,2,37,,10,10,0,3,579,60,3.96,1.730,12.9,0.1,2.7,0.7,0.27
1898,clarkda01,Dad Clarke,33,LOU,NL,0,1,.000,5.00,1,1,0,1,0,0,9.0,10,7,5,1,2,,1,2,0,0,40,75,5.32,1.333,10.0,1.0,2.0,1.0,0.50
1898,clarkhe01,Henry Clarke,22,CHC,NL,1,0,1.000,2.00,1,1,0,1,0,0,9.0,8,4,2,0,5,,1,1,0,0,40,189,4.54,1.444,8.0,0.0,5.0,1.0,0.20
1898,colempe01,Percy Coleman,21,CIN,NL,0,1,.000,3.00,1,1,0,1,0,0,9.0,13,7,3,0,3,,2,1,0,0,43,134,3.66,1.778,13.0,0.0,3.0,2.0,0.67
1898,connbe01,Bert Conn,18,PHI,NL,0,1,.000,6.43,1,1,0,0,0,0,7.0,13,9,5,1,2,,3,0,0,0,35,57,4.62,2.143,16.7,1.3,2.6,3.9,1.50
1898,cronija01,Jack Cronin,24,PIT,NL,2,2,.500,3.54,4,4,0,2,1,0,28.0,35,14,11,0,8,,9,0,0,0,123,102,2.98,1.536,11.3,0.0,2.6,2.9,1.13
1898,cunnibe01,Bert Cunningham,32,LOU,NL,28,15,.651,3.16,44,42,2,41,0,0,362.0,387,174,127,8,65,,34,20,0,3,1510,114,3.57,1.249,9.6,0.2,1.6,0.8,0.52
