team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1974-04-05.SFN197404050,HOU,@,SFG,-4,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3,1.01,-0.099,-1.50,CF
2,1974-04-06.SFN197404060,HOU,@,SFG,-1,43.9,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.375,3,1.39,0.012,0.67,CF
3,1974-04-07.SFN197404070,HOU,@,SFG,-4,43.9,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.333,.500,3,1.16,-0.081,-0.74,CF
4,1974-04-09.SDN197404090,HOU,@,SDP,4,43.9,5,5,3,3,1,0,0,4,0,0,1,0,0,0,0,0,0,0,.294,.294,.471,.765,3,.46,0.180,3.02,CF
5,1974-04-10.SDN197404100,HOU,@,SDP,8,43.9,5,4,2,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,.381,.409,.667,1.076,3,.65,0.143,0.96,CF
6,1974-04-11.SDN197404110,HOU,@,SDP,8,43.9,5,5,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.385,.407,.654,1.061,3,.68,0.104,1.27,CF
7,1974-04-12.HOU197404120,HOU,,LAD,2,43.9,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.367,.387,.600,.987,3,1.16,0.025,0.26,CF
8,1974-04-13.HOU197404130,HOU,,LAD,-3,43.9,4,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,.382,.400,.588,.988,3,.88,0.098,1.13,CF
9,1974-04-14.HOU197404140,HOU,,LAD,-5,43.9,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.368,.385,.579,.964,3,.30,-0.023,0.29,CF
10,1974-04-15.HOU197404150,HOU,,SFG,2,43.9,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.357,.372,.571,.944,3,1.08,-0.043,-0.22,CF
11,1974-04-16.HOU197404160,HOU,,SFG,4,43.9,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.391,.404,.587,.991,3,.54,0.039,1.47,CF
12,1974-04-17.HOU197404170,HOU,,SFG,1,43.9,4,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.396,.431,.646,1.077,3,.88,0.143,1.58,CF
13,1974-04-18.HOU197404180,HOU,,SFG,-3,43.9,4,4,0,2,0,1,0,2,0,0,1,0,0,0,0,0,1,0,.404,.436,.673,1.109,3,.96,0.064,1.62,CF
14,1974-04-19.HOU197404190,HOU,,ATL,6,43.9,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,.400,.441,.655,1.095,3,1.38,0.054,-0.21,CF
15,1974-04-20.HOU197404200,HOU,,ATL,-1,43.9,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,.373,.413,.610,1.023,3,2.00,0.040,-0.03,CF
16,1974-04-21.HOU197404210,HOU,,ATL,1,43.9,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.365,.403,.587,.990,3,1.76,0.060,0.22,CF
17,1974-04-22.HOU197404220,HOU,,ATL,7,43.9,4,4,2,2,0,0,2,5,0,0,1,0,0,0,0,0,0,0,.373,.408,.672,1.080,3,.55,0.080,3.69,CF
18,1974-04-23.SLN197404230,HOU,@,STL,-6,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.352,.387,.634,1.020,3,.43,-0.042,-0.74,CF
19,1974-04-24.SLN197404240,HOU,@,STL,5,43.9,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.329,.363,.592,.955,3,.19,-0.023,-1.02,CF
20,1974-04-26.PIT197404260,HOU,@,PIT,-1,43.9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.338,.369,.588,.957,3,1.07,0.073,0.18,CF
21,1974-04-27.PIT197404270,HOU,@,PIT,3,43.9,6,5,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.329,.367,.576,.943,3,.42,0.082,-0.01,CF
22,1974-04-28.PIT197404280,HOU,@,PIT,-4,43.9,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.326,.362,.562,.923,3,1.44,-0.038,-0.43,CF
23,1974-04-29.HOU197404290,HOU,,CHC,16,43.9,6,4,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,.323,.370,.548,.918,3,.41,0.098,1.66,CF
24,1974-04-30.HOU197404300,HOU,,CHC,2,43.9,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.316,.375,.537,.912,3,1.67,-0.002,0.13,CF
25,1974-05-01.HOU197405010,HOU,,CHC,4,43.9,5,3,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,.316,.385,.531,.916,3,1.07,0.110,0.69,CF
26,1974-05-03.HOU197405030,HOU,,STL,3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.372,.510,.881,3,.58,-0.057,-0.53,CF
27,1974-05-04.HOU197405040,HOU,,STL,1,43.9,4,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,.314,.379,.524,.903,3,1.00,0.117,0.66,CF
28,1974-05-05.HOU197405050,HOU,,STL,-2,43.9,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.306,.375,.509,.884,3,1.02,-0.027,-0.45,CF
29,1974-05-07.HOU197405070,HOU,,PIT,1,43.9,4,3,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,.306,.379,.514,.893,3,1.53,0.008,0.56,CF
30,1974-05-08.HOU197405080,HOU,,PIT,2,47.2,6,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.296,.377,.496,.873,3,2.51,-0.305,-1.11,CF
31,1974-05-09.HOU197405090,HOU,,PIT,-3,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.294,.373,.487,.861,3,.78,-0.017,-0.17,CF
32,1974-05-10.CIN197405100,HOU,@,CIN,-1,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.287,.370,.475,.845,3,1.49,-0.113,-0.37,CF
33,1974-05-11.CIN197405110,HOU,@,CIN,2,43.9,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.288,.373,.472,.845,3,1.26,0.034,0.40,CF
34,1974-05-12.CIN197405121,HOU,@,CIN,-5,43.9,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.279,.363,.457,.820,3,.73,-0.070,-0.73,CF
35,1974-05-12.CIN197405122,HOU,@,CIN,-2,43.9,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.278,.360,.474,.834,3,.73,-0.064,1.43,CF
36,1974-05-13.LAN197405130,HOU,@,LAD,-4,43.9,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.277,.357,.489,.846,3,.52,0.112,0.61,CF
37,1974-05-14.LAN197405140,HOU,@,LAD,-1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.270,.348,.475,.823,3,2.00,-0.106,-0.77,CF
38,1974-05-15.LAN197405151,HOU,@,LAD,-4,43.9,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0,0,2,0,.274,.350,.493,.843,3,.96,0.121,1.22,CF
39,1974-05-15.LAN197405152,HOU,@,LAD,-8,43.9,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.347,.493,.841,3,.92,-0.020,-0.37,CF
40,1974-05-17.HOU197405170,HOU,,CIN,-2,43.9,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.268,.345,.484,.829,3,.83,-0.055,-0.41,CF
41,1974-05-18.HOU197405180,HOU,,CIN,-1,43.9,4,4,2,3,1,0,1,2,0,0,1,0,0,0,0,0,1,0,.280,.354,.516,.870,3,1.31,0.419,2.82,CF
42,1974-05-19.HOU197405190,HOU,,CIN,-6,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.346,.503,.849,3,.52,-0.049,-0.82,CF
43,1974-05-20.HOU197405200,HOU,,SDP,-2,43.9,5,4,1,4,1,0,0,1,1,0,0,0,0,0,0,0,2,0,.291,.364,.521,.885,3,1.18,0.324,3.09,CF
44,1974-05-21.HOU197405210,HOU,,SDP,1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.290,.362,.515,.876,3,.89,0.064,0.03,CF
45,1974-05-22.HOU197405220,HOU,,SDP,4,43.9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.289,.359,.509,.868,3,1.37,-0.122,-0.83,CF
46,1974-05-24.ATL197405240,HOU,@,ATL,-3,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.288,.357,.503,.860,3,.75,0.004,-0.07,CF
47,1974-05-25.ATL197405250,HOU,@,ATL,4,43.9,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,1,.291,.358,.516,.875,3,1.99,-0.101,0.58,CF
48,1974-05-28.MON197405280,HOU,@,MON,4,43.9,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.285,.354,.505,.860,3,.72,0.031,-0.61,CF
49,1974-05-29.MON197405290,HOU,@,MON,2,43.9,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,.289,.360,.505,.865,3,1.97,-0.068,-0.75,CF
50,1974-05-30.MON197405300,HOU,@,MON,1,45.0,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.294,.366,.505,.871,3,1.10,0.031,0.82,CF
