year_ID,player_ID,name_common,age,team_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1873,bechtge01,George Bechtel,24,PHI,0,2,.000,4.50,3,2,1,1,0,0,16.0,27,24,8,0,2,,0,,0,0,87,78,3.48,1.813,15.2,0.0,1.1,0.0,0.00
1873,brainas01,Asa Brainard,32,BAL,5,7,.417,4.14,14,14,0,12,0,0,108.2,182,139,50,0,9,,3,,0,3,568,84,3.29,1.758,15.1,0.0,0.7,0.2,0.33
1873,brittji01,Jim Britt,17,BRA,17,36,.321,4.08,54,54,0,51,1,0,480.2,696,519,218,6,41,,16,,0,19,2353,78,3.45,1.533,13.0,0.1,0.8,0.3,0.39
1873,campbhu01,Hugh Campbell,27,RES,2,16,.111,2.95,19,18,1,18,0,0,165.0,251,213,54,6,8,,7,,0,3,852,119,3.63,1.570,13.7,0.3,0.4,0.4,0.88
1873,cummica01,Candy Cummings,24,BAL,28,14,.667,2.80,42,42,0,42,1,0,382.0,475,292,119,4,33,,34,,0,10,1768,124,3.32,1.330,11.2,0.1,0.8,0.8,1.03
1873,fergubo01,Bob Ferguson,28,BRA,0,1,.000,5.59,4,1,3,1,0,0,19.1,41,30,12,2,2,,0,,0,0,109,59,4.76,2.224,19.1,0.9,0.9,0.0,0.00
1873,fishech01,Cherokee Fisher,28,ATH,3,4,.429,1.81,13,5,8,5,0,2,84.1,90,73,17,1,10,,14,,0,6,400,196,3.28,1.186,9.6,0.1,1.1,1.5,1.40
1873,fleetfr01,Frank Fleet,25,RES,0,3,.000,5.25,3,3,0,2,0,0,24.0,57,47,14,0,0,,1,,0,0,141,68,3.02,2.375,21.4,0.0,0.0,0.4,
1873,forceda01,Davy Force,23,BAL,1,1,.500,2.50,3,1,2,1,0,0,18.0,23,20,5,0,1,,0,,0,1,90,142,3.27,1.333,11.5,0.0,0.5,0.0,0.00
1873,frencbi01,Bill French,24,MAR,0,1,.000,12.00,1,1,0,1,0,0,9.0,30,27,12,0,0,,0,,0,0,65,29,3.10,3.333,30.0,0.0,0.0,0.0,
1873,fulmech01,Chick Fulmer,22,PHI,0,0,,3.60,2,0,2,0,0,0,5.0,7,4,2,0,1,,0,,0,0,24,104,3.70,1.600,12.6,0.0,1.8,0.0,0.00
1873,greys01,John Greason,21,WAS,1,6,.143,5.86,7,7,0,7,0,0,63.0,113,90,41,3,10,,5,,0,8,325,60,4.04,1.952,16.1,0.4,1.4,0.7,0.50
1873,lovetle01,Len Lovett,20,RES,0,1,.000,7.00,1,1,0,1,0,0,9.0,22,16,7,0,1,,1,,0,0,56,52,3.21,2.556,22.0,0.0,1.0,1.0,1.00
1873,martiph01,Phonney Martin,27,NYU,0,1,.000,3.44,6,1,5,1,0,0,34.0,50,37,13,0,6,,1,,0,1,177,96,3.57,1.647,13.2,0.0,1.6,0.3,0.17
1873,mathebo01,Bobby Mathews,21,NYU,29,23,.558,2.58,52,52,0,47,2,0,443.0,489,348,127,5,62,,79,,0,23,2008,127,3.31,1.244,9.9,0.1,1.3,1.6,1.27
1873,mcbridi01,Dick McBride,26,ATH,24,19,.558,3.34,46,46,0,38,3,0,382.2,453,325,142,3,47,,25,,0,9,1778,106,3.44,1.307,10.7,0.1,1.1,0.6,0.53
1873,mcdoo01,McDoolan,--,MAR,0,1,.000,3.00,1,1,0,1,0,0,9.0,18,24,3,0,0,,0,,0,0,59,118,3.10,2.000,18.0,0.0,0.0,0.0,
1873,mcmuljo01,John McMullin,24,ATH,1,0,1.000,2.25,1,1,0,1,0,0,8.0,10,5,2,0,1,,2,,0,0,34,166,2.98,1.375,11.3,0.0,1.1,2.3,2.00
1873,selmafr01,Frank Sellman,22,MAR,0,1,.000,8.00,1,1,0,1,0,0,9.0,21,26,8,0,0,,0,,0,0,60,44,3.10,2.333,21.0,0.0,0.0,0.0,
1873,spaldal01,Al Spalding,22,BOS,41,14,.745,2.99,60,54,9,46,1,3,496.2,643,413,165,5,36,,50,,0,18,2297,115,3.25,1.367,11.7,0.1,0.7,0.9,1.39
1873,stearbi01,Bill Stearns,20,WAS,7,25,.219,4.61,32,32,0,32,0,0,283.0,481,395,145,8,16,,5,,0,8,1463,75,3.60,1.756,15.3,0.3,0.5,0.2,0.31
1873,strated01,Ed Stratton,19,MAR,0,3,.000,8.33,3,3,0,3,0,0,27.0,75,75,25,1,1,,0,,0,0,183,41,3.69,2.815,25.0,0.3,0.3,0.0,0.00
1873,woltery01,Rynie Wolters,31,RES,0,1,.000,0.00,1,1,0,1,0,0,9.0,13,23,0,0,1,,1,,0,0,60,,3.21,1.556,13.0,0.0,1.0,1.0,1.00
1873,wrighha01,Harry Wright,38,BOS,2,2,.500,4.12,14,6,5,0,0,4,39.1,65,47,18,0,6,,5,,1,2,204,84,3.30,1.805,14.9,0.0,1.4,1.1,0.83
1873,zettlge01,George Zettlein,28,PHI,36,15,.706,2.86,51,51,0,49,0,0,460.0,594,368,146,3,41,,29,,0,13,2133,120,3.33,1.380,11.6,0.1,0.8,0.6,0.71
