year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1923,abramge01,George Abrams,23,CIN,NL,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,433,1,,0,0,,,/1
1923,adamsba01,Babe Adams,41,PIT,NL,26,62,55,5,15,5,1,0,8,0,1,6,13,.273,.344,.400,.744,94,22,,0,1,,,1
1923,adamssp01,Sparky Adams,28,CHC,NL,95,352,311,40,90,12,0,4,35,20,19,26,10,.289,.346,.367,.713,88,114,,1,14,,,6/9
1923,adamssp02,Spencer Adams,25,PIT,NL,25,62,56,11,14,0,1,0,4,2,1,6,6,.250,.323,.286,.608,60,16,,0,0,,,4/6
1923,ainsmed01,Eddie Ainsmith,33,TOT,NL,84,306,273,22,58,11,6,3,36,4,1,22,19,.212,.274,.330,.603,60,90,,1,10,,,2
1923,ainsmed01,Eddie Ainsmith,33,STL,NL,82,296,263,22,56,11,6,3,34,4,0,22,19,.213,.276,.335,.611,62,88,,1,10,,,2
1923,ainsmed01,Eddie Ainsmith,33,BRO,NL,2,10,10,0,2,0,0,0,2,0,1,0,0,.200,.200,.200,.400,7,2,,0,0,,,/2
1923,aldrivi01,Vic Aldridge,29,CHC,NL,30,82,71,5,19,3,0,0,4,0,0,6,6,.268,.325,.310,.635,68,22,,0,5,,,1
1923,alexape01,Pete Alexander,36,CHC,NL,39,119,111,10,24,3,1,1,10,0,0,1,11,.216,.223,.288,.512,34,32,,0,7,,,1
1923,archdma01,Maurice Archdeacon,24,CHW,AL,22,94,87,23,35,5,1,0,4,2,3,6,8,.402,.441,.483,.924,145,42,,0,1,,,8/9
1923,austiji01,Jimmy Austin,43,SLB,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,
1923,bagbyji01,Jim Bagby,33,PIT,NL,21,25,20,3,1,0,0,0,1,0,0,3,1,.050,.174,.050,.224,-39,1,,0,2,,,1
