year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1896,abbeybe01,Bert Abbey,26,BRO,NL,8,8,.500,5.15,25,18,7,12,0,0,164.1,210,135,94,7,48,,37,9,0,3,739,80,4.44,1.570,11.5,0.4,2.6,2.0,0.77
1896,abbeych01,Charlie Abbey,29,WHS,NL,0,0,,4.50,1,0,1,0,0,0,2.0,6,3,1,0,0,,0,0,0,1,12,115,3.29,3.000,27.0,0.0,0.0,0.0,
1896,anderva01,Varney Anderson,30,WHS,NL,0,1,.000,13.00,2,2,0,1,0,0,9.0,23,16,13,0,3,,0,0,0,1,52,35,4.29,2.889,23.0,0.0,3.0,0.0,0.00
1896,bowency01,Cy Bowen,25,NYG,NL,0,1,.000,6.00,2,1,1,1,0,0,12.0,12,13,8,0,9,,3,3,0,1,58,72,5.79,1.750,9.0,0.0,6.8,2.3,0.33
1896,boydja01,Jake Boyd,22,WHS,NL,1,2,.333,6.75,4,2,2,2,0,0,32.0,45,34,24,0,15,,6,6,0,0,158,66,4.89,1.875,12.7,0.0,4.2,1.7,0.40
1896,breitte01,Ted Breitenstein,27,STL,NL,18,26,.409,4.48,44,43,1,37,1,0,339.2,376,236,169,12,138,,114,5,0,4,1494,96,4.34,1.513,10.0,0.3,3.7,3.0,0.83
1896,briggbu01,Buttons Briggs,20,CHC,NL,12,8,.600,4.31,26,21,4,19,0,1,194.0,202,129,93,6,108,,84,15,0,6,882,105,4.73,1.598,9.4,0.3,5.0,3.9,0.78
1896,campfsa01,Sal Campfield,28,NYG,NL,1,1,.500,4.00,6,2,4,2,0,0,27.0,31,15,12,1,6,,6,2,0,0,117,106,4.22,1.370,10.3,0.3,2.0,2.0,1.00
1896,carseki01,Kid Carsey,23,PHI,NL,11,11,.500,5.62,27,21,6,18,1,1,187.1,273,164,117,4,72,,36,9,0,6,892,77,4.48,1.842,13.1,0.2,3.5,1.7,0.50
1896,chambel01,Ice Box Chamberlain,28,CLV,NL,0,1,.000,7.36,2,2,0,1,0,0,11.0,21,12,9,0,5,,2,1,0,0,59,63,4.56,2.364,17.2,0.0,4.1,1.6,0.40
