number,one,two,three,four,five,six,seven,eight,nine
1,DeShields,Patterson,Sosa,McGriff,Brown,Gonzalez,Hundley,Stynes,pitcher
2,DeShields,Patterson,Sosa,McGriff,Brown,Gonzalez,Hundley,Bellhorn,pitcher
3,DeShields,Patterson,Sosa,McGriff,Brown,Gonzalez,Hundley,Stynes,pitcher
4,DeShields,Patterson,Sosa,McGriff,Gonzalez,Hundley,Stynes,Lewis,pitcher
5,DeShields,Patterson,Sosa,McGriff,Gonzalez,Brown,Stynes,Girardi,pitcher
6,DeShields,Patterson,Sosa,McGriff,Gonzalez,Brown,Stynes,Girardi,pitcher
7,Lewis,Patterson,Sosa,McGriff,Gonzalez,Stynes,Girardi,Ojeda,pitcher
8,DeShields,Patterson,Sosa,McGriff,Gonzalez,Brown,Hundley,Bellhorn,pitcher
9,Stynes,Patterson,Sosa,McGriff,Gonzalez,Encarnacion,Bellhorn,Machado,pitcher
10,DeShields,Patterson,Sosa,McGriff,Gonzalez,Brown,Hundley,Bellhorn,pitcher
11,Stynes,Lewis,Sosa,McGriff,Gonzalez,Encarnacion,Bellhorn,Girardi,pitcher
12,DeShields,Patterson,Sosa,McGriff,Alou,Gonzalez,Bellhorn,Girardi,pitcher
13,DeShields,Patterson,Sosa,McGriff,Alou,Gonzalez,Stynes,Machado,pitcher
14,DeShields,Patterson,Sosa,McGriff,Alou,Gonzalez,Stynes,Machado,pitcher
15,DeShields,Patterson,Sosa,McGriff,Brown,Gonzalez,Stynes,Girardi,pitcher
16,DeShields,Patterson,Sosa,McGriff,Brown,Gonzalez,Stynes,Machado,pitcher
17,DeShields,Patterson,Sosa,McGriff,Brown,Stynes,Machado,Ojeda,pitcher
18,Patterson,Stynes,Sosa,McGriff,Alou,Gonzalez,Girardi,Ojeda,pitcher
19,Patterson,DeShields,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Machado,pitcher
20,Patterson,DeShields,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Girardi,pitcher
21,Patterson,Stynes,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Girardi,pitcher
22,Patterson,Stynes,Sosa,Alou,Gonzalez,Bellhorn,Machado,Ojeda,pitcher
23,Patterson,DeShields,Sosa,McGriff,Hundley,Brown,Gonzalez,Bellhorn,pitcher
24,Patterson,Gonzalez,Sosa,McGriff,Alou,Bellhorn,DeShields,Girardi,pitcher
25,Patterson,Gonzalez,Sosa,McGriff,Alou,Hundley,DeShields,Stynes,pitcher
26,Patterson,Bellhorn,Sosa,Alou,McGriff,Hundley,Gonzalez,Ojeda,pitcher
27,Patterson,Bellhorn,Sosa,Alou,McGriff,Hundley,Gonzalez,Ojeda,pitcher
28,Lewis,Bellhorn,Sosa,Alou,McGriff,Gonzalez,Stynes,Machado,pitcher
29,DeShields,Bellhorn,Sosa,McGriff,Alou,Hundley,Brown,Ojeda,pitcher
30,Patterson,Mueller,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Girardi,pitcher
31,Patterson,Mueller,Sosa,McGriff,Alou,Gonzalez,Girardi,Ojeda,pitcher
32,Patterson,DeShields,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Machado,pitcher
33,Patterson,Mueller,Sosa,McGriff,Alou,Gonzalez,DeShields,Machado,pitcher
34,Patterson,Hill,Mueller,Sosa,McGriff,Brown,Girardi,Ojeda,pitcher
35,Patterson,Hill,Sosa,McGriff,Mueller,Lewis,Girardi,Ojeda,pitcher
36,Patterson,Mueller,Sosa,McGriff,Alou,Hill,Girardi,Ojeda,pitcher
37,Patterson,Hill,Mueller,Sosa,Alou,Bellhorn,Machado,Ojeda,pitcher
38,Patterson,DeShields,Sosa,Alou,McGriff,Bellhorn,Girardi,Ojeda,pitcher
39,Lewis,Stynes,Sosa,McGriff,Alou,Bellhorn,Girardi,Hill,pitcher
40,Patterson,Mueller,Sosa,McGriff,Alou,Hill,Girardi,Ojeda,pitcher
41,Patterson,Mueller,Sosa,McGriff,Alou,Machado,Hill,Ojeda,pitcher
42,Patterson,Mueller,Sosa,McGriff,Alou,Machado,Hill,Bellhorn,pitcher
43,Patterson,Mueller,Sosa,McGriff,Brown,Hill,Girardi,Ojeda,pitcher
44,Patterson,Girardi,Sosa,McGriff,Alou,Mueller,Hill,Ojeda,pitcher
45,Patterson,Hill,Sosa,McGriff,Alou,Bellhorn,Machado,Ojeda,pitcher
46,Patterson,Hill,Sosa,McGriff,Alou,Mueller,Girardi,Ojeda,pitcher
47,Patterson,Hill,Sosa,McGriff,Alou,Mueller,Gonzalez,Girardi,pitcher
48,Lewis,Stynes,Sosa,McGriff,Alou,Gonzalez,Hill,Machado,pitcher
49,Lewis,Stynes,Sosa,McGriff,Alou,Gonzalez,Girardi,Hill,pitcher
50,Patterson,Mueller,Sosa,McGriff,Brown,Gonzalez,Girardi,Hill,pitcher
51,Patterson,Mueller,Sosa,McGriff,Alou,Gonzalez,Girardi,Hill,pitcher
52,Lewis,Stynes,Sosa,Alou,Hundley,Bellhorn,Gonzalez,Hill,pitcher
53,Lewis,Stynes,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
54,Patterson,Mueller,Sosa,McGriff,Alou,Gonzalez,Girardi,Hill,pitcher
55,Patterson,Bellhorn,Sosa,McGriff,Alou,Mueller,Hundley,Hill,pitcher
56,Hill,Patterson,Sosa,McGriff,Alou,Bellhorn,Mueller,Girardi,pitcher
57,Hill,Patterson,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
58,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,Bellhorn,pitcher
59,Patterson,Mueller,Sosa,McGriff,Alou,Brown,Gonzalez,Bellhorn,Girardi
60,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Brown,Gonzalez,Hill
61,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,Bellhorn,Hill
62,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,Hill,pitcher
63,Lewis,Stynes,Sosa,McGriff,Alou,Gonzalez,Hundley,Bellhorn,pitcher
64,Patterson,Mueller,Sosa,McGriff,Alou,Bellhorn,Gonzalez,Girardi,pitcher
65,Patterson,DeShields,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
66,Lewis,Bellhorn,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
67,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,Ojeda,pitcher
68,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,DeShields,pitcher
69,Patterson,Mueller,Sosa,McGriff,Alou,Gonzalez,Girardi,DeShields,pitcher
70,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Gonzalez,DeShields,pitcher
71,Patterson,DeShields,Sosa,McGriff,Brown,Gonzalez,Mueller,Girardi,pitcher
72,Patterson,DeShields,Sosa,McGriff,Alou,Gonzalez,Mueller,Girardi,pitcher
73,Patterson,DeShields,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
74,Patterson,DeShields,Sosa,Alou,Gonzalez,Stynes,Bellhorn,Girardi,pitcher
75,Patterson,Stynes,Sosa,McGriff,Alou,Hundley,Mueller,Bellhorn,pitcher
76,Patterson,Stynes,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
77,Patterson,DeShields,Sosa,McGriff,Alou,Brown,Gonzalez,Mueller,Girardi
78,Patterson,Mueller,Sosa,McGriff,Alou,Hundley,Stynes,Gonzalez,Girardi
79,Patterson,Bellhorn,Sosa,McGriff,Alou,Gonzalez,Hundley,Echevarria,Stynes
80,Lewis,Bellhorn,Sosa,McGriff,Alou,Gonzalez,Mueller,Girardi,pitcher
81,Patterson,Bellhorn,Sosa,McGriff,Alou,Hundley,Gonzalez,Mueller,pitcher
82,Patterson,Mueller,Sosa,McGriff,Brown,Gonzalez,Hundley,Bellhorn,pitcher
83,Patterson,Mueller,Sosa,McGriff,Brown,Gonzalez,Hundley,Bellhorn,pitcher
84,Patterson,Mueller,Alou,McGriff,Bellhorn,Brown,Hundley,Gonzalez,pitcher
85,Bellhorn,Mueller,Echevarria,McGriff,Alou,Brown,Gonzalez,Hundley,pitcher
86,Lewis,Mueller,Echevarria,McGriff,Alou,Stynes,Gonzalez,Girardi,pitcher
87,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
88,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
89,Bellhorn,Stynes,Sosa,Echevarria,Alou,Patterson,Gonzalez,Girardi,pitcher
90,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
91,DeShields,Brown,Sosa,McGriff,Patterson,Gonzalez,Mueller,Girardi,pitcher
92,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
93,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Gonzalez,Mahoney,pitcher
94,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
95,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
96,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
97,Bellhorn,Stynes,Sosa,McGriff,Brown,Patterson,Hundley,Gonzalez,pitcher
98,Bellhorn,Mueller,Sosa,McGriff,Brown,Patterson,Gonzalez,Mahoney,pitcher
99,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
100,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
101,Bellhorn,Stynes,Sosa,McGriff,Alou,Lewis,Gonzalez,Mahoney,pitcher
102,Bellhorn,Mueller,Sosa,Echevarria,Alou,Patterson,Gonzalez,Hundley,pitcher
103,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,DeShields,Hundley,pitcher
104,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
105,Bellhorn,Mueller,Sosa,McGriff,Echevarria,Patterson,Gonzalez,Mahoney,pitcher
106,Bellhorn,Mueller,Sosa,Brown,Echevarria,Patterson,Gonzalez,Hundley,pitcher
107,Bellhorn,Patterson,Sosa,Alou,McGriff,Stynes,Gonzalez,Girardi,pitcher
108,Bellhorn,Patterson,Sosa,Alou,McGriff,Mueller,Gonzalez,Hundley,pitcher
109,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
110,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
111,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Hundley,Gonzalez,pitcher
112,Bellhorn,Mueller,Sosa,McGriff,Alou,Patterson,Gonzalez,Girardi,pitcher
113,Bellhorn,Stynes,Sosa,McGriff,Alou,Patterson,Gonzalez,Girardi,pitcher
