year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1963,abernte02,Ted Abernathy,30,CLE,AL,7,2,.778,2.88,43,0,33,0,0,12,59.1,54,25,19,3,29,6,47,0,0,4,249,127,3.02,1.399,8.2,0.5,4.4,7.1,1.62
1963,acklefr01,Fritz Ackley,26,CHW,AL,1,0,1.000,2.08,2,2,0,0,0,0,13.0,7,4,3,2,7,0,11,0,0,1,51,173,4.40,1.077,4.8,1.4,4.8,7.6,1.57
1963,aguirha01,Hank Aguirre,32,DET,AL,14,15,.483,3.67,38,33,2,14,3,0,225.2,222,96,92,25,68,3,134,8,1,2,954,102,3.74,1.285,8.9,1.0,2.7,5.3,1.97
1963,allenbo04,Bob Allen,25,CLE,AL,1,2,.333,4.66,43,0,12,0,0,2,56.0,58,37,29,5,29,6,51,1,1,5,255,78,3.43,1.554,9.3,0.8,4.7,8.2,1.76
1963,anderbo01,Bob Anderson,27,DET,AL,3,1,.750,3.30,32,3,15,0,0,0,60.0,58,28,22,5,21,2,38,6,0,4,260,114,3.65,1.317,8.7,0.8,3.2,5.7,1.81
1963,andercr01,Craig Anderson,24,NYM,NL,0,2,.000,8.68,3,2,0,0,0,0,9.1,17,15,9,0,3,0,6,0,0,1,51,42,2.16,2.143,16.4,0.0,2.9,5.8,2.00
1963,arrigge01,Gerry Arrigo,22,MIN,AL,1,2,.333,2.87,5,1,1,0,0,0,15.2,12,5,5,2,4,0,13,0,0,1,63,130,3.24,1.021,6.9,1.1,2.3,7.5,3.25
1963,arroylu01,Luis Arroyo,36,NYY,AL,1,1,.500,13.50,6,0,3,0,0,0,6.0,12,9,9,0,3,1,5,0,0,1,32,28,2.31,2.500,18.0,0.0,4.5,7.5,1.67
1963,bairdbo01,Bob Baird,23,WSA,AL,0,3,.000,7.71,5,3,1,0,0,0,11.2,12,15,10,1,7,0,7,1,1,0,57,50,4.45,1.629,9.3,0.8,5.4,5.4,1.00
1963,bakerto02,Tom Baker,29,CHC,NL,0,1,.000,3.00,10,1,1,0,0,0,18.0,20,12,6,2,7,0,14,1,0,4,81,120,3.70,1.500,10.0,1.0,3.5,7.0,2.00
1963,baldsja01,Jack Baldschun,26,PHI,NL,11,7,.611,2.30,65,0,44,0,0,16,113.2,99,37,29,7,42,10,89,3,0,3,477,141,2.90,1.240,7.8,0.6,3.3,7.0,2.12
1963,barbest01,Steve Barber,25,BAL,AL,20,13,.606,2.75,39,36,1,11,2,0,258.2,253,99,79,12,92,10,180,4,1,3,1096,126,2.80,1.334,8.8,0.4,3.2,6.3,1.96
