number,one,two,three,four,five,six,seven,eight,nine
62,Hack,Sturgeon,Cavarretta,Nicholson,Dallessandro,Dahlgren,Scheffing,Stringer,pitcher
63,Hack,Sturgeon,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Stringer,pitcher
64,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
65,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
66,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
67,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
68,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
69,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
70,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Hudson,pitcher
71,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
72,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
73,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
74,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
75,Hack,Cavarretta,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
76,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Galan,Scheffing,Sturgeon,pitcher
77,Hack,Stringer,Dallessandro,Nicholson,Galan,Dahlgren,McCullough,Sturgeon,pitcher
78,Hack,Hudson,Cavarretta,Nicholson,Galan,Dahlgren,McCullough,Sturgeon,pitcher
79,Hack,Cavarretta,Hudson,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
80,Hack,Cavarretta,Hudson,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
81,Hack,Cavarretta,Hudson,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
82,Hack,Cavarretta,Hudson,Nicholson,Dallessandro,Dahlgren,Scheffing,Sturgeon,pitcher
83,Stringer,Hack,Cavarretta,Nicholson,Dallessandro,McCullough,Dahlgren,Sturgeon,pitcher
84,Stringer,Hack,Galan,Nicholson,Dallessandro,McCullough,Dahlgren,Sturgeon,pitcher
85,Stringer,Hack,Galan,Nicholson,Dallessandro,McCullough,Dahlgren,Sturgeon,pitcher
86,Stringer,Hack,Galan,Nicholson,Dallessandro,McCullough,Dahlgren,Hudson,pitcher
87,Hack,Galan,Dallessandro,Nicholson,Dahlgren,Hudson,Scheffing,Stringer,pitcher
88,Hack,Galan,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
89,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
90,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
91,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
92,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
93,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
94,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
95,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
96,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,Scheffing,Stringer,Sturgeon,pitcher
97,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,Scheffing,Stringer,Sturgeon,pitcher
98,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
99,Hack,Gilbert,Dallessandro,Nicholson,Dahlgren,Hudson,McCullough,Sturgeon,pitcher
100,Hack,Hudson,Gilbert,Nicholson,Dahlgren,Dallessandro,McCullough,Sturgeon,pitcher
101,Hack,Galan,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
102,Hack,Galan,Dallessandro,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
103,Hack,Galan,McCullough,Nicholson,Dahlgren,Dallessandro,Stringer,Sturgeon,pitcher
104,Hack,Stringer,McCullough,Nicholson,Dahlgren,Leiber,Dallessandro,Sturgeon,pitcher
105,Hack,Stringer,Gilbert,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
106,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
107,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Leiber,McCullough,Sturgeon,pitcher
108,Hudson,Cavarretta,Hack,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
109,Hudson,Cavarretta,Hack,Nicholson,Leiber,Dahlgren,George,Stringer,pitcher
110,Stringer,Cavarretta,Hack,Nicholson,Leiber,Dahlgren,McCullough,Sturgeon,pitcher
111,Stringer,Cavarretta,Hack,Nicholson,Leiber,Dahlgren,McCullough,Sturgeon,pitcher
112,Stringer,Cavarretta,Hack,Nicholson,Leiber,Dahlgren,McCullough,Sturgeon,pitcher
113,Stringer,Cavarretta,Hack,Nicholson,Leiber,Dahlgren,McCullough,Sturgeon,pitcher
114,Hack,Cavarretta,Stringer,Dahlgren,Leiber,Nicholson,McCullough,Sturgeon,pitcher
115,Hack,Stringer,Dallessandro,Cavarretta,Galan,Dahlgren,Scheffing,Sturgeon,pitcher
116,Hack,Stringer,Dallessandro,Cavarretta,Nicholson,Dahlgren,McCullough,Sturgeon,pitcher
117,Hudson,Stringer,Galan,Leiber,Dahlgren,Scheffing,Dallessandro,Sturgeon,pitcher
118,Hack,Stringer,Gilbert,Leiber,Dahlgren,Nicholson,McCullough,Sturgeon,pitcher
119,Hack,Stringer,Dallessandro,Cavarretta,Nicholson,Dahlgren,McCullough,Sturgeon,pitcher
120,Hack,Stringer,Dallessandro,Cavarretta,Nicholson,Dahlgren,McCullough,Sturgeon,pitcher
121,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Olsen,McCullough,Sturgeon,pitcher
122,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Olsen,McCullough,Sturgeon,pitcher
123,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Olsen,Scheffing,Sturgeon,pitcher
124,Hack,Cavarretta,Olsen,Nicholson,Dahlgren,Stringer,McCullough,Sturgeon,pitcher
125,Hack,Hudson,Olsen,Nicholson,Dahlgren,Dallessandro,Scheffing,Stringer,pitcher
126,Hack,Hudson,Olsen,Nicholson,Dahlgren,Dallessandro,McCullough,Stringer,pitcher
127,Hack,Hudson,Olsen,Nicholson,Dahlgren,Dallessandro,George,Stringer,pitcher
128,Hack,Hudson,Olsen,Nicholson,Dahlgren,Dallessandro,McCullough,Stringer,pitcher
129,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Dallessandro,McCullough,Sturgeon,pitcher
130,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Dallessandro,McCullough,Sturgeon,pitcher
131,Hack,Stringer,Cavarretta,Dahlgren,Dallessandro,Gilbert,McCullough,Sturgeon,pitcher
132,Hack,Cavarretta,Olsen,Dahlgren,Scheffing,Dallessandro,Stringer,Sturgeon,pitcher
133,Hack,Cavarretta,Olsen,Dallessandro,Dahlgren,Scheffing,Stringer,Sturgeon,pitcher
134,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
135,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,Scheffing,Sturgeon,pitcher
136,Hack,Stringer,Olsen,Dahlgren,Dallessandro,Nicholson,McCullough,Sturgeon,pitcher
137,Hack,Stringer,Gilbert,Nicholson,Dahlgren,Cavarretta,Scheffing,Sturgeon,pitcher
138,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Dallessandro,McCullough,Sturgeon,pitcher
139,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Dallessandro,Scheffing,Sturgeon,pitcher
140,Hack,Stringer,Olsen,Nicholson,Dahlgren,Novikoff,Scheffing,Merullo,pitcher
141,Hack,Stringer,Cavarretta,Nicholson,Dahlgren,Novikoff,Scheffing,Merullo,pitcher
142,Hack,Olsen,Novikoff,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
143,Hack,Cavarretta,Dallessandro,Nicholson,Dahlgren,Scheffing,Stringer,Merullo,pitcher
144,Hack,Cavarretta,Novikoff,Nicholson,Dahlgren,Scheffing,Stringer,Merullo,pitcher
145,Hack,Olsen,Novikoff,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
146,Hack,Olsen,Novikoff,Nicholson,Dahlgren,McCullough,Stringer,Sturgeon,pitcher
147,Hack,Cavarretta,Dallessandro,Nicholson,Dahlgren,Stringer,McCullough,Sturgeon,pitcher
148,Hack,Cavarretta,Dallessandro,Nicholson,Dahlgren,Stringer,McCullough,Sturgeon,pitcher
149,Hack,Olsen,Novikoff,Nicholson,Dahlgren,Stringer,McCullough,Sturgeon,pitcher
150,Hack,Olsen,Novikoff,Nicholson,Dahlgren,Stringer,Scheffing,Sturgeon,pitcher
151,Hudson,Olsen,Novikoff,Nicholson,Dahlgren,Stringer,Scheffing,Sturgeon,pitcher
152,Hudson,Waitkus,Olsen,Novikoff,Jelincich,Stringer,Scheffing,Merullo,pitcher
153,Hudson,Waitkus,Olsen,Novikoff,Jelincich,Myers,McCullough,Merullo,pitcher
154,Hack,Cavarretta,Stringer,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
155,Hack,Gilbert,Stringer,Nicholson,Dallessandro,Dahlgren,Scheffing,Sturgeon,pitcher
