year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1935,allenet01,Ethan Allen,31,PHI,NL,156,700,645,90,198,46,1,8,63,5,,43,54,.307,.351,.419,.770,98,270,5,1,11,,,*87
1935,allenjo02,Johnny Allen,30,NYY,AL,23,73,67,12,15,1,0,1,12,0,0,3,13,.224,.257,.284,.541,43,19,,0,3,,,1
1935,almadme01,Mel Almada,22,BOS,AL,151,675,607,85,176,27,9,3,59,20,9,55,34,.290,.350,.379,.729,84,230,,1,13,,,*89/3
1935,andreiv01,Ivy Andrews,28,SLB,AL,50,74,68,5,9,0,0,0,4,0,0,2,11,.132,.157,.132,.289,-25,9,,0,4,,,1
1935,applilu01,Luke Appling,28,CHW,AL,153,656,525,94,161,28,6,1,71,12,6,122,40,.307,.437,.389,.826,113,204,,0,7,,,*6
1935,aukerel01,Elden Auker,24,DET,AL,36,80,74,8,16,3,2,0,8,0,0,2,17,.216,.237,.311,.548,43,23,,0,4,,,1
1935,averiea01,Earl Averill,33,CLE,AL,140,638,563,109,162,34,13,19,79,8,4,70,58,.288,.368,.496,.863,120,279,,1,4,,,*8
1935,babicjo01,Johnny Babich,22,BRO,NL,37,51,49,4,9,2,0,0,4,1,,0,16,.184,.200,.224,.424,15,11,2,1,2,,,1
1935,bakerto01,Tom Baker,22,BRO,NL,11,20,19,3,9,1,0,0,0,0,,1,0,.474,.500,.526,1.026,178,10,0,0,0,,,1
1935,barrbo02,Bob Barr,27,BRO,NL,2,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
1935,bartedi01,Dick Bartell,27,NYG,NL,137,603,539,60,141,28,4,14,53,5,,37,52,.262,.316,.406,.722,93,219,9,6,21,,,*6
1935,beanbe01,Belve Bean,30,TOT,AL,11,9,8,2,3,2,0,1,2,0,0,1,4,.375,.444,1.000,1.444,269,8,,0,0,,,1
1935,beanbe01,Belve Bean,30,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1
1935,beanbe01,Belve Bean,30,WSH,AL,10,9,8,2,3,2,0,1,2,0,0,1,4,.375,.444,1.000,1.444,269,8,,0,0,,,1
1935,bejmaol01,Ollie Bejma,27,SLB,AL,64,229,198,18,38,8,2,2,26,1,0,27,21,.192,.289,.283,.572,47,56,,0,5,,,4/65
1935,bellbe01,Beau Bell,27,SLB,AL,76,237,220,20,55,8,2,3,17,1,1,16,16,.250,.304,.345,.649,66,76,,1,0,,,937/5
1935,bengera01,Ray Benge,33,BRO,NL,23,48,47,3,9,0,0,0,4,0,,0,4,.191,.191,.191,.383,4,9,2,0,1,,,1
1935,bentoal01,Al Benton,24,PHA,AL,27,28,25,1,1,0,0,0,0,0,0,2,11,.040,.111,.040,.151,-59,1,,0,1,,,1
1935,bentola01,Larry Benton,37,BSN,NL,29,23,20,1,4,1,0,0,1,0,,1,4,.200,.238,.250,.488,36,5,0,0,2,,,1
1935,bergmo01,Moe Berg,33,BOS,AL,38,104,98,13,28,5,0,2,12,0,0,5,3,.286,.320,.398,.718,80,39,,0,2,,,2
1935,bergebo01,Boze Berger,25,CLE,AL,124,505,461,62,119,27,5,5,43,7,5,34,97,.258,.310,.371,.681,74,171,,1,8,,,*4/635
1935,bergewa01,Wally Berger,29,BSN,NL,150,643,589,91,174,39,4,34,130,3,,50,80,.295,.355,.548,.903,148,323,14,4,1,,,*8
