number,one,two,three,four,five,six,seven,eight,nine
1,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
2,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
3,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
4,Adams,Scott,Brooks,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
5,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
6,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
7,Adams,Scott,Brooks,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
8,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
9,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
10,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
11,Adams,Scott,Brooks,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
12,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
13,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
14,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
15,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
16,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
17,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
18,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
19,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
20,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
21,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
22,Adams,Heathcote,Munson,Brooks,Freigau,Grimm,Cooney,Hartnett,pitcher
23,Adams,Heathcote,Scott,Brooks,Freigau,Grimm,Cooney,Gonzalez,pitcher
24,Adams,Heathcote,Munson,Brooks,Freigau,Grimm,Cooney,Hartnett,pitcher
25,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
26,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
27,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
28,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
29,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
30,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Cooney,Gonzalez,pitcher
31,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Cooney,Hartnett,pitcher
32,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
33,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Gonzalez,pitcher
34,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
35,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Gonzalez,pitcher
36,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
37,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
38,Adams,Heathcote,Scott,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
39,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Shannon,Gonzalez,pitcher
40,Adams,Heathcote,Munson,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
41,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Shannon,Gonzalez,pitcher
42,Adams,Heathcote,Brooks,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
43,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Shannon,Hartnett,pitcher
44,Adams,Heathcote,Brooks,Wilson,Freigau,Grimm,Gonzalez,Cooney,pitcher
45,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Hartnett,Cooney,pitcher
46,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Hartnett,Cooney,pitcher
47,Adams,Heathcote,Kelly,Wilson,Freigau,Grimm,Gonzalez,Cooney,pitcher
48,Adams,Heathcote,Stephenson,Wilson,Freigau,Grimm,Hartnett,Cooney,pitcher
49,Adams,Heathcote,Stephenson,Wilson,Freigau,Grimm,Hartnett,Cooney,pitcher
50,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Gonzalez,pitcher
51,Adams,Cooney,Scott,Wilson,Stephenson,Freigau,Grimm,Gonzalez,pitcher
52,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
53,Adams,Cooney,Scott,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
54,Adams,Cooney,Scott,Wilson,Stephenson,Freigau,Grimm,Gonzalez,pitcher
55,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
56,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Gonzalez,pitcher
57,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
58,Adams,Cooney,Scott,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
59,Adams,Cooney,Kelly,Wilson,Stephenson,Freigau,Grimm,Hartnett,pitcher
60,Adams,Cooney,Scott,Wilson,Stephenson,Freigau,Tolson,Gonzalez,pitcher
