number,one,two,three,four,five,six,seven,eight,nine
1,Miksis,Baumholtz,Fondy,Serena,Ward,Jackson,McCullough,Hermanski,pitcher
2,Miksis,Baumholtz,Fondy,Serena,Jackson,Ward,McCullough,Hermanski,pitcher
3,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
4,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
5,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
6,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
7,Miksis,Baumholtz,Fondy,Sauer,Serena,Jackson,Ward,McCullough,pitcher
8,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
9,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
10,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
11,Miksis,Baumholtz,Fondy,Sauer,Ward,Serena,Jackson,Atwell,pitcher
12,Miksis,Ramazzotti,Fondy,Sauer,Serena,Jeffcoat,Baumholtz,Sawatski,pitcher
13,Miksis,Fondy,Hermanski,Sauer,Ward,Atwell,Serena,Ramazzotti,pitcher
14,Miksis,Fondy,Hermanski,Sauer,Ward,Sawatski,Serena,Smalley,pitcher
15,Miksis,Baumholtz,Fondy,Sauer,Serena,Jeffcoat,Smalley,McCullough,pitcher
16,Miksis,Fondy,Hermanski,Sauer,Ward,Atwell,Serena,Smalley,pitcher
17,Miksis,Fondy,Hermanski,Sauer,Ward,Atwell,Serena,Smalley,pitcher
18,Miksis,Fondy,Smalley,Sauer,Jackson,Hermanski,Jeffcoat,McCullough,pitcher
19,Miksis,Fondy,Hermanski,Sauer,Ward,Atwell,Jackson,Smalley,pitcher
20,Miksis,Baumholtz,Fondy,Ward,Hermanski,Jackson,Atwell,Smalley,pitcher
21,Miksis,Baumholtz,Fondy,Ward,Hermanski,Jackson,Atwell,Smalley,pitcher
22,Baumholtz,Miksis,Fondy,Sauer,Serena,Jeffcoat,Smalley,McCullough,pitcher
23,Baumholtz,Miksis,Fondy,Sauer,Serena,Jeffcoat,Smalley,Atwell,pitcher
24,Baumholtz,Miksis,Fondy,Sauer,Ward,Serena,Atwell,Smalley,pitcher
25,Baumholtz,Miksis,Fondy,Sauer,Ward,Jackson,Sawatski,Smalley,pitcher
26,Baumholtz,Miksis,Smalley,Sauer,Jackson,Fondy,Jeffcoat,McCullough,pitcher
27,Baumholtz,Miksis,Smalley,Sauer,Jackson,Fondy,Jeffcoat,McCullough,pitcher
28,Baumholtz,Miksis,Fondy,Sauer,Ward,Jackson,Atwell,Smalley,pitcher
29,Baumholtz,Miksis,Ward,Sauer,Atwell,Jackson,Smalley,Jeffcoat,pitcher
30,Brown,Miksis,Smalley,Sauer,Jackson,Ward,Jeffcoat,McCullough,pitcher
31,Brown,Miksis,Smalley,Sauer,Jackson,Ward,Jeffcoat,Atwell,pitcher
32,Addis,Miksis,Fondy,Sauer,Ward,Jackson,Atwell,Smalley,pitcher
33,Addis,Miksis,Fondy,Sauer,Ward,Jackson,Atwell,Smalley,pitcher
34,Brown,Miksis,Smalley,Sauer,Jackson,Fondy,Jeffcoat,Atwell,pitcher
35,Brown,Miksis,Smalley,Sauer,Serena,Ward,Jeffcoat,McCullough,pitcher
36,Baumholtz,Miksis,Smalley,Sauer,Serena,Ward,Jeffcoat,McCullough,pitcher
37,Baumholtz,Miksis,Fondy,Sauer,Ward,Serena,Sawatski,Smalley,pitcher
38,Baumholtz,Miksis,Smalley,Sauer,Serena,Fondy,Jeffcoat,McCullough,pitcher
39,Baumholtz,Miksis,Fondy,Sauer,Kiner,Sawatski,Serena,Smalley,pitcher
40,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Serena,Smalley,pitcher
41,Baumholtz,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,Miksis,pitcher
42,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
43,Baumholtz,Miksis,Fondy,Sauer,Kiner,Jackson,Smalley,McCullough,pitcher
44,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
45,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
46,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
47,Baumholtz,Miksis,Fondy,Sauer,Metkovich,Jackson,Smalley,McCullough,pitcher
48,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
49,Baumholtz,Miksis,Fondy,Sauer,Kiner,Garagiola,Jackson,Smalley,pitcher
50,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Smalley,McCullough,pitcher
51,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Serena,Smalley,pitcher
52,Baumholtz,Brown,Kiner,Sauer,Fondy,Jackson,Miksis,McCullough,pitcher
53,Baumholtz,Brown,Kiner,Sauer,Fondy,Jackson,Garagiola,Miksis,pitcher
54,Baumholtz,Brown,Kiner,Sauer,Fondy,Jackson,Garagiola,Miksis,pitcher
55,Baumholtz,Brown,Kiner,Sauer,Fondy,Jackson,Garagiola,Miksis,pitcher
56,Baumholtz,Miksis,Kiner,Sauer,Fondy,Jackson,Smalley,McCullough,pitcher
57,Baumholtz,Miksis,Kiner,Sauer,Fondy,Jackson,Garagiola,Smalley,pitcher
58,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Miksis,Smalley,pitcher
59,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Miksis,Smalley,pitcher
60,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Miksis,Smalley,pitcher
61,Baumholtz,Metkovich,Fondy,Kiner,Jackson,Brown,Miksis,McCullough,pitcher
62,Baumholtz,Metkovich,Fondy,Kiner,Jackson,Garagiola,Brown,Miksis,pitcher
63,Baumholtz,Metkovich,Serena,Kiner,Jackson,Garagiola,Miksis,Jeffcoat,pitcher
64,Baumholtz,Metkovich,Serena,Kiner,Jackson,Garagiola,Miksis,Jeffcoat,pitcher
65,Baumholtz,Metkovich,Serena,Kiner,Jackson,Garagiola,Miksis,Jeffcoat,pitcher
66,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
67,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
68,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
69,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
70,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
71,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Miksis,Serena,pitcher
72,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
73,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Miksis,Serena,pitcher
74,Baumholtz,Fondy,Kiner,Sauer,Jackson,Garagiola,Serena,Miksis,pitcher
75,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
76,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
77,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
78,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Sawatski,Smalley,pitcher
79,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
80,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,McCullough,pitcher
81,Baumholtz,Miksis,Kiner,Sauer,Jackson,Fondy,Serena,Garagiola,pitcher
82,Baumholtz,Metkovich,Kiner,Sauer,Jackson,Garagiola,Serena,Miksis,pitcher
83,Baumholtz,Fondy,Kiner,Sauer,Jackson,Serena,Miksis,McCullough,pitcher
84,Baumholtz,Miksis,Fondy,Kiner,Jackson,Garagiola,Brown,Jeffcoat,pitcher
85,Baumholtz,Miksis,Fondy,Kiner,Jackson,Brown,McCullough,Jeffcoat,pitcher
86,Baumholtz,Miksis,Fondy,Kiner,Jackson,Garagiola,Brown,Jeffcoat,pitcher
87,Baumholtz,Miksis,Fondy,Kiner,Jackson,Serena,Garagiola,Jeffcoat,pitcher
88,Baumholtz,Miksis,Fondy,Kiner,Jackson,Smalley,McCullough,Jeffcoat,pitcher
89,Metkovich,Miksis,Fondy,Kiner,Jackson,Garagiola,Jeffcoat,Smalley,pitcher
90,Metkovich,Miksis,Fondy,Kiner,Jackson,Garagiola,Jeffcoat,Smalley,pitcher
91,Metkovich,Miksis,Fondy,Kiner,Jackson,Garagiola,Jeffcoat,Smalley,pitcher
92,Baumholtz,Miksis,Fondy,Kiner,Jackson,Garagiola,Jeffcoat,Smalley,pitcher
93,Metkovich,Miksis,Fondy,Kiner,Jackson,Garagiola,Jeffcoat,Smalley,pitcher
94,Baumholtz,Miksis,Fondy,Kiner,Jackson,Jeffcoat,Smalley,Garagiola,pitcher
