team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
35,2007-05-11.WAS200705110,FLA,@,WSN,-6,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.336,.420,.534,.954,1,1.13,-0.077,-0.41,SS
36,2007-05-12.WAS200705120,FLA,@,WSN,-4,43.9,5,5,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,.338,.419,.544,.963,1,1.00,-0.007,-0.31,SS
37,2007-05-13.WAS200705130,FLA,@,WSN,-2,43.9,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.329,.413,.529,.941,1,.94,-0.085,-0.88,SS
38,2007-05-14.PIT200705140,FLA,@,PIT,-7,43.9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.333,.415,.528,.942,1,1.42,0.059,0.31,SS
39,2007-05-15.PIT200705150,FLA,@,PIT,6,43.9,5,4,3,3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,.345,.426,.561,.987,3,.66,0.149,1.69,SS
40,2007-05-16.PIT200705160,FLA,@,PIT,1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.342,.422,.553,.975,3,1.55,-0.107,-1.40,SS
41,2007-05-17.PIT200705170,FLA,@,PIT,-5,43.9,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,.346,.424,.551,.975,3,1.07,0.007,0.04,SS
42,2007-05-18.TBA200705180,FLA,@,TBD,4,43.9,5,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.342,.418,.540,.958,3,.28,0.006,0.73,SS
43,2007-05-19.TBA200705190,FLA,@,TBD,5,43.9,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.337,.412,.548,.960,3,.63,0.032,-0.28,SS
44,2007-05-20.TBA200705200,FLA,@,TBD,1,43.9,5,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.335,.411,.541,.953,3,1.22,0.052,-0.04,SS
45,2007-05-22.FLO200705220,FLA,,PHI,2,43.9,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.335,.413,.543,.957,3,.88,0.074,0.40,SS
46,2007-05-23.FLO200705230,FLA,,PHI,-1,45.0,6,4,2,3,0,0,1,3,0,0,1,1,1,0,0,0,0,0,.345,.423,.565,.988,3,1.84,0.382,2.57,SS
47,2007-05-24.FLO200705240,FLA,,PHI,1,46.1,6,6,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.344,.420,.557,.978,3,1.88,0.020,-0.37,SS
48,2007-05-25.FLO200705250,FLA,,NYM,-4,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.337,.412,.545,.958,3,.96,-0.120,-1.23,SS
