year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1921,acostjo01,Jose Acosta,30,WSH,AL,5,4,.556,4.36,33,7,17,2,0,3,115.2,148,65,56,4,36,,30,0,0,3,520,95,3.97,1.591,11.5,0.3,2.8,2.3,0.83
1921,adamsba01,Babe Adams,39,PIT,NL,14,5,.737,2.64,25,20,3,11,2,0,160.0,155,57,47,4,18,,55,0,1,0,646,145,3.08,1.081,8.7,0.2,1.0,3.1,3.06
1921,alexape01,Pete Alexander,34,CHC,NL,15,13,.536,3.39,31,30,1,20,3,1,252.0,286,110,95,10,33,,77,1,0,1,1033,113,3.41,1.266,10.2,0.4,1.2,2.8,2.33
1921,ayersdo01,Doc Ayers,30,DET,AL,0,0,,9.00,2,1,1,0,0,0,4.0,9,6,4,0,2,,0,0,1,0,23,52,4.60,2.750,20.3,0.0,4.5,0.0,0.00
1921,bagbyji01,Jim Bagby,31,CLE,AL,14,12,.538,4.70,40,26,13,13,0,4,191.2,238,112,100,14,44,,37,4,0,0,841,91,4.42,1.471,11.2,0.7,2.1,1.7,0.84
1921,bailebi01,Bill Bailey,33,STL,NL,2,5,.286,4.26,19,6,3,3,1,0,74.0,95,41,35,1,22,,20,2,1,4,330,86,3.71,1.581,11.6,0.1,2.7,2.4,0.91
1921,bailesw01,Sweetbread Bailey,26,TOT,NL,0,0,,4.91,10,0,6,0,0,0,29.1,41,17,16,1,9,,8,2,0,1,131,82,4.13,1.705,12.6,0.3,2.8,2.5,0.89
1921,bailesw01,Sweetbread Bailey,26,CHC,NL,0,0,,3.60,3,0,2,0,0,0,5.0,6,2,2,0,2,,2,1,0,0,24,115,4.10,1.600,10.8,0.0,3.6,3.6,1.00
1921,bailesw01,Sweetbread Bailey,26,BRO,NL,0,0,,5.18,7,0,4,0,0,0,24.1,35,15,14,1,7,,6,1,0,1,107,77,4.13,1.726,12.9,0.4,2.6,2.2,0.86
1921,barneje01,Jesse Barnes,28,NYG,NL,15,9,.625,3.10,42,31,8,15,1,6,258.2,298,108,89,13,44,,56,3,0,2,1076,120,3.87,1.322,10.4,0.5,1.5,1.9,1.27
1921,barrebi02,Bill Barrett,21,PHA,AL,1,0,1.000,7.20,4,0,2,0,0,0,5.0,2,4,4,0,9,,2,0,0,1,25,66,7.70,2.200,3.6,0.0,16.2,3.6,0.22
