year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1971,abernte02,Ted Abernathy,38,KCR,AL,4,6,.400,2.56,63,0,46,0,0,23,81.0,60,28,23,3,50,4,55,6,0,1,348,134,3.65,1.358,6.7,0.3,5.6,6.1,1.10
1971,acosted01,Ed Acosta,27,SDP,NL,3,3,.500,2.74,8,6,0,3,1,0,46.0,43,18,14,4,7,1,16,0,1,1,184,122,3.34,1.087,8.4,0.8,1.4,3.1,2.29
1971,akerja01,Jack Aker,30,NYY,AL,4,4,.500,2.59,41,0,20,0,0,4,55.2,48,20,16,3,26,9,24,0,0,3,237,127,3.69,1.329,7.8,0.5,4.2,3.9,0.92
1971,alexado01,Doyle Alexander,20,LAD,NL,6,6,.500,3.80,17,12,0,4,0,0,92.1,105,45,39,6,18,0,30,1,0,1,395,85,3.26,1.332,10.2,0.6,1.8,2.9,1.67
1971,allenll01,Lloyd Allen,21,CAL,AL,4,6,.400,2.49,54,1,28,0,0,15,94.0,75,29,26,4,40,8,72,0,2,5,387,130,2.75,1.223,7.2,0.4,3.8,6.9,1.80
1971,arlinst01,Steve Arlin,25,SDP,NL,9,19,.321,3.48,36,34,1,10,4,0,227.2,211,114,88,8,103,10,156,6,1,7,988,95,2.97,1.379,8.3,0.3,4.1,6.2,1.51
1971,arroyru01,Rudy Arroyo,21,STL,NL,0,1,.000,5.40,9,0,3,0,0,0,11.2,18,8,7,2,5,1,5,0,0,1,55,69,5.11,1.971,13.9,1.5,3.9,3.9,1.00
1971,austiri01,Rick Austin,24,CLE,AL,0,0,,5.09,23,0,5,0,0,1,23.0,25,15,13,3,20,4,20,3,0,0,115,76,5.41,1.957,9.8,1.2,7.8,7.8,1.00
1971,bahnsst01,Stan Bahnsen,26,NYY,AL,14,12,.538,3.35,36,34,2,14,3,0,242.0,221,99,90,20,72,8,110,5,1,9,993,98,3.57,1.211,8.2,0.7,2.7,4.1,1.53
1971,ballima01,Mark Ballinger,22,CLE,AL,1,2,.333,4.67,18,0,8,0,0,0,34.2,30,21,18,3,13,1,25,1,0,7,149,83,3.35,1.240,7.8,0.8,3.4,6.5,1.92
1971,barbest01,Steve Barber,33,ATL,NL,3,1,.750,4.80,39,3,19,0,0,2,75.0,92,42,40,6,25,2,40,2,0,7,337,78,3.50,1.560,11.0,0.7,3.0,4.8,1.60
1971,barbest02,Steve Barber,23,MIN,AL,1,0,1.000,6.17,4,2,0,0,0,0,11.2,8,9,8,2,13,1,4,0,0,1,56,59,7.34,1.800,6.2,1.5,10.0,3.1,0.31
1971,barrji01,Jim Barr,23,SFG,NL,1,1,.500,3.57,17,0,5,0,0,0,35.1,33,15,14,3,5,1,16,1,0,1,142,98,3.16,1.075,8.4,0.8,1.3,4.1,3.20
1971,bearnla01,Larry Bearnarth,29,MIL,AL,0,0,,18.00,2,0,1,0,0,0,3.0,10,6,6,1,2,0,2,0,0,0,20,22,7.45,4.000,30.0,3.0,6.0,6.0,1.00
1971,bellje01,Jerry Bell,23,MIL,AL,2,1,.667,3.07,8,0,5,0,0,0,14.2,10,5,5,0,6,1,8,0,0,1,58,115,2.59,1.091,6.1,0.0,3.7,4.9,1.33
