year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
2007,aardsda01,David Aardsma,25,CHW,AL,2,1,.667,6.40,25,0,7,0,0,0,32.1,39,24,23,4,17,3,36,1,0,2,151,74,4.29,1.732,10.9,1.1,4.7,10.0,2.12
2007,abreuwi01,Winston Abreu,30,WSN,NL,0,1,.000,5.93,26,0,3,0,0,0,30.1,37,21,20,7,9,1,26,0,1,2,133,72,5.42,1.516,11.0,2.1,2.7,7.7,2.89
2007,accarje01,Jeremy Accardo,25,TOR,AL,4,4,.500,2.14,64,0,48,0,0,30,67.1,51,19,16,4,24,2,57,2,1,0,275,210,3.48,1.114,6.8,0.5,3.2,7.6,2.38
2007,acostma01,Manny Acosta,26,ATL,NL,1,1,.500,2.28,21,0,5,0,0,0,23.2,13,6,6,2,14,1,22,0,0,1,93,193,4.25,1.141,4.9,0.8,5.3,8.4,1.57
2007,adkinjo01,Jon Adkins,29,NYM,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.24,0.000,0.0,0.0,0.0,0.0,
2007,affelje01,Jeremy Affeldt,28,COL,NL,4,3,.571,3.51,75,0,11,0,0,0,59.0,47,26,23,3,33,9,46,3,1,6,253,137,4.17,1.356,7.2,0.5,5.0,7.0,1.39
2007,albaljo01,Jonathan Albaladejo,24,WSN,NL,1,1,.500,1.88,14,0,1,0,0,0,14.1,7,3,3,1,2,0,12,1,0,0,51,229,3.10,0.628,4.4,0.6,1.3,7.5,6.00
2007,alberma01,Matt Albers,24,HOU,NL,4,11,.267,5.86,31,18,2,0,0,0,110.2,127,77,72,18,50,6,71,7,0,7,508,76,5.62,1.599,10.3,1.5,4.1,5.8,1.42
2007,alfonan01,Antonio Alfonseca,35,PHI,NL,5,2,.714,5.44,61,0,22,0,0,8,49.2,65,31,30,3,27,6,24,1,0,1,236,85,4.75,1.852,11.8,0.5,4.9,4.3,0.89
2007,aquingr01,Greg Aquino,29,MIL,NL,0,1,.000,4.50,15,0,8,0,0,0,14.0,13,9,7,2,5,1,12,0,0,2,59,101,4.45,1.286,8.4,1.3,3.2,7.7,2.40
