number,one,two,three,four,five,six,seven,eight,nine
1,Ashburn,Zimmer,Williams,Banks,Santo,Heist,Rodgers,Thacker,pitcher
2,Ashburn,Zimmer,Williams,Santo,Banks,Bouchee,Taylor,Heist,pitcher
3,Ashburn,Zimmer,Williams,Santo,Banks,Bouchee,Heist,Bertell,pitcher
4,Ashburn,Zimmer,Williams,Santo,Banks,Bouchee,Heist,Bertell,pitcher
5,Ashburn,Zimmer,Williams,Santo,Banks,Rodgers,Heist,Bertell,pitcher
6,Ashburn,Zimmer,Williams,Santo,Banks,Bouchee,Heist,Bertell,pitcher
7,Heist,Zimmer,Williams,Santo,Banks,Thomas,Rodgers,Bertell,pitcher
8,Heist,Zimmer,Williams,Santo,Banks,Thomas,Rodgers,Bertell,pitcher
9,Heist,Zimmer,Williams,Santo,Banks,Thomas,Rodgers,Bertell,pitcher
10,Heist,Zimmer,Williams,Santo,Banks,Thomas,Bouchee,Bertell,pitcher
11,Heist,Zimmer,Will,Santo,Banks,Thomas,Bouchee,Taylor,pitcher
12,Heist,Zimmer,Banks,Santo,Thomas,Rodgers,Bouchee,Bertell,pitcher
13,Heist,Zimmer,Banks,Santo,Thomas,Williams,Bouchee,Bertell,pitcher
14,Heist,Zimmer,Banks,Santo,Thomas,Williams,Rodgers,Bertell,pitcher
15,Ashburn,Zimmer,Banks,Santo,Thomas,Williams,Heist,Taylor,pitcher
16,Ashburn,Zimmer,Banks,Santo,Thomas,Williams,Heist,Bertell,pitcher
17,Ashburn,Zimmer,Banks,Santo,Williams,Thomas,Altman,Taylor,pitcher
18,Ashburn,Zimmer,Banks,Santo,Williams,Thomas,Altman,Bertell,pitcher
19,Ashburn,Zimmer,Banks,Santo,Williams,Bouchee,Altman,Taylor,pitcher
20,Ashburn,Zimmer,Banks,Santo,Williams,Bouchee,Heist,Bertell,pitcher
21,Will,Zimmer,Banks,Santo,Williams,Altman,Heist,Taylor,pitcher
22,Will,Zimmer,Williams,Banks,Santo,Roach,Heist,Bertell,pitcher
23,Will,Zimmer,Williams,Banks,Santo,Roach,Heist,Bertell,pitcher
24,Will,Zimmer,Williams,Banks,Santo,Roach,Heist,Bertell,pitcher
25,Ashburn,Zimmer,Williams,Banks,Santo,Will,Bouchee,Taylor,pitcher
26,Ashburn,Zimmer,Will,Banks,Santo,Altman,Bouchee,Taylor,pitcher
27,Will,Zimmer,Roach,Banks,Santo,Altman,Heist,Bertell,pitcher
28,Will,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Bertell,pitcher
29,Will,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Bertell,pitcher
30,Heist,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Bertell,pitcher
31,Heist,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Bertell,pitcher
32,Heist,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Bertell,pitcher
33,Heist,Zimmer,Altman,Banks,Santo,Williams,Bouchee,Taylor,pitcher
34,Zimmer,Williams,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
35,Kindall,Williams,Santo,Banks,Altman,Zimmer,Roach,Bertell,pitcher
36,Kindall,Williams,Santo,Banks,Altman,Zimmer,Bouchee,Bertell,pitcher
37,Kindall,Williams,Santo,Banks,Altman,Zimmer,Bouchee,Bertell,pitcher
38,Ashburn,Will,Santo,Banks,Altman,Taylor,Zimmer,Kindall,pitcher
39,Ashburn,Zimmer,Santo,Banks,Altman,Rodgers,Bertell,Kindall,pitcher
40,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Taylor,Kindall,pitcher
41,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Taylor,Kindall,pitcher
42,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Taylor,Kindall,pitcher
43,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Taylor,Kindall,pitcher
44,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
45,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
46,Ashburn,Zimmer,Santo,Banks,Altman,Rodgers,Thacker,Kindall,pitcher
47,Ashburn,Rodgers,Santo,Banks,Altman,Bouchee,Thacker,Kindall,pitcher
48,Ashburn,Rodgers,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
49,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Thacker,Kindall,pitcher
50,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Thacker,Kindall,pitcher
51,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
52,Ashburn,Zimmer,Santo,Banks,Altman,Bouchee,Bertell,Kindall,pitcher
53,Ashburn,Zimmer,Santo,Altman,Banks,Bouchee,Rodgers,Thacker,pitcher
54,Ashburn,Zimmer,Santo,Altman,Banks,Bouchee,Rodgers,Bertell,pitcher
55,Ashburn,Zimmer,Santo,Altman,Banks,Bouchee,Rodgers,Taylor,pitcher
56,Ashburn,Zimmer,Santo,Banks,Altman,Rodgers,Bouchee,Bertell,pitcher
57,Ashburn,Zimmer,Santo,Banks,Altman,Williams,Rodgers,Bertell,pitcher
58,Ashburn,Kindall,Santo,Banks,Altman,Williams,Rodgers,Thacker,pitcher
59,Ashburn,Zimmer,Santo,Banks,Altman,Williams,Rodgers,Bertell,pitcher
60,Ashburn,Zimmer,Santo,Banks,Altman,Rodgers,Williams,Bertell,pitcher
