year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1955,martipa02,Paul Martin,23,PIT,NL,0,1,.000,14.14,7,1,3,0,0,0,7.0,13,12,11,0,17,0,3,1,1,1,49,30,9.22,4.286,16.7,0.0,21.9,3.9,0.18
1955,mccalwi01,Windy McCall,29,NYG,NL,6,5,.545,3.69,42,6,9,4,0,3,95.0,86,45,39,8,37,6,50,6,0,2,400,111,3.77,1.295,8.1,0.8,3.5,4.7,1.35
1955,mcdanli01,Lindy McDaniel,19,STL,NL,0,0,,4.74,4,2,2,0,0,0,19.0,22,10,10,4,7,1,7,0,0,0,84,87,5.47,1.526,10.4,1.9,3.3,3.3,1.00
1955,mcdermi03,Mickey McDermott,26,WSH,AL,10,10,.500,3.75,31,20,7,8,1,1,156.0,140,75,65,9,100,2,78,9,0,4,700,105,4.21,1.538,8.1,0.5,5.8,4.5,0.78
1955,mcdonji04,Jim McDonald,28,BAL,AL,3,5,.375,7.14,21,8,6,0,0,0,51.2,76,48,41,5,30,1,20,0,0,1,253,53,4.59,2.052,13.2,0.9,5.2,3.5,0.67
1955,meyerja01,Jack Meyer,23,PHI,NL,6,11,.353,3.43,50,5,36,0,0,16,110.1,75,50,42,14,66,6,97,3,0,6,470,116,4.13,1.278,6.1,1.1,5.4,7.9,1.47
1955,meyerru01,Russ Meyer,31,BRO,NL,6,2,.750,5.42,18,11,1,2,1,0,73.0,86,46,44,8,31,6,26,0,0,3,327,76,4.35,1.603,10.6,1.0,3.8,3.2,0.84
1955,millebi04,Bill Miller,27,BAL,AL,0,1,.000,13.50,5,1,0,0,0,0,4.0,3,6,6,0,10,1,4,0,0,0,25,31,7.87,3.250,6.8,0.0,22.5,9.0,0.40
1955,millebo02,Bob Miller,29,PHI,NL,8,4,.667,2.41,40,0,13,0,0,1,89.2,80,26,24,6,28,6,28,1,0,1,371,165,3.58,1.204,8.0,0.6,2.8,2.8,1.00
1955,millebo03,Bob Miller,19,DET,AL,2,1,.667,2.49,7,3,2,1,0,0,25.1,26,12,7,4,12,1,11,0,0,1,112,159,4.97,1.500,9.2,1.4,4.3,3.9,0.92
1955,minarru01,Rudy Minarcin,25,CIN,NL,5,9,.357,4.90,41,12,11,3,1,1,115.2,116,73,63,17,51,7,45,3,0,4,506,86,4.90,1.444,9.0,1.3,4.0,3.5,0.88
1955,minnepa01,Paul Minner,31,CHC,NL,9,9,.500,3.48,22,22,0,7,1,0,157.2,173,67,61,15,47,10,53,1,0,2,675,119,3.84,1.395,9.9,0.9,2.7,3.0,1.13
1955,moforhe01,Herb Moford,26,STL,NL,1,1,.500,7.88,14,1,4,0,0,2,24.0,29,23,21,5,15,3,8,1,0,3,116,52,6.41,1.833,10.9,1.9,5.6,3.0,0.53
1955,monzara01,Ramon Monzant,22,NYG,NL,4,8,.333,3.99,28,12,11,3,0,0,94.2,98,47,42,11,43,5,54,3,0,2,410,103,4.19,1.489,9.3,1.0,4.1,5.1,1.26
1955,moorera02,Ray Moore,29,BAL,AL,10,10,.500,3.92,46,14,18,3,1,7,151.2,128,75,66,14,80,1,80,4,0,3,658,96,4.17,1.371,7.6,0.8,4.7,4.7,1.00
1955,morgato01,Tom Morgan,25,NYY,AL,7,3,.700,3.25,40,1,24,0,0,11,72.0,72,29,26,3,24,4,17,5,0,0,307,116,3.64,1.333,9.0,0.4,3.0,2.1,0.71
1955,mossido01,Don Mossi,26,CLE,AL,4,3,.571,2.42,57,1,27,0,0,9,81.2,81,28,22,4,18,2,69,1,0,2,347,166,2.01,1.212,8.9,0.4,2.0,7.6,3.83
1955,mroziro01,Ron Mrozinski,24,PHI,NL,0,2,.000,6.55,22,1,11,0,0,1,34.1,38,26,25,2,19,2,18,4,0,1,156,61,4.09,1.660,10.0,0.5,5.0,4.7,0.95
1955,narlera01,Ray Narleski,26,CLE,AL,9,1,.900,3.71,60,1,36,1,0,19,111.2,91,47,46,11,52,3,94,0,0,3,471,108,3.36,1.281,7.3,0.9,4.2,7.6,1.81
1955,negraro01,Ron Negray,25,PHI,NL,4,3,.571,3.52,19,10,3,2,0,0,71.2,71,31,28,13,21,2,30,0,0,3,301,113,4.77,1.284,8.9,1.6,2.6,3.8,1.43
1955,newcodo01,Don Newcombe,29,BRO,NL,20,5,.800,3.20,34,31,1,17,1,0,233.2,222,103,83,35,38,1,143,1,0,0,943,128,3.59,1.113,8.6,1.3,1.5,5.5,3.76
1955,newhoha01,Hal Newhouser,34,CLE,AL,0,0,,0.00,2,0,0,0,0,0,2.1,1,0,0,0,4,1,1,0,0,1,12,,6.65,2.143,3.9,0.0,15.4,3.9,0.25
1955,nichoch02,Chet Nichols,24,MLN,NL,9,8,.529,4.00,34,21,5,6,0,1,144.0,139,79,64,20,67,6,44,1,2,3,625,94,4.98,1.431,8.7,1.3,4.2,2.8,0.66
1955,nixonwi01,Willard Nixon,27,BOS,AL,12,10,.545,4.07,31,31,0,7,3,0,208.0,207,102,94,10,85,2,95,3,0,4,903,106,3.35,1.404,9.0,0.4,3.7,4.1,1.12
