number,one,two,three,four,five,six,seven,eight,nine
1,Ashburn,Taylor,Will,Banks,Thomas,Altman,Zimmer,Neeman,pitcher
2,Ashburn,Taylor,Will,Banks,Thomas,Altman,Zimmer,Rice,pitcher
3,Ashburn,Taylor,Will,Banks,Thomas,Altman,Zimmer,Rice,pitcher
4,Ashburn,Taylor,Will,Banks,Thomas,Altman,Zimmer,Rice,pitcher
5,Ashburn,Taylor,Johnson,Banks,Thomas,Gernert,Zimmer,Rice,pitcher
6,Ashburn,Taylor,Banks,Thomas,Gernert,Johnson,Zimmer,Rice,pitcher
7,Ashburn,Taylor,Banks,Thomas,Altman,Johnson,Zimmer,Rice,pitcher
8,Ashburn,Taylor,Banks,Thomas,Altman,Moryn,Zimmer,Neeman,pitcher
9,Taylor,Ashburn,Johnson,Banks,Thomas,Altman,Zimmer,Rice,pitcher
10,Taylor,Ashburn,Johnson,Banks,Thomas,Altman,Zimmer,Rice,pitcher
11,Taylor,Ashburn,Altman,Banks,Thomas,Moryn,Zimmer,Rice,pitcher
12,Taylor,Ashburn,Altman,Banks,Thomas,Moryn,Taylor,Zimmer,pitcher
13,Taylor,Ashburn,Johnson,Banks,Gernert,Schult,Zimmer,Thacker,pitcher
14,Taylor,Ashburn,Will,Banks,Thomas,Gernert,Taylor,Zimmer,pitcher
15,Taylor,Ashburn,Will,Banks,Thomas,Gernert,Taylor,Zimmer,pitcher
16,Taylor,Ashburn,Will,Banks,Thomas,Noren,Neeman,Zimmer,pitcher
17,Taylor,Ashburn,Will,Banks,Thomas,Altman,Rice,Zimmer,pitcher
18,Taylor,Ashburn,Banks,Moryn,Thomas,Will,Rice,Zimmer,pitcher
19,Taylor,Ashburn,Banks,Moryn,Thomas,Will,Neeman,Zimmer,pitcher
20,Ashburn,Will,Moryn,Banks,Thomas,Taylor,Gernert,Kindall,pitcher
21,Ashburn,Will,Bouchee,Banks,Thomas,Moryn,Taylor,Kindall,pitcher
22,Ashburn,Will,Bouchee,Banks,Thomas,Moryn,Taylor,Kindall,pitcher
23,Ashburn,Altman,Bouchee,Banks,Moryn,Thomas,Rice,Kindall,pitcher
24,Ashburn,Will,Bouchee,Banks,Moryn,Thomas,Taylor,Kindall,pitcher
25,Ashburn,Will,Bouchee,Banks,Moryn,Thomas,Rice,Kindall,pitcher
26,Ashburn,Will,Bouchee,Banks,Moryn,Thomas,Taylor,Kindall,pitcher
27,Ashburn,Kindall,Bouchee,Banks,Thomas,Schult,Will,Rice,pitcher
28,Ashburn,Will,Bouchee,Banks,Moryn,Taylor,Thomas,Kindall,pitcher
29,Ashburn,Kindall,Bouchee,Banks,Thomas,Zimmer,Will,Rice,pitcher
30,Ashburn,Altman,Bouchee,Banks,Moryn,Thomas,Kindall,Rice,pitcher
31,Ashburn,Altman,Bouchee,Banks,Thomas,Averill,Zimmer,Kindall,pitcher
32,Ashburn,Johnson,Bouchee,Banks,Thomas,Thacker,Zimmer,Kindall,pitcher
33,Ashburn,Johnson,Averill,Banks,Bouchee,Thomas,Altman,Kindall,pitcher
34,Ashburn,Will,Bouchee,Banks,Moryn,Thomas,Averill,Kindall,pitcher
35,Ashburn,Johnson,Banks,Bouchee,Thomas,Averill,Moryn,Kindall,pitcher
36,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Kindall,pitcher
37,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Kindall,pitcher
38,Ashburn,Will,Banks,Bouchee,Thomas,Averill,Moryn,Kindall,pitcher
39,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Kindall,pitcher
40,Ashburn,Will,Banks,Bouchee,Thomas,Gernert,Thacker,Kindall,pitcher
41,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Zimmer,pitcher
42,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Zimmer,pitcher
43,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Thacker,Zimmer,pitcher
44,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Hegan,Zimmer,pitcher
45,Ashburn,Will,Banks,Bouchee,Thomas,Johnson,Hegan,Zimmer,pitcher
46,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Hegan,Zimmer,pitcher
47,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Averill,Zimmer,pitcher
48,Ashburn,Will,Banks,Bouchee,Averill,Thomas,Zimmer,Johnson,pitcher
49,Ashburn,Will,Banks,Bouchee,Moryn,Thomas,Zimmer,Hegan,pitcher
50,Ashburn,Will,Banks,Bouchee,Averill,Thomas,Zimmer,Johnson,pitcher
51,Ashburn,Will,Banks,Bouchee,Altman,Thomas,Averill,Zimmer,pitcher
52,Murphy,Will,Banks,Bouchee,Altman,Thomas,Hegan,Zimmer,pitcher
53,Ashburn,Will,Banks,Bouchee,Averill,Thomas,Zimmer,Kindall,pitcher
54,Murphy,Ashburn,Banks,Bouchee,Altman,Averill,Zimmer,Kindall,pitcher
55,Ashburn,Will,Banks,Bouchee,Altman,Thomas,Averill,Zimmer,pitcher
56,Ashburn,Will,Banks,Bouchee,Altman,Thomas,Averill,Zimmer,pitcher
57,Ashburn,Will,Banks,Bouchee,Thomas,Thacker,Zimmer,Kindall,pitcher
58,Ashburn,Will,Banks,Altman,Gernert,Zimmer,Kindall,Thacker,pitcher
59,Ashburn,Will,Banks,Gernert,Thomas,Zimmer,Hegan,Kindall,pitcher
60,Ashburn,Kindall,Banks,Bouchee,Thomas,Altman,Zimmer,Hegan,pitcher
61,Ashburn,Murphy,Banks,Bouchee,Altman,Santo,Kindall,Hegan,pitcher
62,Ashburn,Murphy,Banks,Bouchee,Altman,Santo,Kindall,Tappe,pitcher
63,Ashburn,Kindall,Banks,Bouchee,Thomas,Santo,Averill,Altman,pitcher
64,Ashburn,Murphy,Banks,Bouchee,Altman,Santo,Kindall,Tappe,pitcher
65,Ashburn,Murphy,Banks,Bouchee,Will,Santo,Zimmer,Hegan,pitcher
66,Ashburn,Murphy,Banks,Bouchee,Will,Santo,Zimmer,Tappe,pitcher
67,Ashburn,Will,Banks,Bouchee,Thomas,Santo,Kindall,Hegan,pitcher
68,Ashburn,Will,Banks,Bouchee,Thomas,Santo,Kindall,Tappe,pitcher
69,Ashburn,Will,Banks,Thomas,Santo,Gernert,Kindall,Hegan,pitcher
70,Ashburn,Will,Banks,Thomas,Santo,Gernert,Kindall,Hegan,pitcher
71,Ashburn,Will,Banks,Thomas,Santo,Gernert,Kindall,Tappe,pitcher
72,Ashburn,Will,Banks,Santo,Thomas,Gernert,Kindall,Tappe,pitcher
73,Ashburn,Murphy,Banks,Bouchee,Altman,Santo,Kindall,Tappe,pitcher
74,Ashburn,Murphy,Banks,Bouchee,Altman,Santo,Kindall,Tappe,pitcher
75,Ashburn,Altman,Thomas,Banks,Bouchee,Santo,Kindall,Tappe,pitcher
76,Ashburn,Altman,Thomas,Banks,Bouchee,Santo,Averill,Kindall,pitcher
77,Ashburn,Altman,Gernert,Banks,Bouchee,Santo,Averill,Kindall,pitcher
78,Ashburn,Will,Altman,Banks,Bouchee,Santo,Kindall,Tappe,pitcher
79,Kindall,Altman,Thomas,Banks,Gernert,Bouchee,Santo,Tappe,pitcher
80,Zimmer,Altman,Thomas,Banks,Bouchee,Heist,Santo,Tappe,pitcher
81,Heist,Banks,Gernert,Thomas,Santo,Zimmer,Bouchee,Tappe,pitcher
82,Ashburn,Zimmer,Thomas,Banks,Santo,Heist,Gernert,Tappe,pitcher
83,Ashburn,Will,Santo,Banks,Bouchee,Altman,Zimmer,Tappe,pitcher
84,Ashburn,Will,Santo,Banks,Bouchee,Altman,Zimmer,Thacker,pitcher
85,Ashburn,Will,Santo,Banks,Bouchee,Altman,Zimmer,Tappe,pitcher
86,Ashburn,Will,Santo,Banks,Bouchee,Altman,Kindall,Tappe,pitcher
87,Ashburn,Thomas,Santo,Banks,Altman,Gernert,Kindall,Tappe,pitcher
88,Ashburn,Thomas,Santo,Banks,Bouchee,Altman,Kindall,Tappe,pitcher
89,Ashburn,Will,Santo,Banks,Bouchee,Altman,Zimmer,Thacker,pitcher
90,Ashburn,Will,Santo,Banks,Bouchee,Altman,Zimmer,Thacker,pitcher
91,Ashburn,Will,Santo,Banks,Altman,Bouchee,Zimmer,Tappe,pitcher
92,Ashburn,Kindall,Santo,Banks,Altman,Will,Bouchee,Thacker,pitcher
93,Ashburn,Kindall,Santo,Banks,Altman,Will,Bouchee,Thacker,pitcher
94,Ashburn,Kindall,Santo,Banks,Thomas,Altman,Heist,Thacker,pitcher
95,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Tappe,pitcher
96,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Tappe,pitcher
97,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Tappe,pitcher
98,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Tappe,pitcher
99,Will,Ashburn,Banks,Altman,Santo,Thomas,Taylor,Kindall,pitcher
100,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Taylor,pitcher
101,Will,Ashburn,Banks,Altman,Santo,Thomas,Hatton,Taylor,pitcher
102,Will,Ashburn,Banks,Altman,Thomas,Santo,Kindall,Tappe,pitcher
103,Will,Ashburn,Banks,Altman,Thomas,Santo,Kindall,Tappe,pitcher
104,Will,Ashburn,Banks,Thomas,Heist,Santo,Taylor,Kindall,pitcher
105,Will,Ashburn,Banks,Altman,Thomas,Taylor,Santo,Kindall,pitcher
106,Ashburn,Will,Banks,Altman,Thomas,Taylor,Bouchee,Hatton,pitcher
107,Ashburn,Will,Banks,Thomas,Santo,Heist,Kindall,Tappe,pitcher
108,Ashburn,Will,Banks,Thomas,Taylor,Santo,Heist,Kindall,pitcher
109,Ashburn,Will,Banks,Thomas,Santo,Heist,Kindall,Tappe,pitcher
110,Ashburn,Will,Banks,Thomas,Santo,Heist,Kindall,Tappe,pitcher
111,Ashburn,Will,Banks,Thomas,Taylor,Santo,Altman,Kindall,pitcher
112,Ashburn,Will,Banks,Thomas,Taylor,Santo,Altman,Kindall,pitcher
113,Ashburn,Will,Banks,Thomas,Santo,Altman,Zimmer,Tappe,pitcher
114,Will,Ashburn,Banks,Altman,Santo,Thomas,Zimmer,Tappe,pitcher
