year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1951,abramca01,Cal Abrams,27,BRO,NL,67,186,150,27,42,8,0,3,19,3,2,36,26,.280,.419,.393,.813,118,59,5,0,0,,1,7
1951,adamsbo03,Bobby Adams,29,CIN,NL,125,450,403,57,107,12,5,5,24,4,10,43,40,.266,.338,.357,.695,86,144,6,1,3,,1,54/9
1951,adcocjo01,Joe Adcock,23,CIN,NL,113,422,395,40,96,16,4,10,47,1,2,24,29,.243,.288,.380,.668,77,150,25,1,2,,0,*7
1951,addisbo01,Bob Addis,25,BSN,NL,85,211,199,23,55,7,0,1,24,3,2,9,10,.276,.308,.327,.634,76,65,4,0,3,,0,78/9
1951,alomalu01,Luis Aloma,28,CHW,AL,25,22,20,2,7,1,0,0,2,0,0,1,5,.350,.381,.400,.781,113,8,0,0,1,,0,1
1951,arftha01,Hank Arft,29,SLB,AL,112,390,345,44,90,16,5,7,42,4,6,41,34,.261,.339,.397,.736,96,137,5,0,4,,3,3
1951,ashburi01,Richie Ashburn,24,PHI,NL,154,712,643,92,221,31,5,4,63,29,6,50,37,.344,.393,.426,.819,122,274,4,2,17,,1,*8
1951,astrojo01,Joe Astroth,28,PHA,AL,64,204,187,30,46,10,2,2,19,0,1,18,13,.246,.312,.353,.665,79,66,4,0,0,,2,2
1951,avilabo01,Bobby Avila,27,CLE,AL,141,615,542,76,165,21,3,10,58,14,8,60,31,.304,.374,.410,.783,117,222,16,0,13,,0,*4
1951,bakerfl01,Floyd Baker,34,CHW,AL,82,158,133,24,35,6,1,0,14,0,1,25,12,.263,.380,.323,.703,93,43,4,0,1,,0,5/46
1951,bambege01,George Bamberger,27,NYG,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,bankhda01,Dan Bankhead,31,BRO,NL,15,2,2,3,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,,0,/1
1951,basgamo01,Monty Basgall,29,PIT,NL,55,169,153,15,32,5,2,0,9,0,0,12,14,.209,.271,.268,.539,44,41,9,1,3,,0,4
1951,battsma01,Matt Batts,29,TOT,AL,90,303,277,27,79,18,1,5,33,2,0,22,23,.285,.338,.412,.749,99,114,10,0,5,,2,2
1951,battsma01,Matt Batts,29,BOS,AL,11,30,29,1,4,1,0,0,2,0,0,1,2,.138,.167,.172,.339,-12,5,1,0,0,,0,2
1951,battsma01,Matt Batts,29,SLB,AL,79,273,248,26,75,17,1,5,31,2,0,21,21,.302,.357,.440,.796,112,109,9,0,5,,2,2
1951,bauerha01,Hank Bauer,28,NYY,AL,118,394,348,53,103,19,3,10,54,5,2,42,39,.296,.373,.454,.827,127,158,10,1,3,,4,*97/8
1951,baumhfr01,Frank Baumholtz,32,CHC,NL,146,615,560,62,159,28,10,2,50,5,4,49,36,.284,.346,.380,.726,94,213,16,4,2,,3,*987
1951,beardte01,Ted Beard,30,PIT,NL,22,55,48,7,9,1,0,1,3,0,0,6,14,.188,.291,.271,.562,51,13,0,1,0,,0,7/8
1951,beardge01,Gene Bearden,30,TOT,AL,38,33,32,7,6,2,0,2,6,0,0,0,4,.188,.188,.438,.625,65,14,0,0,1,,0,1
1951,beardge01,Gene Bearden,30,WSH,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,beardge01,Gene Bearden,30,DET,AL,37,33,32,7,6,2,0,2,6,0,0,0,4,.188,.188,.438,.625,65,14,0,0,1,,0,1
1951,belarwa01,Wayne Belardi,20,BRO,NL,3,3,3,1,1,0,1,0,0,0,0,0,2,.333,.333,1.000,1.333,242,3,0,0,0,,0,
1951,bellgu01,Gus Bell,22,PIT,NL,149,647,600,80,167,27,12,16,89,1,4,42,41,.278,.330,.443,.773,104,266,9,4,1,,2,*9
1951,bensove01,Vern Benson,26,STL,NL,13,52,46,8,12,3,1,1,7,0,0,6,8,.261,.346,.435,.781,109,20,0,0,0,,0,/57
1951,berarjo01,Johnny Berardino,34,SLB,AL,39,137,119,13,27,7,1,0,13,1,1,17,18,.227,.324,.303,.626,68,36,3,0,1,,0,5/437
1951,berojo01,Johnny Bero,28,SLB,AL,61,191,160,24,34,5,0,5,17,1,1,26,30,.213,.323,.338,.660,76,54,3,0,3,,0,6/4
1951,berrayo01,Yogi Berra,26,NYY,AL,141,594,547,92,161,19,4,27,88,5,4,44,20,.294,.350,.492,.842,130,269,16,3,0,,4,*2
1951,berryne01,Neil Berry,29,DET,AL,67,171,157,17,36,5,2,0,9,4,2,10,15,.229,.275,.287,.562,52,45,1,0,4,,0,64/5
1951,bickfve01,Vern Bickford,30,BSN,NL,25,60,52,1,6,1,0,0,4,0,0,2,12,.115,.148,.135,.283,-21,7,2,0,6,,0,1
1951,bilkost01,Steve Bilko,22,STL,NL,21,82,72,5,16,4,0,2,12,0,0,9,10,.222,.309,.361,.670,79,26,1,0,1,,1,3
1951,blackji01,Jim Blackburn,27,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,blackew01,Ewell Blackwell,28,CIN,NL,39,89,82,10,24,3,1,1,6,0,0,5,12,.293,.333,.390,.724,93,32,1,0,2,,0,1
1951,blakeed01,Ed Blake,25,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,bloodji01,Jimmy Bloodworth,33,PHI,NL,21,46,42,2,6,0,0,0,1,1,0,3,9,.143,.200,.143,.343,-5,6,2,0,1,,0,/43
1951,bokeldi01,Dick Bokelmann,24,STL,NL,20,16,14,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,0,0,2,,0,1
1951,bolgeji01,Jim Bolger,19,CIN,NL,2,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,0,0,0,0,,0,
1951,bollwdo01,Don Bollweg,30,STL,NL,6,9,9,1,1,1,0,0,2,0,0,0,1,.111,.111,.222,.333,-13,2,0,0,0,,0,/3
1951,boonera01,Ray Boone,27,CLE,AL,151,605,544,65,127,14,1,12,51,5,3,48,36,.233,.302,.329,.631,75,179,13,5,6,,4,*6
1951,borkobo01,Bob Borkowski,25,CHC,NL,58,94,89,9,14,1,0,0,10,0,0,3,16,.157,.185,.169,.353,-5,15,5,0,1,,0,8/97
1951,borowha01,Hank Borowy,35,DET,AL,26,8,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,,0,1
1951,boudrlo01,Lou Boudreau,33,BOS,AL,82,313,273,37,73,18,1,5,47,1,0,30,12,.267,.353,.396,.748,94,108,10,6,4,,1,65/3
1951,bowmaro01,Roger Bowman,23,NYG,NL,9,8,6,0,0,0,0,0,0,0,0,1,1,.000,.143,.000,.143,-58,0,0,0,1,,0,/1
1951,boydbo01,Bob Boyd,31,CHW,AL,12,21,18,3,3,0,1,0,4,0,0,3,3,.167,.286,.278,.563,54,5,0,0,0,,0,/3
1951,boyercl01,Cloyd Boyer,23,STL,NL,19,21,20,5,4,1,0,0,2,0,0,0,9,.200,.200,.250,.450,20,5,0,0,1,,0,1
1951,brancra01,Ralph Branca,25,BRO,NL,42,71,63,6,11,1,0,0,4,0,0,2,26,.175,.200,.190,.390,5,12,1,0,6,,0,1
1951,brazlal01,Al Brazle,37,STL,NL,56,46,46,1,5,0,0,0,2,0,0,0,2,.109,.109,.109,.217,-41,5,0,0,0,,0,1
1951,brechha01,Harry Brecheen,36,STL,NL,24,57,55,4,12,2,0,1,3,0,0,1,11,.218,.232,.309,.541,44,17,2,0,1,,0,1
1951,brideji01,Jim Brideweser,24,NYY,AL,2,8,8,1,3,0,0,0,0,0,0,0,1,.375,.375,.375,.750,107,3,0,0,0,,0,/6
1951,bridgro01,Rocky Bridges,23,BRO,NL,63,147,134,13,34,7,0,1,15,0,0,10,10,.254,.306,.328,.634,69,44,9,0,3,,1,54/6
1951,brisslo01,Lou Brissie,27,TOT,AL,56,30,28,2,7,1,0,0,2,0,0,0,2,.250,.250,.286,.536,48,8,0,0,2,,0,1
1951,brisslo01,Lou Brissie,27,PHA,AL,2,6,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,8,1,0,0,1,,0,/1
1951,brisslo01,Lou Brissie,27,CLE,AL,54,24,23,2,6,1,0,0,2,0,0,0,1,.261,.261,.304,.565,56,7,0,0,1,,0,1
1951,brittja01,Jack Brittin,27,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,brownal01,Alton Brown,26,WSH,AL,7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,,0,/1
1951,brownbo03,Bobby Brown,26,NYY,AL,103,369,313,44,84,15,2,6,51,1,1,47,18,.268,.369,.387,.756,108,121,4,3,6,,3,5
1951,brownha01,Hal Brown,26,CHW,AL,4,3,2,0,2,0,0,0,1,0,0,1,0,1.000,1.000,1.000,2.000,446,2,0,0,0,,0,/1
1951,brownto02,Tommy Brown,23,TOT,NL,89,241,221,26,47,4,1,10,33,1,2,17,25,.213,.272,.376,.648,73,83,8,1,1,,1,743/5
1951,brownto02,Tommy Brown,23,BRO,NL,11,27,25,2,4,2,0,0,1,0,0,2,4,.160,.222,.240,.462,23,6,0,0,0,,0,/7
1951,brownto02,Tommy Brown,23,PHI,NL,78,214,196,24,43,2,1,10,32,1,2,15,21,.219,.278,.393,.671,80,77,8,1,1,,1,743/5
1951,burdele01,Lew Burdette,24,BSN,NL,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,,0,/1
1951,burgesm01,Smoky Burgess,24,CHC,NL,94,239,219,21,55,4,2,2,20,2,0,21,12,.251,.317,.315,.632,69,69,10,0,0,,5,2
1951,burtsmo01,Moe Burtschy,29,PHA,AL,7,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,80,1,0,0,0,,0,/1
1951,busbyji01,Jim Busby,24,CHW,AL,143,524,477,59,135,15,2,5,68,26,11,40,46,.283,.344,.354,.698,90,169,15,4,3,,0,*8
1951,byerlbu01,Bud Byerly,31,CIN,NL,41,7,6,0,0,0,0,0,0,0,0,1,1,.000,.143,.000,.143,-58,0,0,0,0,,0,1
1951,byrneto01,Tommy Byrne,31,TOT,AL,43,72,66,9,18,3,0,2,15,0,0,4,10,.273,.314,.409,.723,93,27,3,0,2,,0,1
1951,byrneto01,Tommy Byrne,31,NYY,AL,9,9,9,2,2,0,0,1,3,0,0,0,2,.222,.222,.556,.778,109,5,0,0,0,,0,/1
1951,byrneto01,Tommy Byrne,31,SLB,AL,34,63,57,7,16,3,0,1,12,0,0,4,8,.281,.328,.386,.714,90,22,3,0,2,,0,1
1951,cabalpu01,Putsy Caballero,23,PHI,NL,84,173,161,15,30,3,2,1,11,1,2,12,7,.186,.243,.248,.491,34,40,6,0,0,,0,4/56
1951,cainbo01,Bob Cain,26,TOT,AL,39,69,62,10,16,4,0,0,9,0,0,6,12,.258,.324,.323,.646,75,20,2,0,2,,0,1
1951,cainbo01,Bob Cain,26,CHW,AL,4,9,9,1,3,1,0,0,0,0,0,0,3,.333,.333,.444,.778,111,4,0,0,0,,0,/1
1951,cainbo01,Bob Cain,26,DET,AL,35,60,53,9,13,3,0,0,9,0,0,6,9,.245,.322,.302,.624,69,16,2,0,2,,0,1
1951,calvepa01,Paul Calvert,33,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1
1951,camparo01,Roy Campanella,29,BRO,NL,143,562,505,90,164,33,1,33,108,1,2,53,51,.325,.393,.590,.983,159,298,19,4,0,,14,*2
1951,campofr01,Frank Campos,27,WSH,AL,8,26,26,4,11,3,1,0,3,0,0,0,1,.423,.423,.615,1.038,181,16,0,0,0,,0,/9
1951,candimi01,Milo Candini,33,PHI,NL,15,4,3,1,1,0,0,0,1,0,0,1,1,.333,.500,.333,.833,131,1,0,0,0,,0,1
1951,carlsdo01,Don Carlsen,24,PIT,NL,7,16,16,1,4,0,0,0,1,0,0,0,1,.250,.250,.250,.500,34,4,0,0,0,,0,/1
1951,carrach01,Chico Carrasquel,25,CHW,AL,147,597,538,41,142,22,4,2,58,14,4,46,39,.264,.325,.331,.656,79,178,13,3,8,,3,*6
1951,castipe01,Pete Castiglione,30,PIT,NL,132,533,482,62,126,19,4,7,42,2,2,34,28,.261,.311,.361,.672,79,174,9,1,16,,0,56
1951,cavarph01,Phil Cavarretta,34,CHC,NL,89,237,206,24,64,7,1,6,28,0,0,27,28,.311,.393,.442,.835,122,91,2,1,3,,0,3
1951,cervbo01,Bob Cerv,26,NYY,AL,12,33,28,4,6,1,0,0,2,0,0,4,6,.214,.313,.250,.563,56,7,1,0,0,,0,/9
1951,chakabo01,Bob Chakales,23,CLE,AL,17,21,20,1,7,0,0,1,6,0,0,0,2,.350,.350,.500,.850,134,10,0,0,1,,0,1
1951,chambcl01,Cliff Chambers,29,TOT,NL,31,76,70,4,15,1,0,1,7,0,0,4,16,.214,.257,.271,.528,42,19,2,0,2,,0,1
1951,chambcl01,Cliff Chambers,29,PIT,NL,10,22,21,1,7,0,0,1,3,0,0,0,3,.333,.333,.476,.810,113,10,0,0,1,,0,1
1951,chambcl01,Cliff Chambers,29,STL,NL,21,54,49,3,8,1,0,0,4,0,0,4,13,.163,.226,.184,.410,12,9,2,0,1,,0,1
1951,chapmsa01,Sam Chapman,35,TOT,AL,112,351,311,31,67,10,1,6,41,3,0,39,44,.215,.303,.312,.615,70,97,8,0,2,,1,87/93
1951,chapmsa01,Sam Chapman,35,PHA,AL,18,78,65,7,11,1,0,0,5,0,0,12,12,.169,.299,.185,.483,32,12,2,0,1,,1,8
1951,chapmsa01,Sam Chapman,35,CLE,AL,94,273,246,24,56,9,1,6,36,3,0,27,32,.228,.304,.346,.650,80,85,6,0,1,,0,87/93
1951,chipmbo01,Bob Chipman,32,BSN,NL,33,10,10,0,1,0,0,0,2,0,0,0,6,.100,.100,.100,.200,-44,1,0,0,0,,0,1
1951,chitiha01,Harry Chiti,18,CHC,NL,9,34,31,1,11,2,0,0,5,0,0,2,2,.355,.394,.419,.813,117,13,3,0,1,,0,/2
1951,churcbu01,Bubba Church,26,PHI,NL,39,94,86,8,22,3,0,1,7,0,0,1,16,.256,.264,.326,.590,59,28,2,0,7,,0,1
1951,ciaffla01,Larry Ciaffone,26,STL,NL,5,6,5,0,0,0,0,0,0,0,0,1,2,.000,.167,.000,.167,-51,0,0,0,0,,0,/7
1951,clarkal01,Allie Clark,28,TOT,AL,59,190,171,23,43,12,1,5,25,2,0,16,9,.251,.323,.421,.744,99,72,6,2,1,,0,95
1951,clarkal01,Allie Clark,28,CLE,AL,3,11,10,3,3,2,0,1,3,0,0,1,2,.300,.364,.800,1.164,216,8,0,0,0,,0,/9
1951,clarkal01,Allie Clark,28,PHA,AL,56,179,161,20,40,10,1,4,22,2,0,15,7,.248,.320,.398,.718,92,64,6,2,1,,0,95
1951,clarkme01,Mel Clark,26,PHI,NL,10,31,31,2,10,1,0,1,3,0,1,0,3,.323,.323,.452,.774,108,14,0,0,0,,0,/97
1951,coangi01,Gil Coan,29,WSH,AL,135,592,538,85,163,25,7,9,62,8,5,39,62,.303,.357,.426,.782,113,229,6,6,8,,0,*7
1951,coleda01,Dave Cole,20,BSN,NL,23,17,17,1,6,1,1,1,6,0,0,0,4,.353,.353,.706,1.059,186,12,0,0,0,,0,1
1951,coledi01,Dick Cole,25,TOT,NL,57,171,142,13,32,5,0,1,14,0,1,21,14,.225,.325,.282,.607,64,40,4,0,7,,2,4/6
1951,coledi01,Dick Cole,25,STL,NL,15,42,36,4,7,1,0,0,3,0,0,6,5,.194,.310,.222,.532,45,8,0,0,0,,0,4
1951,coledi01,Dick Cole,25,PIT,NL,42,129,106,9,25,4,0,1,11,0,1,15,9,.236,.331,.302,.632,70,32,4,0,7,,2,4/6
1951,colemje01,Jerry Coleman,26,NYY,AL,121,404,362,48,90,11,2,3,43,6,1,31,36,.249,.315,.315,.630,73,114,11,4,8,,3,46
1951,colemjo04,Joe Coleman,28,PHA,AL,28,30,27,2,7,3,0,0,5,0,0,2,12,.259,.310,.370,.681,83,10,0,0,1,,0,1
1951,colemra01,Ray Coleman,29,TOT,AL,142,564,522,62,146,24,12,8,76,5,7,39,46,.280,.330,.418,.747,100,218,15,0,3,,3,*798
1951,colemra01,Ray Coleman,29,SLB,AL,91,367,341,41,96,16,5,5,55,3,4,24,32,.282,.329,.402,.731,94,137,10,0,2,,1,79/8
1951,colemra01,Ray Coleman,29,CHW,AL,51,197,181,21,50,8,7,3,21,2,3,15,14,.276,.332,.448,.779,111,81,5,0,1,,2,879
1951,collijo01,Joe Collins,28,NYY,AL,125,299,262,52,75,8,5,9,48,9,7,34,23,.286,.368,.458,.826,126,120,6,0,2,,1,*39
1951,colluja01,Jackie Collum,24,STL,NL,3,7,7,2,3,0,0,0,0,0,0,0,1,.429,.429,.429,.857,131,3,0,0,0,,0,/1
1951,combsme01,Merl Combs,31,CLE,AL,19,31,28,2,5,2,0,0,2,0,0,2,3,.179,.233,.250,.483,34,7,0,0,1,,0,6
1951,connoch01,Chuck Connors,30,CHC,NL,66,214,201,16,48,5,1,2,18,4,0,12,25,.239,.282,.303,.585,56,61,0,0,1,,0,3
1951,consusa01,Sandy Consuegra,30,WSH,AL,40,47,43,2,10,1,0,0,3,0,0,1,8,.233,.250,.256,.506,38,11,2,0,3,,0,1
1951,coopewa01,Walker Cooper,36,BSN,NL,109,374,342,42,107,14,1,18,59,1,1,28,18,.313,.367,.518,.884,142,177,10,1,1,,5,2
1951,corwial01,Al Corwin,24,NYG,NL,15,22,20,1,1,1,0,0,0,0,0,0,6,.050,.050,.100,.150,-61,2,1,0,2,,0,1
1951,courtcl01,Clint Courtney,24,NYY,AL,1,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,-3,0,0,1,0,,0,/2
1951,coxbi02,Billy Cox,31,BRO,NL,142,507,455,62,127,25,4,9,51,5,5,37,30,.279,.336,.411,.747,98,187,8,2,13,,10,*5/6
1951,crimija01,Jack Crimian,25,STL,NL,11,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,80,1,0,0,0,,0,1
1951,cristle01,Leo Cristante,24,PHI,NL,10,7,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-9,1,0,0,1,,0,1
1951,cusicja01,Jack Cusick,23,CHC,NL,65,185,164,16,29,3,2,2,16,2,1,17,29,.177,.254,.256,.510,36,42,4,0,4,,0,6
