number,one,two,three,four,five,six,seven,eight,nine
1,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
2,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
3,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
4,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
5,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
6,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
7,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Angley,pitcher
8,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Schulte,pitcher
9,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Schulte,pitcher
10,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Schulte,pitcher
11,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Angley,pitcher
12,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Angley,pitcher
13,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
14,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
15,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
16,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
17,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
18,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
19,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
20,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
21,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Grace,pitcher
22,English,Beck,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
23,McMillan,English,Heathcote,Hornsby,Stephenson,Moore,Grimm,Gonzalez,pitcher
24,McMillan,English,Heathcote,Hornsby,Stephenson,Moore,Grimm,Gonzalez,pitcher
25,English,Heathcote,Cuyler,Hornsby,Stephenson,McMillan,Grimm,Gonzalez,pitcher
26,McMillan,English,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
27,McMillan,English,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
28,McMillan,English,Cuyler,Hornsby,Wilson,Stephenson,Grimm,Gonzalez,pitcher
