team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
56,1987-06-08.CIN198706080,CIN,,SFG,1,43.9,5,3,2,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.326,.417,.729,1.146,3,1.66,0.009,0.23,CF
57,1987-06-09.CIN198706090,CIN,,SFG,-8,16.7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.321,.411,.717,1.129,3,1.08,-0.174,-1.91,CF
58,1987-06-10.CIN198706100,CIN,,SFG,-5,43.9,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.316,.408,.706,1.114,3,.77,-0.045,-0.58,CF
59,1987-06-11.CIN198706110,CIN,,ATL,-2,43.9,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.314,.405,.696,1.102,3,.99,-0.042,-0.48,CF
60,1987-06-12.CIN198706120,CIN,,ATL,-1,43.9,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.309,.403,.686,1.088,3,1.25,-0.093,-0.44,CF
61,1987-06-13.CIN198706130,CIN,,ATL,3,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.305,.400,.675,1.075,3,.34,-0.027,-0.25,CF
62,1987-06-14.CIN198706140,CIN,,ATL,1,43.9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.300,.397,.665,1.062,3,1.30,-0.056,-0.56,CF
66,1987-06-18.ATL198706180,CIN,@,ATL,4,43.9,5,5,2,2,0,0,1,3,0,0,1,0,0,0,0,0,1,0,.302,.397,.673,1.071,3,1.01,0.168,2.10,CF
67,1987-06-19.ATL198706190,CIN,@,ATL,-11,43.9,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.306,.399,.675,1.074,3,.47,-0.033,-0.04,CF
68,1987-06-20.ATL198706200,CIN,@,ATL,-2,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.300,.393,.662,1.055,3,1.17,-0.189,-1.42,CF
69,1987-06-21.ATL198706210,CIN,@,ATL,1,45.0,5,3,1,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,.306,.401,.685,1.086,3,2.77,0.192,2.38,CF
70,1987-06-23.SFN198706230,CIN,@,SFG,3,43.9,4,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.305,.398,.677,1.076,3,.58,0.001,-0.05,CF
71,1987-06-24.SFN198706240,CIN,@,SFG,1,45.0,5,5,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,.311,.402,.680,1.082,3,1.43,0.392,1.52,CF
72,1987-06-25.SFN198706250,CIN,@,SFG,-1,43.9,5,4,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.319,.410,.699,1.108,3,1.18,0.303,1.79,CF
73,1987-06-26.LAN198706260,CIN,@,LAD,6,43.9,5,3,2,1,0,0,0,0,2,1,0,0,0,0,1,0,2,0,.319,.413,.694,1.107,3,.36,0.053,0.94,CF
74,1987-06-27.LAN198706270,CIN,@,LAD,-1,18.9,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,.315,.411,.685,1.096,3,.93,0.079,0.53,CF
79,1987-07-03.CIN198707030,CIN,,NYM,5,18.9,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.315,.412,.681,1.093,3,.43,-0.009,0.38,CF
