number,one,two,three,four,five,six,seven,eight,nine
1,Galan,Herman,Cavarretta,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
2,Galan,Herman,Stainback,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
3,Galan,Herman,Cavarretta,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
4,Galan,Herman,Cavarretta,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
5,Galan,Herman,Cavarretta,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
6,Galan,Herman,Cavarretta,Collins,Demaree,O'Dea,Hack,Jurges,pitcher
7,Galan,Herman,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
8,Galan,Herman,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
9,Galan,Herman,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
10,Galan,Herman,Collins,Demaree,Marty,Hack,Bottarini,Jurges,pitcher
11,Galan,Frey,Collins,Demaree,Marty,Hack,Bottarini,Jurges,pitcher
12,Galan,Frey,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
13,Galan,Frey,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
14,Galan,Frey,Collins,Demaree,O'Dea,Hack,Marty,Jurges,pitcher
15,Galan,Frey,Collins,Demaree,Marty,Hack,Bottarini,Jurges,pitcher
16,Galan,Frey,Collins,Demaree,Marty,Hack,Bottarini,Jurges,pitcher
17,Galan,Frey,Collins,Demaree,O'Dea,Hack,Cavarretta,Marty,pitcher
18,Galan,Frey,Collins,Demaree,O'Dea,Hack,Cavarretta,Marty,pitcher
19,Galan,Frey,Collins,Demaree,O'Dea,Hack,Cavarretta,Stainback,pitcher
20,Galan,Frey,Collins,Demaree,Stainback,Hack,Bottarini,Marty,pitcher
21,Galan,Frey,Collins,Demaree,Hack,Stainback,Hartnett,Marty,pitcher
22,Galan,Frey,Collins,Demaree,Hack,Stainback,Hartnett,Marty,pitcher
23,Galan,Frey,Collins,Demaree,O'Dea,Hack,Cavarretta,Stainback,pitcher
24,Galan,Frey,Collins,Demaree,Hack,Hartnett,Stainback,Jurges,pitcher
25,Galan,Frey,Collins,Demaree,Hack,Hartnett,Cavarretta,Jurges,pitcher
26,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
27,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
28,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
29,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
30,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
31,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
32,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
33,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
34,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
35,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
36,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
37,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
38,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
39,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
40,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
41,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
42,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
43,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
44,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
45,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
46,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
47,Galan,Herman,Collins,Demaree,Hack,Bottarini,Marty,Jurges,pitcher
48,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
49,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
50,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
51,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
52,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
53,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
54,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
55,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
56,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
57,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
58,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
59,Galan,Herman,Collins,Demaree,Hack,O'Dea,Marty,Jurges,pitcher
60,Galan,Herman,Collins,Demaree,Hack,Hartnett,Marty,Jurges,pitcher
61,Galan,Hack,Collins,Demaree,Herman,Hartnett,Jurges,Marty,pitcher
62,Galan,Hack,Collins,Demaree,Herman,Hartnett,Jurges,Marty,pitcher
63,Galan,Hack,Collins,Demaree,Herman,Hartnett,Jurges,Marty,pitcher
64,Galan,Hack,Collins,Demaree,Herman,Hartnett,Jurges,Cavarretta,pitcher
65,Galan,Hack,Collins,Demaree,Herman,Hartnett,Jurges,Marty,pitcher
