team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game,player_ID,year_ID
25,1973-05-01.PHI197305010,HOU,@,PHI,3,43.9,4,4,0,2,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.29,0.368,0.495,0.863,3,0.4,0.017,0.02,CF,cedence01,1973
26,1973-05-02.PHI197305020,HOU,@,PHI,5,43.9,5,5,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.28600000000000003,0.36,0.48,0.84,3,0.72,-0.063,-0.07,CF,cedence01,1973
27,1973-05-04.NYN197305040,HOU,@,NYM,4,49.4,7,7,3,4,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,1,0,0.305,0.373,0.514,0.887,3,1.58,0.281,2.52,CF,cedence01,1973
28,1973-05-05.NYN197305050,HOU,@,NYM,7,43.9,5,5,1,3,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,1,0,0.318,0.382,0.545,0.9279999999999999,3,0.38,0.142,1.31,CF,cedence01,1973
29,1973-05-06.NYN197305060,HOU,@,NYM,6,43.9,6,6,2,3,1,0,0,1,0,0.0,0,0,0,0.0,1,0.0,1,0,0.32799999999999996,0.38799999999999996,0.552,0.9390000000000001,3,1.23,0.086,1.58,CF,cedence01,1973
30,1973-05-07.MON197305070,HOU,@,MON,6,43.9,5,5,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.322,0.381,0.562,0.943,3,0.28,0.005,0.36,CF,cedence01,1973
31,1973-05-08.MON197305080,HOU,@,MON,-1,43.9,4,4,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.32,0.377,0.5760000000000001,0.953,3,1.67,-0.054000000000000006,0.02,CF,cedence01,1973
32,1973-05-11.HOU197305110,HOU,,CIN,4,43.9,4,4,0,3,0,0,0,2,0,0.0,0,0,0,0.0,0,0.0,2,1,0.33299999999999996,0.387,0.581,0.9690000000000001,3,0.42,0.048,1.28,CF,cedence01,1973
33,1973-05-12.HOU197305120,HOU,,CIN,6,43.9,4,3,2,2,0,1,0,1,1,1.0,0,0,0,0.0,0,0.0,1,0,0.341,0.397,0.598,0.996,3,0.71,0.16,1.76,CF,cedence01,1973
34,1973-05-13.HOU197305130,HOU,,CIN,-2,43.9,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,1.0,1,0,0.331,0.387,0.581,0.968,3,1.56,-0.156,-0.92,CF,cedence01,1973
35,1973-05-14.HOU197305140,HOU,,ATL,-6,43.9,4,4,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.336,0.39,0.579,0.968,3,0.46,0.02,0.09,CF,cedence01,1973
36,1973-05-15.HOU197305150,HOU,,ATL,-3,43.9,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.33299999999999996,0.386,0.569,0.956,3,1.02,-0.027000000000000003,-0.34,CF,cedence01,1973
37,1973-05-16.HOU197305160,HOU,,ATL,-3,46.1,5,5,1,3,0,0,1,2,0,0.0,1,0,0,0.0,0,0.0,1,0,0.342,0.39299999999999996,0.591,0.983,3,1.89,0.336,1.78,CF,cedence01,1973
38,1973-05-17.HOU197305170,HOU,,ATL,1,43.9,4,4,1,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.34600000000000003,0.395,0.588,0.983,3,0.98,0.018000000000000002,-0.03,CF,cedence01,1973
39,1973-05-18.HOU197305180,HOU,,SFG,2,43.9,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.33799999999999997,0.386,0.573,0.9590000000000001,3,0.81,-0.102,-1.13,CF,cedence01,1973
40,1973-05-19.HOU197305190,HOU,,SFG,1,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.32899999999999996,0.377,0.5589999999999999,0.9359999999999999,3,0.7,-0.159,-2.16,CF,cedence01,1973
41,1973-05-20.HOU197305200,HOU,,SFG,1,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.321,0.369,0.545,0.914,3,0.4,-0.039,-0.5,CF,cedence01,1973
42,1973-05-21.HOU197305210,HOU,,SFG,-5,10.1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.321,0.369,0.545,0.914,3,,,,CF,cedence01,1973
57,1973-06-06.HOU197306060,HOU,,PHI,1,16.7,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.315,0.363,0.536,0.898,3,1.63,-0.061,-0.28,CF,cedence01,1973
58,1973-06-08.HOU197306080,HOU,,PIT,1,43.9,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.314,0.36,0.529,0.889,3,0.79,-0.005,-0.55,CF,cedence01,1973
59,1973-06-09.HOU197306090,HOU,,PIT,-3,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.307,0.353,0.517,0.87,3,0.98,-0.115,-1.12,CF,cedence01,1973
60,1973-06-10.HOU197306100,HOU,,PIT,6,43.9,4,4,2,2,0,0,2,5,0,0.0,1,0,0,0.0,0,0.0,0,0,0.311,0.35600000000000004,0.55,0.9059999999999999,3,0.6,0.17800000000000002,3.43,CF,cedence01,1973
61,1973-06-12.HOU197306120,HOU,,CHC,-3,43.9,4,4,0,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.315,0.359,0.5539999999999999,0.9129999999999999,3,0.58,0.028999999999999998,0.34,CF,cedence01,1973
62,1973-06-13.HOU197306130,HOU,,CHC,5,43.9,5,4,1,1,0,0,1,2,1,1.0,1,0,0,0.0,0,0.0,0,0,0.314,0.36,0.564,0.9229999999999999,3,0.77,0.109,0.45,CF,cedence01,1973
63,1973-06-14.HOU197306140,HOU,,CHC,-1,43.9,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.35700000000000004,0.557,0.915,3,1.49,-0.084,-0.16,CF,cedence01,1973
64,1973-06-15.HOU197306150,HOU,,STL,1,43.9,4,3,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,1,1,0.313,0.36,0.5539999999999999,0.914,3,1.12,-0.05,-0.37,CF,cedence01,1973
65,1973-06-16.HOU197306160,HOU,,STL,-2,13.4,2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.31,0.35700000000000004,0.5479999999999999,0.905,3,0.91,-0.048,-0.43,CF,cedence01,1973
67,1973-06-19.SDN197306190,HOU,@,SDP,4,15.6,3,3,2,1,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.31,0.35600000000000004,0.545,0.9009999999999999,3,0.97,0.027999999999999997,0.38,CF,cedence01,1973
68,1973-06-20.SDN197306200,HOU,@,SDP,-4,43.9,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.304,0.35,0.534,0.884,3,0.51,-0.07,-0.88,CF,cedence01,1973
69,1973-06-21.SDN197306210,HOU,@,SDP,10,43.9,5,5,2,3,1,0,1,1,0,0.0,1,0,0,0.0,0,0.0,1,0,0.311,0.35600000000000004,0.555,0.9109999999999999,3,0.36,0.159,2.37,CF,cedence01,1973
70,1973-06-22.SFN197306220,HOU,@,SFG,-4,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.305,0.349,0.545,0.894,3,0.7,-0.071,-0.71,CF,cedence01,1973
71,1973-06-23.SFN197306230,HOU,@,SFG,3,43.9,5,4,2,2,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0,1,0,0.309,0.355,0.544,0.898,3,0.92,0.136,1.55,CF,cedence01,1973
72,1973-06-24.SFN197306241,HOU,@,SFG,1,43.9,5,5,2,3,0,0,1,4,0,0.0,0,0,0,0.0,0,0.0,1,0,0.315,0.36,0.5589999999999999,0.9179999999999999,3,1.41,0.272,3.73,CF,cedence01,1973
73,1973-06-24.SFN197306242,HOU,@,SFG,5,43.9,5,5,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,2,0,0.317,0.361,0.555,0.9159999999999999,3,1.28,-0.048,-0.17,CF,cedence01,1973
74,1973-06-25.HOU197306250,HOU,,CIN,11,43.9,5,4,4,2,0,0,1,2,1,0.0,0,0,0,0.0,0,1.0,1,0,0.32,0.365,0.5670000000000001,0.9329999999999999,3,0.65,0.051,0.47,CF,cedence01,1973
75,1973-06-26.HOU197306260,HOU,,CIN,-4,43.9,5,4,0,2,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,1,0.32299999999999995,0.37,0.5660000000000001,0.9359999999999999,3,1.53,-0.12300000000000001,-0.91,CF,cedence01,1973
76,1973-06-27.HOU197306270,HOU,,CIN,8,43.9,5,4,2,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.322,0.371,0.561,0.9309999999999999,3,0.48,0.021,0.39,CF,cedence01,1973
77,1973-06-28.HOU197306280,HOU,,SFG,-1,45.0,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.317,0.365,0.551,0.9159999999999999,3,0.97,-0.1,-0.6,CF,cedence01,1973
78,1973-06-29.HOU197306290,HOU,,SFG,-11,43.9,4,4,1,2,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,2,1,0.32,0.36700000000000005,0.551,0.9179999999999999,3,0.95,0.038,0.31,CF,cedence01,1973
79,1973-06-30.HOU197306300,HOU,,SDP,-3,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.315,0.36200000000000004,0.542,0.903,3,0.58,-0.057,-0.55,CF,cedence01,1973
80,1973-07-01.HOU197307010,HOU,,SDP,2,43.9,4,4,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.314,0.36,0.541,0.9009999999999999,3,0.67,-0.045,-0.41,CF,cedence01,1973
81,1973-07-02.HOU197307020,HOU,,SDP,-3,12.3,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.314,0.36200000000000004,0.541,0.903,3,1.17,0.036000000000000004,0.38,CF,cedence01,1973
85,1973-07-05.ATL197307050,HOU,@,ATL,-3,0.7,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.313,0.361,0.539,0.9,9,0.75,-0.03,-0.52,PH,cedence01,1973
86,1973-07-06.MON197307061,HOU,@,MON,-4,43.9,5,5,2,3,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.318,0.365,0.54,0.905,3,0.82,0.054000000000000006,0.75,CF,cedence01,1973
87,1973-07-06.MON197307062,HOU,@,MON,-8,43.9,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.36,0.532,0.892,3,0.27,-0.027000000000000003,-0.64,CF,cedence01,1973
88,1973-07-07.MON197307070,HOU,@,MON,-5,43.9,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,1,0.312,0.359,0.528,0.887,3,0.88,-0.065,-0.7,CF,cedence01,1973
89,1973-07-08.MON197307080,HOU,@,MON,2,43.9,5,5,3,3,0,0,2,3,0,0.0,0,0,0,0.0,0,1.0,0,0,0.318,0.363,0.551,0.914,3,1.98,0.431,2.44,CF,cedence01,1973
90,1973-07-09.NYN197307090,HOU,@,NYM,-1,18.9,4,3,0,1,1,0,0,0,1,1.0,0,0,0,0.0,0,0.0,0,0,0.318,0.365,0.552,0.917,3,1.11,0.038,0.46,CF,cedence01,1973
94,1973-07-13.PHI197307130,HOU,@,PHI,-2,43.9,4,3,0,1,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.318,0.366,0.55,0.9159999999999999,3,0.81,0.063,0.45,CF,cedence01,1973
95,1973-07-14.PHI197307140,HOU,@,PHI,-7,43.9,4,2,0,0,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.316,0.368,0.546,0.914,3,0.26,0.027999999999999997,0.05,CF,cedence01,1973
96,1973-07-15.PHI197307150,HOU,@,PHI,2,40.6,3,2,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1,0,0.313,0.368,0.542,0.91,3,1.27,0.008,0.0,CF,cedence01,1973
97,1973-07-16.HOU197307160,HOU,,MON,1,45.0,5,5,2,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.315,0.368,0.54,0.9079999999999999,3,1.52,-0.013999999999999999,0.12,CF,cedence01,1973
98,1973-07-17.HOU197307170,HOU,,MON,-5,43.9,4,3,0,1,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0,1,0,0.315,0.37,0.5379999999999999,0.9079999999999999,3,1.08,0.153,0.85,CF,cedence01,1973
99,1973-07-18.HOU197307180,HOU,,MON,-1,45.0,5,2,0,1,0,0,0,0,2,0.0,0,1,0,0.0,0,0.0,2,0,0.316,0.377,0.537,0.914,3,1.74,0.214,1.03,CF,cedence01,1973
100,1973-07-20.HOU197307200,HOU,,NYM,4,43.9,4,3,1,1,0,0,1,2,1,0.0,1,0,0,0.0,0,0.0,1,0,0.316,0.37799999999999995,0.545,0.924,3,1.14,0.016,1.45,CF,cedence01,1973
