year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1882,arundha01,Harry Arundel,27,PIT,AA,4,10,.286,4.69,14,14,0,13,0,0,119.0,157,111,62,3,24,,48,,0,6,189,56,2.89,1.521,11.9,0.2,1.8,3.6,2.00
1882,bohnch01,Charlie Bohn,25,LOU,AA,1,1,.500,3.00,2,2,0,2,0,0,18.0,21,8,6,0,3,,1,,0,0,80,85,3.15,1.333,10.5,0.0,1.5,0.5,0.33
1882,bondto01,Tommy Bond,26,WOR,NL,0,1,.000,4.38,2,2,0,0,0,0,12.1,12,13,6,0,7,,2,,0,1,62,73,4.14,1.541,8.8,0.0,5.1,1.5,0.29
1882,bradlge01,George Bradley,29,CLV,NL,6,9,.400,3.73,18,16,2,15,0,0,147.0,164,102,61,5,22,,32,,0,14,643,75,3.22,1.265,10.0,0.3,1.3,2.0,1.45
1882,browned01,Ed Brown,--,STL,AA,0,0,,0.00,1,0,1,0,0,0,2.0,2,1,0,0,0,,1,,0,0,8,,1.76,1.000,9.0,0.0,0.0,4.5,
1882,brownto01,Tom Brown,21,BAL,AA,0,0,,1.08,2,0,2,0,0,0,8.1,13,7,1,0,6,,2,,0,4,45,265,4.44,2.280,14.0,0.0,6.5,2.2,0.33
1882,buffich01,Charlie Buffinton,21,BSN,NL,2,3,.400,4.07,5,5,0,4,1,0,42.0,53,34,19,2,14,,17,,0,2,193,71,3.57,1.595,11.4,0.4,3.0,3.6,1.21
1882,burkeja01,James Burke,--,BUF,NL,0,1,.000,11.25,1,1,0,0,0,0,4.0,10,9,5,0,0,,0,,0,0,23,29,2.76,2.500,22.5,0.0,0.0,0.0,
1882,clarkjo01,John Clarkson,20,WOR,NL,1,2,.333,4.50,3,3,0,2,0,0,24.0,49,31,12,0,2,,3,,0,3,127,70,2.76,2.125,18.4,0.0,0.8,1.1,1.50
1882,comisch01,Charlie Comiskey,22,STL,AA,0,1,.000,0.00,2,1,0,1,0,0,8.0,12,8,0,0,3,,2,,0,1,40,,3.39,1.875,13.5,0.0,3.4,2.3,0.67
