team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
34,1973-05-16.CIN197305160,CIN,,LAD,-2,46.1,6,5,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.337,.445,.567,1.013,2,2.78,-0.030,1.23,2B
35,1973-05-17.CIN197305170,CIN,,LAD,-2,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.333,.439,.556,.995,2,1.58,0.018,0.43,2B
36,1973-05-18.CIN197305180,CIN,,SDP,1,43.9,4,4,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,.339,.441,.589,1.030,2,.83,0.134,1.21,2B
37,1973-05-19.CIN197305190,CIN,,SDP,6,15.6,4,0,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,.339,.450,.589,1.039,2,.66,0.094,1.39,2B
38,1973-05-20.CIN197305201,CIN,,SDP,-1,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.336,.444,.578,1.022,2,1.16,-0.042,-0.10,2B
39,1973-05-20.CIN197305202,CIN,,SDP,1,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.439,.567,1.006,2,.71,-0.046,-0.22,2B
40,1973-05-22.CIN197305220,CIN,,HOU,2,43.9,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.336,.438,.560,.998,2,.62,0.055,0.29,2B
41,1973-05-23.CIN197305230,CIN,,HOU,1,43.9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.328,.433,.547,.980,2,1.12,0.085,0.07,2B
42,1973-05-25.CIN197305250,CIN,,CHC,-5,43.9,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.318,.422,.530,.953,2,1.93,-0.066,-0.60,2B
43,1973-05-26.CIN197305260,CIN,,CHC,-2,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.309,.412,.515,.927,2,1.27,-0.122,-0.82,2B
44,1973-05-27.CIN197305270,CIN,,CHC,-6,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.302,.408,.504,.912,2,.51,-0.005,-0.50,2B
45,1973-05-28.CIN197305280,CIN,,CHC,1,43.9,5,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.308,.414,.510,.924,2,1.63,0.306,1.03,2B
46,1973-05-29.SLN197305290,CIN,@,STL,-2,43.9,4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,.310,.421,.510,.932,2,1.20,0.030,0.50,2B
47,1973-05-30.SLN197305300,CIN,@,STL,-3,43.9,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.307,.415,.500,.915,2,1.02,-0.055,-0.59,2B
48,1973-05-31.SLN197305310,CIN,@,STL,1,43.9,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,.312,.417,.526,.943,2,1.18,0.228,1.21,2B
49,1973-06-01.PIT197306010,CIN,@,PIT,-3,43.9,5,4,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,.316,.422,.532,.954,2,.99,0.068,0.92,2B
50,1973-06-02.PIT197306020,CIN,@,PIT,-1,43.9,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,.313,.416,.528,.944,2,1.87,0.370,2.35,2B
51,1973-06-03.PIT197306030,CIN,@,PIT,4,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.307,.413,.518,.931,2,.64,-0.078,-0.66,2B
52,1973-06-04.CIN197306040,CIN,,NYM,5,43.9,4,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.304,.415,.512,.927,2,.90,0.028,0.42,2B
53,1973-06-05.CIN197306050,CIN,,NYM,1,45.0,5,2,1,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,.312,.426,.518,.943,2,1.52,0.308,1.81,2B
54,1973-06-08.CHN197306080,CIN,@,CHC,-1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.310,.423,.511,.934,2,1.30,0.020,0.35,2B
55,1973-06-09.CHN197306090,CIN,@,CHC,4,43.9,5,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.309,.422,.506,.928,2,2.23,0.019,-0.05,2B
56,1973-06-10.CHN197306100,CIN,@,CHC,-2,43.9,5,4,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.313,.426,.522,.948,2,.73,0.083,1.81,2B
57,1973-06-11.CIN197306110,CIN,,STL,-8,43.9,5,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.310,.421,.529,.950,2,.36,0.172,0.97,2B
58,1973-06-12.CIN197306120,CIN,,STL,-6,43.9,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.309,.421,.524,.944,2,.66,0.072,0.15,2B
59,1973-06-13.CIN197306130,CIN,,STL,-8,43.9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.309,.422,.521,.943,2,.24,-0.015,0.26,2B
60,1973-06-15.CIN197306150,CIN,,PIT,6,43.9,5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.305,.421,.513,.934,2,.65,0.029,-0.10,2B
61,1973-06-16.CIN197306160,CIN,,PIT,-5,43.9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.423,.512,.935,2,.54,-0.013,0.06,2B
62,1973-06-17.CIN197306171,CIN,,PIT,2,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.304,.420,.505,.925,2,.54,-0.001,-0.12,2B
63,1973-06-17.CIN197306172,CIN,,PIT,4,43.9,5,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.306,.420,.507,.927,2,.85,0.123,1.02,2B
64,1973-06-19.SFN197306190,CIN,@,SFG,4,43.9,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,.307,.423,.505,.928,2,.90,0.046,0.35,2B
65,1973-06-20.SFN197306200,CIN,@,SFG,2,43.9,5,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.313,.426,.507,.933,2,.98,0.171,2.17,2B
66,1973-06-21.SFN197306210,CIN,@,SFG,-6,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.420,.498,.918,2,.29,-0.029,-0.57,2B
67,1973-06-22.LAN197306220,CIN,@,LAD,-1,45.0,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.305,.416,.491,.907,2,1.59,-0.197,-1.28,2B
68,1973-06-23.LAN197306231,CIN,@,LAD,3,43.9,5,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.307,.416,.502,.918,2,.99,0.042,0.28,2B
69,1973-06-23.LAN197306232,CIN,@,LAD,-4,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.413,.498,.911,2,.95,0.043,0.00,2B
70,1973-06-24.LAN197306240,CIN,@,LAD,-3,43.9,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.307,.415,.496,.910,2,1.02,0.074,0.75,2B
71,1973-06-25.HOU197306250,CIN,@,HOU,-11,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.409,.488,.897,2,.53,-0.052,-0.53,2B
72,1973-06-26.HOU197306260,CIN,@,HOU,4,43.9,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.300,.405,.486,.891,2,.93,0.188,1.20,2B
73,1973-06-27.HOU197306270,CIN,@,HOU,-8,43.9,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.300,.407,.484,.891,2,1.04,0.098,0.38,2B
74,1973-06-28.CIN197306280,CIN,,SDP,-5,43.9,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,.299,.405,.484,.889,2,.73,-0.074,0.27,2B
75,1973-06-29.CIN197306290,CIN,,SDP,4,43.9,4,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,.300,.406,.482,.888,2,.83,-0.046,-0.34,2B
76,1973-06-30.CIN197306300,CIN,,LAD,-1,10.3,3,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.301,.408,.494,.903,9,2.26,0.476,1.74,PH 2B
77,1973-07-01.CIN197307011,CIN,,LAD,1,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.298,.406,.489,.895,2,1.39,-0.039,0.05,2B
78,1973-07-01.CIN197307012,CIN,,LAD,1,45.0,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.294,.406,.483,.889,2,1.59,0.038,-0.01,2B
79,1973-07-02.CIN197307020,CIN,,LAD,2,43.9,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.294,.404,.483,.888,2,1.58,0.167,1.00,2B
80,1973-07-03.CIN197307030,CIN,,SFG,3,43.9,4,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,.300,.409,.491,.899,2,.89,0.147,1.40,2B
