number,one,two,three,four,five,six,seven,eight,nine
1,Dunston,Sosa,Sandberg,Dawson,Grace,Villanueva,Salazar,Scott,pitcher
2,Dunston,Sosa,Sandberg,Dawson,Grace,Wilkins,Smith,Scott,pitcher
3,Dunston,Sosa,Sandberg,Dawson,Grace,Wilkins,Smith,Scott,pitcher
4,Dunston,Sosa,Sandberg,Dawson,Grace,Smith,Scott,Girardi,pitcher
5,Walker,Vizcaino,Grace,Sandberg,Sosa,Smith,Scott,Girardi,pitcher
6,Walker,Vizcaino,Grace,Sandberg,Sosa,Smith,Villanueva,Scott,pitcher
7,Dunston,Sosa,Sandberg,Dawson,Grace,Villanueva,Smith,Scott,pitcher
8,Vizcaino,Sosa,Sandberg,Dawson,Grace,Villanueva,Salazar,Scott,pitcher
9,Vizcaino,Sosa,Grace,Sandberg,Dawson,Smith,Girardi,Scott,pitcher
10,Dunston,Sosa,Grace,Sandberg,Dawson,Smith,Girardi,Vizcaino,pitcher
11,Dunston,Sosa,Grace,Sandberg,Villanueva,Salazar,Dascenzo,Scott,pitcher
12,Dunston,Sosa,Grace,Sandberg,Dawson,Smith,Girardi,Scott,pitcher
13,Dunston,Sosa,Grace,Sandberg,Dawson,Villanueva,Dascenzo,Scott,pitcher
14,Dunston,Sosa,Grace,Sandberg,Dawson,May,Villanueva,Scott,pitcher
15,Dunston,Sosa,Grace,Sandberg,Dawson,May,Salazar,Girardi,pitcher
16,Walton,Sosa,Grace,Sandberg,Dawson,Villanueva,Salazar,Walker,pitcher
17,Walton,Sosa,Grace,Sandberg,Dawson,Salazar,Girardi,Sanchez,pitcher
18,Walton,Sosa,Grace,Sandberg,Dawson,Salazar,Girardi,Sanchez,pitcher
19,Dunston,Sosa,Grace,Dawson,Villanueva,Salazar,Walton,Sanchez,pitcher
20,Dascenzo,Strange,Dunston,Grace,May,Sosa,Girardi,Sanchez,pitcher
21,Dunston,Sosa,Grace,Sandberg,Dawson,Villanueva,Salazar,Walton,pitcher
22,Dunston,Sosa,Sandberg,Dawson,Grace,Salazar,Walton,Girardi,pitcher
23,Dunston,Sosa,Grace,Sandberg,Dawson,May,Strange,Girardi,pitcher
24,Dunston,Dascenzo,Grace,Sandberg,May,Sosa,Strange,Girardi,pitcher
25,Strange,Sosa,Grace,Sandberg,Dawson,May,Villanueva,Sanchez,pitcher
26,Sosa,Grace,Sandberg,Dawson,May,Villanueva,Salazar,Strange,pitcher
27,Sosa,Grace,Sandberg,Dawson,May,Salazar,Girardi,Strange,pitcher
28,Sosa,Grace,Sandberg,Dawson,May,Salazar,Girardi,Strange,pitcher
29,Sosa,Grace,Sandberg,Dawson,Villanueva,Salazar,Walton,Strange,pitcher
30,Sosa,Grace,Sandberg,Dawson,May,Salazar,Girardi,Strange,pitcher
31,Sosa,Grace,Sandberg,Dawson,May,Villanueva,Salazar,Strange,pitcher
32,Sosa,Grace,Sandberg,Dawson,Smith,Salazar,Girardi,Strange,pitcher
33,Sosa,Grace,Sandberg,Dawson,Salazar,Girardi,Walton,Vizcaino,pitcher
34,Sosa,Grace,Sandberg,Dawson,Salazar,Girardi,Walton,Vizcaino,pitcher
35,Sosa,Grace,Sandberg,Dawson,Smith,Villanueva,Strange,Vizcaino,pitcher
36,Sosa,Smith,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
37,Sosa,Smith,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
38,Sosa,Smith,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
39,Sosa,Walton,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
40,Sosa,Vizcaino,Grace,Sandberg,Dawson,May,Villanueva,Strange,pitcher
41,Sosa,Walton,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
42,Sosa,Vizcaino,Grace,Sandberg,Dawson,May,Girardi,Strange,pitcher
43,Sosa,Walton,Grace,Sandberg,Dawson,Salazar,Girardi,Vizcaino,pitcher
44,Sosa,Vizcaino,Grace,Sandberg,Dawson,May,Villanueva,Strange,pitcher
45,Sosa,Vizcaino,Grace,Sandberg,Dawson,May,Girardi,Strange,pitcher
46,Sosa,Vizcaino,Grace,Sandberg,Dawson,May,Girardi,Strange,pitcher
47,Dascenzo,Vizcaino,Grace,Sandberg,Dawson,May,Girardi,Strange,pitcher
48,Vizcaino,Girardi,Grace,Sandberg,Dawson,May,Sosa,Sanchez,pitcher
49,Dascenzo,Vizcaino,Sandberg,Grace,May,Sosa,Villanueva,Scott,pitcher
50,Vizcaino,Girardi,Sandberg,Dawson,Grace,May,Sosa,Scott,pitcher
51,Vizcaino,Walton,Sandberg,Grace,Sosa,Girardi,Dascenzo,Scott,pitcher
52,Vizcaino,Smith,Sandberg,Grace,May,Sosa,Girardi,Scott,pitcher
53,Walton,Sosa,Sandberg,Dawson,Grace,Salazar,Villanueva,Sanchez,pitcher
54,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Smith,Girardi,Sanchez,pitcher
55,Walton,Vizcaino,Sandberg,Dawson,Grace,Sosa,Villanueva,Scott,pitcher
56,Dascenzo,Scott,Sandberg,Grace,Smith,May,Girardi,Sanchez,pitcher
57,Dascenzo,Vizcaino,Sandberg,Dawson,Grace,May,Girardi,Scott,pitcher
58,Dascenzo,Vizcaino,Sandberg,May,Sosa,Villanueva,Salazar,Sanchez,pitcher
59,Vizcaino,Sosa,Sandberg,Dawson,May,Salazar,Girardi,Scott,pitcher
60,Vizcaino,Dascenzo,Sandberg,Dawson,Salazar,Walton,Villanueva,Scott,pitcher
61,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Girardi,Scott,pitcher
62,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Villanueva,Scott,pitcher
63,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Villanueva,Salazar,pitcher
64,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Villanueva,Salazar,pitcher
65,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Wilkins,Salazar,pitcher
66,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Salazar,Villanueva,Scott,pitcher
67,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Salazar,Girardi,Sanchez,pitcher
68,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Salazar,Girardi,Sanchez,pitcher
69,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Salazar,Girardi,Sanchez,pitcher
70,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,May,Wilkins,Strange,pitcher
71,Vizcaino,Dascenzo,Sandberg,Grace,May,Smith,Wilkins,Sanchez,pitcher
72,Vizcaino,Dascenzo,Sandberg,Grace,Salazar,Girardi,May,Sanchez,pitcher
73,Vizcaino,Dascenzo,Sandberg,Dawson,Grace,Salazar,Girardi,Sanchez,pitcher
