number,one,two,three,four,five,six,seven,eight,nine
1,Patterson,Walker,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
2,Patterson,Walker,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
3,Patterson,Walker,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
4,Hairston,Patterson,Garciaparra,Ramirez,Lee,Dubois,Burnitz,Barrett,pitcher
5,Patterson,Walker,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Blanco,pitcher
6,Patterson,Walker,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
7,Patterson,Perez,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
8,Patterson,Perez,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
9,Hairston,Perez,Patterson,Lee,Burnitz,Dubois,Macias,Blanco,pitcher
10,Hairston,Perez,Garciaparra,Ramirez,Lee,Dubois,Burnitz,Barrett,pitcher
11,Patterson,Perez,Garciaparra,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
12,Patterson,Hairston,Garciaparra,Ramirez,Lee,Burnitz,Hollandsworth,Blanco,pitcher
13,Hairston,Perez,Patterson,Ramirez,Burnitz,Lee,Hollandsworth,Barrett,pitcher
14,Hairston,Patterson,Garciaparra,Ramirez,Lee,Dubois,Perez,Barrett,pitcher
15,Patterson,Perez,Lee,Ramirez,Burnitz,Garciaparra,Hollandsworth,Barrett,pitcher
16,Hairston,Perez,Patterson,Ramirez,Burnitz,Lee,Hollandsworth,Blanco,pitcher
17,Hairston,Patterson,Lee,Ramirez,Dubois,Burnitz,Barrett,Perez,pitcher
18,Hairston,Perez,Lee,Ramirez,Dubois,Burnitz,Barrett,Cedeno,pitcher
19,Hairston,Perez,Lee,Ramirez,Burnitz,Barrett,Hollandsworth,Macias,pitcher
20,Hairston,Patterson,Lee,Ramirez,Barrett,Burnitz,Dubois,Perez,pitcher
21,Hairston,Perez,Patterson,Lee,Burnitz,Hollandsworth,Macias,Blanco,pitcher
22,Hairston,Perez,Patterson,Lee,Ramirez,Burnitz,Hollandsworth,Barrett,pitcher
23,Hairston,Perez,Patterson,Lee,Ramirez,Burnitz,Hollandsworth,Barrett,pitcher
24,Hairston,Perez,Patterson,Lee,Ramirez,Burnitz,Hollandsworth,Barrett,pitcher
25,Hairston,Patterson,Ramirez,Lee,Burnitz,Dubois,Perez,Blanco,pitcher
26,Hairston,Patterson,Ramirez,Lee,Burnitz,Barrett,Hollandsworth,Perez,pitcher
27,Hairston,Patterson,Ramirez,Lee,Burnitz,Barrett,Hollandsworth,Cedeno,pitcher
28,Hairston,Patterson,Lee,Ramirez,Burnitz,Perez,Hollandsworth,Blanco,pitcher
29,Patterson,Perez,Lee,Ramirez,Burnitz,Barrett,Hollandsworth,Macias,pitcher
30,Patterson,Perez,Lee,Ramirez,Burnitz,Barrett,Grieve,Hairston,pitcher
